place,name,blkgrps,population,households,alltransit_performance_score
"""4900540""","""Alpine""",7.09,9546.98,2442.69,0.1
"""4900650""","""Alta""",0.19,206.74,62.02,2.5
"""4900760""","""Altamont""",0.01,6.22,2.22,0.0
"""4900870""","""Alton""",0.00,0.35,0.13,0.0
"""4901090""","""Amalga""",0.13,160.70,51.31,0.0
"""4901310""","""American Fork""",16.24,27445.93,7650.90,3.8
"""4901530""","""Aneth""",0.04,76.49,18.41,0.3
"""4901750""","""Annabella""",0.01,22.29,6.96,0.0
"""4901860""","""Antimony""",0.01,15.64,5.13,0.0
"""4901905""","""Apple Valley""",0.30,1173.06,176.01,0.0
"""4902740""","""Aurora""",0.01,10.79,3.67,0.0
"""4902960""","""Avon""",0.45,466.68,147.19,0.1
"""4903345""","""Ballard""",0.62,702.56,208.21,0.0
"""4903950""","""Bear River City""",0.08,129.17,41.86,0.0
"""4904060""","""Beaver""",1.35,1965.41,696.36,0.0
"""4904720""","""Benjamin""",0.84,1068.58,321.65,0.0
"""4905050""","""Benson""",1.45,3509.12,919.18,1.3
"""4905380""","""Beryl Junction""",0.00,4.01,1.59,0.0
"""4905490""","""Bicknell""",0.00,0.32,0.14,0.0
"""4905534""","""Big Water""",0.04,35.80,9.94,0.0
"""4906370""","""Blanding""",1.57,1974.58,554.79,1.0
"""4906590""","""Bluebell""",0.36,322.90,115.27,0.0
"""4906700""","""Bluff""",0.01,1.86,1.03,0.3
"""4906810""","""Bluffdale""",3.05,10449.48,2635.33,0.6
"""4906920""","""Bonanza""",0.00,0.60,0.17,0.0
"""4907470""","""Boulder""",0.01,7.42,3.02,0.0
"""4907690""","""Bountiful""",28.94,41091.09,13575.20,5.7
"""4908020""","""Brian Head""",0.01,1.70,0.77,0.0
"""4908460""","""Brigham City""",13.88,16327.63,5742.51,4.0
"""4908787""","""Bryce Canyon City""",0.00,5.30,1.74,0.0
"""4909725""","""Cache""",0.16,165.13,49.93,0.0
"""4910330""","""Cannonville""",0.00,4.06,1.33,0.0
"""4910440""","""Carbonville""",1.53,2174.95,831.34,0.1
"""4910660""","""Castle Dale""",0.39,615.26,194.03,0.0
"""4911000""","""Castle Valley""",0.02,30.76,14.10,0.0
"""4911320""","""Cedar City""",13.46,24166.70,7988.75,0.0
"""4911430""","""Cedar Fort""",0.09,95.09,24.63,0.0
"""4911440""","""Cedar Hills""",3.20,7100.91,1691.83,0.5
"""4911870""","""Centerfield""",0.18,281.61,84.88,0.5
"""4911980""","""Centerville""",6.63,15129.77,4961.79,6.7
"""4912200""","""Central""",0.01,11.77,4.83,0.0
"""4912260""","""Central Valley""",0.10,215.31,65.49,0.2
"""4912420""","""Charleston""",0.24,773.23,243.21,0.0
"""4912970""","""Circleville""",0.09,85.81,23.60,0.0
"""4913190""","""Clarkston""",0.02,16.94,5.03,0.0
"""4913300""","""Clawson""",0.01,7.72,2.79,0.0
"""4913740""","""Clear Creek""",0.00,0.88,0.31,0.0
"""4913850""","""Clearfield""",14.93,26818.54,8236.20,6.6
"""4914070""","""Cleveland""",0.00,1.57,0.56,0.0
"""4914290""","""Clinton""",8.60,21639.13,6313.48,4.3
"""4914840""","""Coalville""",0.47,613.91,169.02,0.0
"""4915720""","""Copperton""",0.17,99.04,45.50,0.0
"""4915830""","""Corinne""",0.13,176.13,59.86,0.0
"""4915940""","""Cornish""",0.14,109.36,35.06,0.0
"""4916270""","""Cottonwood Heights""",19.91,32662.66,12055.15,5.6
"""4916490""","""Cove""",0.88,1306.97,428.92,0.8
"""4918090""","""Dammeron Valley""",0.01,19.84,7.98,0.0
"""4918140""","""Daniel""",0.59,2194.54,600.79,0.0
"""4918910""","""Delta""",1.24,1402.87,456.57,0.0
"""4919020""","""Deseret""",0.01,6.77,2.32,0.0
"""4919680""","""Deweyville""",0.22,274.42,83.77,0.0
"""4920120""","""Draper""",18.53,49369.10,13820.19,4.5
"""4920340""","""Duchesne""",0.12,158.01,51.74,0.0
"""4920450""","""Dugway""",0.00,1.53,0.63,0.0
"""4920780""","""Dutch John""",0.01,5.94,1.42,0.0
"""4920810""","""Eagle Mountain""",9.70,24213.87,5556.62,0.6
"""4921115""","""East Carbon-Sunnyside""",0.02,22.71,9.33,0.0
"""4921880""","""Echo""",0.00,3.99,1.31,0.0
"""4921990""","""Eden""",0.18,237.15,81.95,0.3
"""4922210""","""Elberta""",0.10,221.10,58.30,0.0
"""4922370""","""Elk Ridge""",0.81,1344.06,337.72,0.0
"""4922540""","""Elmo""",0.00,2.20,0.77,0.0
"""4922650""","""Elsinore""",0.08,71.67,27.00,0.0
"""4922760""","""Elwood""",0.64,1169.83,349.03,0.0
"""4922870""","""Emery""",0.00,1.90,0.68,0.0
"""4922875""","""Emigration Canyon""",0.29,550.88,194.56,1.6
"""4923200""","""Enoch""",1.17,2041.63,571.17,0.0
"""4923310""","""Enterprise""",0.01,43.05,11.40,0.0
"""4923420""","""Enterprise""",0.03,56.72,17.20,0.0
"""4923530""","""Ephraim""",2.11,3768.97,1017.66,0.7
"""4923640""","""Erda""",2.34,3223.50,888.12,0.8
"""4923750""","""Escalante""",0.00,1.18,0.48,0.0
"""4924080""","""Eureka""",0.00,0.45,0.18,0.0
"""4924410""","""Fairfield""",0.11,116.05,30.06,0.0
"""4924630""","""Fairview""",0.14,134.82,43.39,0.0
"""4924740""","""Farmington""",5.47,13770.40,3980.81,6.7
"""4924850""","""Farr West""",1.73,6229.20,1676.24,1.9
"""4925070""","""Fayette""",0.00,3.61,0.33,0.0
"""4925180""","""Ferron""",0.03,33.40,12.08,0.0
"""4925290""","""Fielding""",0.02,24.45,8.40,0.0
"""4925510""","""Fillmore""",1.02,1049.43,352.38,0.0
"""4925910""","""Flaming Gorge""",0.00,2.30,0.55,0.0
"""4926610""","""Fort Duchesne""",0.18,188.43,45.73,0.0
"""4926720""","""Fountain Green""",0.01,11.74,3.76,0.0
"""4926940""","""Francis""",0.31,358.28,117.36,0.6
"""4927270""","""Fremont""",0.01,10.36,3.29,0.0
"""4927490""","""Fruit Heights""",2.45,4173.38,1300.26,5.7
"""4927902""","""Garden""",0.07,81.91,22.77,0.0
"""4927930""","""Garden City""",0.02,27.13,7.54,0.0
"""4928150""","""Garland""",0.99,1386.82,424.65,0.0
"""4928810""","""Genola""",0.09,144.12,39.11,0.0
"""4929360""","""Glendale""",0.04,44.16,13.86,0.0
"""4929580""","""Glenwood""",0.01,17.11,5.34,0.0
"""4930130""","""Goshen""",0.01,21.49,5.56,0.0
"""4930900""","""Granite""",0.76,1502.15,458.69,2.8
"""4931120""","""Grantsville""",3.89,5902.86,1796.21,1.2
"""4931670""","""Green River""",0.01,11.21,3.67,0.3
"""4932660""","""Gunnison""",0.92,591.11,178.78,0.5
"""4933002""","""Halchita""",0.03,75.85,15.26,0.0
"""4933027""","""Halls Crossing""",0.00,1.13,0.63,0.3
"""4933100""","""Hanksville""",0.00,0.94,0.40,0.0
"""4933540""","""Harrisville""",2.86,6164.21,1901.41,5.9
"""4933760""","""Hatch""",0.00,2.75,0.87,0.0
"""4934200""","""Heber""",3.04,9788.39,2815.75,0.0
"""4934530""","""Helper""",0.21,432.48,199.88,0.9
"""4934640""","""Henefer""",0.04,41.93,13.46,0.0
"""4934750""","""Henrieville""",0.00,2.13,0.70,0.0
"""4934970""","""Herriman""",2.76,25488.52,6640.65,3.8
"""4935120""","""Hideout""",0.00,9.48,3.55,0.5
"""4935190""","""Highland""",10.34,16336.95,3872.45,0.9
"""4935300""","""Hildale""",0.04,157.57,23.84,0.0
"""4935740""","""Hinckley""",0.19,205.81,65.33,0.0
"""4935960""","""Holden""",0.00,1.45,0.60,0.0
"""4936070""","""Holladay""",23.31,30885.57,11282.82,6.9
"""4936290""","""Honeyville""",0.96,930.50,284.13,0.0
"""4936400""","""Hooper""",2.88,8327.82,2392.79,0.2
"""4936620""","""Howell""",0.09,82.02,25.73,0.0
"""4936730""","""Hoytsville""",0.32,412.54,115.28,0.1
"""4936950""","""Huntington""",0.35,337.62,121.13,0.0
"""4937060""","""Huntsville""",0.14,162.03,55.77,0.3
"""4937170""","""Hurricane""",2.53,10152.00,3402.03,0.0
"""4937390""","""Hyde Park""",2.63,4351.33,1185.69,1.4
"""4937500""","""Hyrum""",3.05,3997.63,1117.34,1.7
"""4937690""","""Independence""",0.23,910.85,248.62,0.1
"""4937924""","""Interlaken""",0.00,7.22,2.68,1.7
"""4938710""","""Ivins""",1.45,4025.36,1401.45,1.5
"""4939040""","""Jensen""",0.00,12.01,3.33,0.0
"""4939370""","""Joseph""",0.00,3.70,1.09,0.0
"""4939590""","""Junction""",0.11,105.05,28.89,0.0
"""4939810""","""Kamas""",0.21,245.69,83.61,0.4
"""4939920""","""Kanab""",1.70,1737.32,643.76,0.0
"""4940030""","""Kanarraville""",0.00,4.74,1.45,0.0
"""4940250""","""Kanosh""",0.00,0.62,0.23,0.0
"""4940360""","""Kaysville""",12.45,26706.84,7485.75,4.9
"""4940470""","""Kearns""",21.15,35561.60,9451.84,7.0
"""4941020""","""Kenilworth""",0.00,4.85,1.99,0.3
"""4941350""","""Kingston""",0.01,8.48,2.37,0.0
"""4941680""","""Koosharem""",0.00,1.27,0.43,0.0
"""4942230""","""Lake Shore""",0.78,763.70,219.70,0.0
"""4942560""","""Laketown""",0.01,7.78,2.16,0.0
"""4943110""","""La Sal""",0.02,26.97,9.34,0.0
"""4943440""","""La Verkin""",1.64,3485.38,1015.63,0.0
"""4943660""","""Layton""",33.87,69773.07,22205.55,5.3
"""4943880""","""Leamington""",0.00,6.02,1.85,0.0
"""4944100""","""Leeds""",0.10,107.01,47.84,0.0
"""4944320""","""Lehi""",30.02,54235.61,14025.79,2.8
