place,name,blkgrps,population,households,alltransit_performance_score
"""0400730""","""Aguila""",0.00,6.49,2.33,0.0
"""0400870""","""Ajo""",3.02,2869.48,1105.44,0.9
"""0400940""","""Ak Chin""",0.00,1.00,0.24,0.3
"""0401090""","""Ak-Chin Village""",0.32,407.47,122.15,0.0
"""0401170""","""Alamo Lake""",0.08,35.82,15.40,0.0
"""0401560""","""Ali Chuk""",0.00,2.20,0.52,0.0
"""0401570""","""Ali Chukson""",0.00,2.33,0.67,0.0
"""0401620""","""Ali Molina""",0.00,0.87,0.25,0.0
"""0401920""","""Alpine""",0.00,0.84,0.39,0.0
"""0401990""","""Amado""",0.04,12.92,5.81,0.0
"""0402270""","""Anegam""",0.01,2.79,1.06,0.0
"""0402410""","""Antares""",0.00,1.28,0.61,0.0
"""0402430""","""Anthem""",10.00,22980.00,8065.00,0.0
"""0402830""","""Apache Junction""",23.80,42414.28,18596.00,0.0
"""0403320""","""Arivaca""",0.04,27.55,15.05,0.3
"""0403380""","""Arivaca Junction""",0.02,27.84,8.70,0.0
"""0403530""","""Arizona City""",5.16,10737.96,4124.37,0.0
"""0403915""","""Arizona Village""",0.08,142.78,67.54,0.3
"""0404020""","""Arlington""",0.03,34.19,11.31,0.0
"""0404440""","""Ash Fork""",0.01,8.07,2.94,0.0
"""0404710""","""Avenue B and C""",4.43,3243.09,1152.55,2.7
"""0404720""","""Avondale""",38.52,76496.27,23744.62,4.8
"""0404880""","""Avra Valley""",2.29,4614.22,1854.85,0.8
"""0404930""","""Aztec""",0.01,5.47,1.72,0.0
"""0405140""","""Bagdad""",0.02,30.77,10.30,0.0
"""0405450""","""Bear Flat""",0.00,0.94,0.55,0.0
"""0405490""","""Beaver Dam""",0.00,6.59,2.69,0.0
"""0405495""","""Beaver Valley""",0.03,29.30,12.39,0.0
"""0405770""","""Benson""",4.44,4226.73,2021.30,0.8
"""0405970""","""Beyerville""",0.02,37.80,10.87,0.0
"""0406260""","""Bisbee""",1.31,1002.96,484.82,0.0
"""0406470""","""Bitter Springs""",0.02,23.70,6.25,0.0
"""0406610""","""Black Canyon City""",0.27,599.60,259.74,0.0
"""0406820""","""Blackwater""",0.28,559.78,164.44,0.0
"""0407025""","""Bluewater""",0.08,73.44,36.34,0.0
"""0407310""","""Bouse""",0.49,405.31,184.45,0.0
"""0407380""","""Bowie""",0.00,1.61,0.73,0.0
"""0407590""","""Brenda""",0.02,20.91,9.61,0.0
"""0407915""","""Bryce""",0.00,3.06,1.05,0.0
"""0407940""","""Buckeye""",22.75,51575.99,15552.83,0.4
"""0408020""","""Buckshot""",0.01,4.05,1.73,1.6
"""0408220""","""Bullhead City""",29.17,38162.40,16339.28,1.9
"""0408535""","""Burnside""",0.06,86.50,21.51,0.4
"""0408710""","""Bylas""",0.00,5.19,1.12,0.0
"""0408920""","""Cactus Flats""",0.39,801.35,248.66,0.0
"""0408990""","""Cactus Forest""",0.06,382.37,22.84,0.0
"""0409340""","""Cameron""",0.02,24.96,7.00,0.0
"""0409580""","""Campo Bonito""",0.07,104.41,47.34,0.0
"""0409690""","""Camp Verde""",5.06,8827.19,3275.85,0.0
"""0409900""","""Cane Beds""",0.03,108.37,18.47,0.0
"""0410040""","""Canyon Day""",0.01,13.14,3.15,0.0
"""0410180""","""Carefree""",2.16,3256.49,1628.48,0.0
"""0410320""","""Carrizo""",0.01,23.68,5.68,0.0
"""0410460""","""Casa Blanca""",0.07,118.45,30.94,0.0
"""0410530""","""Casa Grande""",32.78,53449.83,18170.02,0.0
"""0410670""","""Casas Adobes""",40.45,67105.43,28402.42,3.2
"""0411160""","""Catalina""",3.28,5361.13,2152.26,0.7
"""0411230""","""Catalina Foothills""",40.57,51241.88,23484.65,0.7
"""0411300""","""Cave Creek""",4.22,5677.55,2460.97,0.0
"""0411370""","""Cedar Creek""",0.02,44.62,10.71,0.0
"""0411500""","""Centennial Park""",0.01,28.38,4.84,0.0
"""0411580""","""Central""",0.17,144.51,43.50,0.0
"""0411720""","""Central Heights-Midland City""",2.07,1732.43,724.55,0.0
"""0412000""","""Chandler""",145.74,240648.96,85773.15,4.1
"""0412150""","""Charco""",0.00,1.02,0.30,0.3
"""0412560""","""Chiawuli Tak""",0.00,2.74,0.79,0.0
"""0412630""","""Chilchinbito""",0.10,124.15,35.09,0.3
"""0412770""","""Chinle""",0.98,1444.16,313.23,0.9
"""0412840""","""Chino Valley""",4.20,9378.48,3762.64,0.0
"""0412910""","""Chloride""",0.00,4.65,2.27,0.0
"""0413140""","""Christopher Creek""",0.04,13.60,7.98,0.0
"""0413190""","""Chuichu""",0.02,8.04,1.70,0.0
"""0413400""","""Cibecue""",0.01,18.71,3.87,0.0
"""0413470""","""Cibola""",0.07,51.19,23.19,0.4
"""0413540""","""Cienega Springs""",2.05,1652.78,711.20,0.0
"""0413820""","""Citrus Park""",1.49,3182.47,954.07,0.0
"""0413850""","""Clacks Canyon""",0.82,884.58,344.52,0.3
"""0413890""","""Clarkdale""",1.49,2722.22,1601.82,2.1
"""0413960""","""Claypool""",0.25,356.10,129.17,0.0
"""0414030""","""Clay Springs""",0.01,8.01,2.78,0.0
"""0414380""","""Clifton""",1.99,2776.93,958.38,0.0
"""0414870""","""Colorado City""",1.02,3366.55,375.49,0.0
"""0415080""","""Comobabi""",0.00,1.30,0.37,0.0
"""0415150""","""Concho""",0.00,0.79,0.31,0.0
"""0415220""","""Congress""",0.05,77.03,34.90,0.0
"""0415500""","""Coolidge""",7.36,13013.97,4008.16,0.0
"""0415600""","""Copper Hill""",0.34,189.55,79.98,0.0
"""0415765""","""Cordes Lakes""",0.03,68.22,31.09,0.0
"""0415850""","""Cornfields""",0.00,1.50,0.36,0.3
"""0415920""","""Cornville""",0.80,1067.19,472.34,0.0
"""0416030""","""Corona de Tucson""",0.40,3451.11,1102.31,0.0
"""0416360""","""Cottonwood""",0.00,0.93,0.27,0.4
"""0416410""","""Cottonwood""",6.39,13344.44,5716.06,3.3
"""0416830""","""Cowlic""",0.00,2.06,0.54,0.2
"""0417460""","""Crozier""",0.00,2.13,0.98,0.0
"""0417500""","""Crystal Beach""",0.00,4.88,2.37,0.0
"""0417810""","""Cutter""",0.00,1.89,0.50,0.0
"""0418160""","""Dateland""",0.02,19.62,6.16,0.0
"""0418448""","""Deer Creek""",0.02,15.52,6.23,0.0
"""0418490""","""Del Muerto""",0.01,25.89,6.36,0.5
"""0418580""","""Dennehotso""",0.04,33.81,8.78,0.0
"""0418740""","""Desert Hills""",0.08,113.13,52.11,0.0
"""0419145""","""Dewey-Humboldt""",0.51,1418.54,534.72,0.0
"""0419280""","""Dilkon""",0.10,126.77,29.40,0.3
"""0419630""","""Dolan Springs""",0.52,648.29,290.77,0.0
"""0419740""","""Doney Park""",1.69,3183.45,1061.53,0.1
"""0419790""","""Donovan Estates""",0.48,667.57,187.48,1.7
"""0420050""","""Douglas""",12.41,8954.35,3125.80,0.0
"""0420330""","""Dragoon""",0.02,36.52,13.48,0.0
"""0420540""","""Drexel Heights""",17.82,29162.40,9598.29,3.5
"""0420560""","""Dripping Springs""",0.05,29.41,12.23,0.0
"""0420570""","""Drysdale""",0.01,11.85,3.72,0.6
"""0420680""","""Dudleyville""",0.03,21.38,7.90,0.0
"""0420750""","""Duncan""",0.12,76.96,34.98,0.0
"""0420960""","""Eagar""",3.35,4393.09,1348.33,0.0
"""0421310""","""East Fork""",0.02,36.34,8.70,0.0
"""0421410""","""East Globe""",0.01,12.24,3.32,0.0
"""0421545""","""East Verde Estates""",0.06,109.46,45.35,0.0
"""0421800""","""Ehrenberg""",1.03,535.91,261.83,0.6
"""0421900""","""El Capitan""",0.04,26.73,11.11,0.0
"""0421980""","""Elephant Head""",0.14,151.38,53.78,0.0
"""0422080""","""Elfrida""",0.08,50.88,25.94,0.0
"""0422150""","""Elgin""",0.02,37.50,17.61,0.0
"""0422220""","""El Mirage""",27.17,33311.40,9958.34,0.5
"""0422360""","""Eloy""",8.70,17700.04,3021.89,0.0
"""0422400""","""El Prado Estates""",0.11,154.75,46.97,2.4
"""0423512""","""First Mesa""",0.03,110.57,25.75,0.3
"""0423620""","""Flagstaff""",40.86,67338.38,22583.87,4.0
"""0423760""","""Florence""",5.88,19109.78,4663.16,0.0
"""0423955""","""Flowing Springs""",0.03,34.00,14.69,0.0
"""0423960""","""Flowing Wells""",10.91,14073.21,5592.41,5.2
"""0424250""","""Fort Apache""",0.01,20.09,4.81,0.0
"""0424460""","""Fort Defiance""",0.52,1262.95,312.92,1.0
"""0424895""","""Fort Mohave""",3.60,10619.65,4446.62,0.0
"""0424950""","""Fort Thomas""",0.02,31.59,10.84,0.0
"""0425030""","""Fortuna Foothills""",21.68,27248.45,12505.90,0.7
"""0425045""","""Fort Valley""",0.17,263.37,95.67,1.5
"""0425300""","""Fountain Hills""",15.00,24047.00,11677.00,0.6
"""0425650""","""Franklin""",0.00,4.21,1.32,0.0
"""0425720""","""Fredonia""",0.16,208.66,81.29,0.0
"""0425735""","""Freedom Acres""",0.03,34.15,14.44,0.0
"""0426070""","""Gadsden""",0.10,110.91,34.50,1.7
"""0426210""","""Ganado""",0.30,208.27,53.81,0.5
"""0426780""","""Geronimo Estates""",0.02,25.76,10.89,0.0
"""0427050""","""Gila Bend""",0.93,1600.44,505.34,1.2
"""0427260""","""Gila Crossing""",0.01,45.66,9.86,2.0
"""0427400""","""Gilbert""",111.71,226694.69,72463.50,2.4
"""0427540""","""Gisela""",0.03,25.51,10.24,0.0
"""0427820""","""Glendale""",160.65,241435.37,81149.51,5.6
"""0428030""","""Globe""",6.36,6338.30,2465.89,0.0
"""0428140""","""Gold Canyon""",4.60,9082.21,4397.67,0.0
"""0428190""","""Golden Shores""",0.76,432.91,221.66,0.0
"""0428195""","""Golden Valley""",3.72,6401.26,2915.14,0.0
"""0428380""","""Goodyear""",31.82,74613.02,23814.26,1.1
"""0428465""","""Goodyear Village""",0.29,176.05,50.83,0.0
"""0428981""","""Grand Canyon Village""",0.56,801.82,291.65,0.0
"""0428985""","""Grand Canyon West""",0.03,34.94,9.13,0.0
"""0429430""","""Greasewood""",0.05,41.17,11.00,0.3
"""0429710""","""Green Valley""",17.11,18080.77,11017.84,0.0
"""0429850""","""Greer""",0.00,0.74,0.35,0.0
"""0430270""","""Guadalupe""",4.00,6270.00,1686.00,7.1
"""0430550""","""Gu Oidak""",0.01,18.32,4.80,0.2
"""0430830""","""Hackberry""",0.02,36.51,16.07,0.0
"""0430840""","""Haigler Creek""",0.00,1.82,0.98,0.0
"""0430850""","""Haivana Nakya""",0.00,2.10,0.60,0.0
"""0431182""","""Hard Rock""",0.03,32.54,9.21,0.1
"""0432020""","""Hayden""",0.42,192.49,80.63,0.0
"""0432310""","""Heber-Overgaard""",2.17,1549.62,705.07,0.0
"""0433280""","""Holbrook""",1.47,1095.57,393.32,0.0
"""0433440""","""Hondah""",0.08,221.47,56.26,0.0
"""0433945""","""Hotevilla-Bacavi""",0.01,51.21,12.27,0.3
"""0433980""","""Houck""",0.35,488.32,133.43,0.3
"""0434120""","""Huachuca City""",0.71,980.94,408.32,0.0
"""0434700""","""Hunter Creek""",0.03,9.85,5.78,0.0
"""0434980""","""Icehouse Canyon""",0.08,151.85,70.02,0.0
"""0435310""","""Indian Wells""",0.06,54.84,14.44,0.3
"""0436010""","""Jakes Corner""",0.01,12.62,5.07,0.0
"""0436150""","""Jeddito""",0.12,103.24,30.50,0.3
"""0436290""","""Jerome""",0.00,10.73,4.95,0.6
"""0436430""","""Joseph City""",0.02,29.18,9.54,0.0
"""0436475""","""Kachina Village""",0.48,665.63,274.31,0.0
"""0436500""","""Kaibab""",0.02,84.38,14.38,0.0
"""0436640""","""Kaibito""",0.05,97.89,22.85,0.0
"""0436780""","""Kaka""",0.00,0.20,0.08,0.0
"""0436920""","""Katherine""",0.01,11.63,5.68,0.0
"""0436990""","""Kayenta""",0.73,1723.29,465.12,0.3
"""0437130""","""Keams Canyon""",0.05,23.23,6.09,0.3
"""0437200""","""Kearny""",1.18,1440.27,477.05,0.0
"""0437620""","""Kingman""",9.26,21712.81,8706.96,0.1
"""0437935""","""Kino Springs""",0.00,1.35,0.39,0.0
"""0438250""","""Klagetoh""",0.00,0.83,0.25,0.2
"""0438530""","""Kohatk""",0.00,0.11,0.02,0.0
"""0438600""","""Kohls Ranch""",0.01,5.25,3.08,0.0
"""0438655""","""Komatke""",0.03,117.72,25.43,2.0
"""0438950""","""Ko Vaya""",0.00,2.08,0.51,0.3
"""0439100""","""Kykotsmovi Village""",0.02,73.70,17.66,0.3
"""0439370""","""Lake Havasu City""",31.62,48327.43,21031.71,0.0
"""0439720""","""Lake Montezuma""",1.22,2332.60,1049.87,0.0
"""0439790""","""Lake of the Woods""",2.49,2486.82,1001.39,0.0
"""0440160""","""La Paz Valley""",0.24,237.18,151.53,0.0
"""0440400""","""Lazy Y U""",0.02,32.52,14.31,0.0
"""0440415""","""LeChee""",0.06,106.46,27.18,0.0
"""0440630""","""Leupp""",0.05,57.97,15.70,0.0
"""0441085""","""Linden""",0.90,1930.81,792.29,0.0
"""0441330""","""Litchfield Park""",3.47,6296.32,2469.24,0.3
"""0441470""","""Littlefield""",0.00,9.36,3.82,0.0
"""0441540""","""Littletown""",0.02,105.90,32.20,4.4
"""0442460""","""Lower Santan Village""",0.11,112.63,38.52,0.0
"""0442590""","""Low Mountain""",0.46,289.84,90.73,0.0
"""0442660""","""Lukachukai""",1.03,1161.32,268.67,0.3
"""0442940""","""Lupton""",0.00,2.08,0.56,0.3
"""0443150""","""McConnico""",0.36,432.59,108.28,0.4
"""0443430""","""McNary""",0.02,38.89,10.36,0.0
"""0443570""","""McNeal""",0.00,3.06,1.55,0.0
"""0443920""","""Maish Vaya""",0.01,8.02,1.95,0.3
"""0443990""","""Mammoth""",1.20,917.06,300.96,0.0
"""0444200""","""Many Farms""",0.12,150.15,42.58,0.3
"""0444270""","""Marana""",11.58,38877.66,13973.36,1.0
"""0444410""","""Maricopa""",21.25,45253.96,13953.66,0.6
"""0444450""","""Maricopa Colony""",0.08,288.42,62.31,2.0
"""0444830""","""Martinez Lake""",0.16,35.77,13.18,0.0
"""0445180""","""Mayer""",0.24,475.22,151.98,0.0
"""0445275""","""Mead Ranch""",0.01,5.08,2.47,0.0
"""0445285""","""Meadview""",0.04,45.72,22.74,0.0
"""0446000""","""Mesa""",281.85,478103.55,174489.39,4.6
"""0446005""","""Mesa del Caballo""",0.01,6.13,2.59,0.0
"""0446070""","""Mescal""",0.73,895.94,400.63,0.0
"""0446087""","""Mesquite Creek""",0.04,72.61,29.65,0.0
"""0446350""","""Miami""",0.23,360.36,128.51,0.0
"""0446840""","""Miracle Valley""",0.01,19.83,8.26,0.0
"""0447190""","""Moccasin""",0.00,10.02,1.71,0.0
"""0447330""","""Moenkopi""",0.02,20.65,5.48,0.3
