place,name,blkgrps,population,households,alltransit_performance_score
"""0500250""","""Adona""",0.02,22.61,8.66,0.0
"""0500580""","""Alexander""",0.46,900.96,327.04,0.1
"""0500700""","""Alicia""",0.00,0.89,0.37,0.0
"""0500940""","""Allport""",0.00,2.29,0.86,0.0
"""0500970""","""Alma""",1.78,3236.64,1155.77,0.0
"""0501030""","""Almyra""",0.00,1.98,0.90,0.0
"""0501060""","""Alpena""",0.02,36.24,13.90,0.0
"""0501150""","""Altheimer""",0.03,16.81,5.87,0.0
"""0501210""","""Altus""",0.06,124.55,49.53,0.0
"""0501270""","""Amagon""",0.00,0.56,0.29,0.0
"""0501360""","""Amity""",0.04,41.07,15.41,0.0
"""0501457""","""Anthonyville""",0.00,0.41,0.19,0.0
"""0501540""","""Antoine""",0.01,4.79,2.18,0.0
"""0501870""","""Arkadelphia""",6.54,7515.53,2914.99,0.5
"""0501990""","""Arkansas City""",0.01,3.74,1.70,0.0
"""0502380""","""Ashdown""",1.66,1524.02,642.34,0.0
"""0502470""","""Ash Flat""",0.14,239.82,99.20,0.0
"""0502590""","""Atkins""",0.49,735.80,267.24,0.0
"""0502680""","""Aubrey""",0.01,4.73,2.12,0.0
"""0502740""","""Augusta""",0.02,31.25,13.53,0.0
"""0502860""","""Austin""",0.58,1237.50,463.04,0.0
"""0503010""","""Avilla""",0.50,901.66,316.78,0.0
"""0503040""","""Avoca""",0.21,423.52,149.25,0.0
"""0503280""","""Bald Knob""",0.50,479.54,198.17,0.0
"""0503430""","""Banks""",0.00,1.13,0.53,0.0
"""0503640""","""Barling""",2.00,4456.99,1797.89,0.0
"""0503940""","""Bassett""",0.00,3.23,1.48,0.0
"""0504030""","""Batesville""",5.06,5728.93,2304.65,0.0
"""0504090""","""Bauxite""",0.39,985.41,366.92,0.0
"""0504180""","""Bay""",0.16,217.69,88.12,0.0
"""0504420""","""Bearden""",0.38,304.22,110.44,0.0
"""0504540""","""Beaver""",0.01,17.66,8.32,0.0
"""0504600""","""Beebe""",2.69,4352.71,1571.75,0.0
"""0504720""","""Beedeville""",0.01,5.72,2.98,0.0
"""0504840""","""Bella Vista""",13.51,26454.50,11133.47,0.0
"""0504900""","""Bellefonte""",0.02,40.71,17.12,0.0
"""0504960""","""Belleville""",0.04,85.11,26.59,0.0
"""0505260""","""Ben Lomond""",0.03,43.85,19.50,0.0
"""0505290""","""Benton""",15.06,27853.70,10633.05,0.0
"""0505320""","""Bentonville""",21.62,37703.35,13813.09,1.2
"""0505440""","""Bergman""",0.02,52.56,18.36,0.0
"""0505560""","""Berryville""",0.67,1177.18,390.07,0.0
"""0505740""","""Bethel Heights""",0.56,1405.81,435.24,0.0
"""0505920""","""Bigelow""",0.03,32.79,12.65,0.0
"""0505980""","""Big Flat""",0.01,6.44,3.22,0.0
"""0506040""","""Biggers""",0.02,8.07,3.40,0.0
"""0506340""","""Birdsong""",0.00,1.61,0.74,0.0
"""0506610""","""Black Oak""",0.01,4.43,1.67,0.0
"""0506700""","""Black Rock""",0.16,216.63,74.63,0.0
"""0506730""","""Black Springs""",0.01,9.18,4.19,0.0
"""0507030""","""Blevins""",0.01,15.13,5.62,0.0
"""0507150""","""Blue Eye""",0.00,2.15,0.81,0.0
"""0507210""","""Blue Mountain""",0.02,19.81,7.48,0.0
"""0507270""","""Bluff City""",0.02,6.98,3.41,0.0
"""0507330""","""Blytheville""",15.64,13628.53,5619.56,0.0
"""0507450""","""Bodcaw""",0.03,29.98,12.96,0.0
"""0507540""","""Bonanza""",0.27,590.86,224.75,0.0
"""0507630""","""Bono""",0.27,822.36,293.99,0.0
"""0507720""","""Booneville""",2.05,2172.97,840.58,0.0
"""0508260""","""Bradford""",0.01,17.54,6.62,0.0
"""0508290""","""Bradley""",0.01,9.20,3.33,0.0
"""0508440""","""Branch""",0.11,100.92,39.63,0.0
"""0508665""","""Briarcliff""",0.11,132.11,63.74,0.0
"""0508950""","""Brinkley""",0.68,576.26,233.19,0.0
"""0509100""","""Brookland""",0.72,2427.10,941.91,0.0
"""0509460""","""Bryant""",8.70,19744.65,7648.45,0.0
"""0509550""","""Buckner""",0.06,30.45,14.10,0.0
"""0509790""","""Bull Shoals""",1.40,1663.73,687.40,0.0
"""0509880""","""Burdette""",0.01,13.09,5.36,0.0
"""0510300""","""Cabot""",7.58,15300.02,5796.67,0.0
"""0510360""","""Caddo Valley""",0.07,177.19,73.41,0.0
"""0510450""","""Caldwell""",0.15,213.25,86.06,0.0
"""0510480""","""Cale""",0.01,14.79,5.67,0.0
"""0510570""","""Calico Rock""",0.14,248.07,87.16,0.0
"""0510600""","""Calion""",0.05,42.59,16.04,0.0
"""0510720""","""Camden""",10.17,7837.38,3166.81,0.0
"""0510780""","""Cammack Village""",1.00,926.65,365.86,0.4
"""0510900""","""Campbell Station""",0.25,254.65,93.75,0.0
"""0511410""","""Caraway""",0.18,193.32,75.98,0.0
"""0511500""","""Carlisle""",0.51,665.29,270.08,0.0
"""0511830""","""Carthage""",0.00,3.69,1.40,0.0
"""0511890""","""Casa""",0.02,24.32,9.31,0.0
"""0511920""","""Cash""",0.00,4.16,1.45,0.0
"""0512190""","""Caulksville""",0.07,62.03,26.75,0.0
"""0512280""","""Cave City""",0.46,561.69,227.75,0.0
"""0512340""","""Cave Springs""",1.57,4247.68,1522.66,0.1
"""0512520""","""Cedarville""",0.18,468.84,176.79,0.0
"""0512790""","""Center Ridge""",0.11,195.01,71.00,0.0
"""0512820""","""Centerton""",4.56,10172.33,3511.07,0.0
"""0513120""","""Central City""",0.13,279.89,104.98,0.0
"""0513300""","""Charleston""",0.21,357.58,131.25,0.0
"""0513420""","""Cherokee City""",0.01,16.66,5.92,0.0
"""0513450""","""Cherokee Village""",4.38,2917.80,1372.04,0.0
"""0513540""","""Cherry Valley""",0.07,70.33,27.61,0.0
"""0513570""","""Chester""",0.01,13.34,5.59,0.0
"""0513750""","""Chidester""",0.05,71.00,32.17,0.0
"""0513990""","""Clarendon""",0.03,35.38,15.73,0.0
"""0514050""","""Clarkedale""",0.13,201.46,78.93,0.0
"""0514140""","""Clarksville""",5.46,6273.19,2340.52,0.0
"""0514260""","""Clinton""",0.33,539.88,229.42,0.0
"""0514500""","""Coal Hill""",0.11,171.31,63.52,0.0
"""0514860""","""College Station""",0.57,454.28,206.96,3.3
"""0514950""","""Colt""",0.07,57.42,33.50,0.0
"""0515100""","""Concord""",0.06,78.05,34.08,0.0
"""0515190""","""Conway""",29.47,57625.74,21528.86,0.0
"""0515310""","""Corinth""",0.06,141.17,44.10,0.0
"""0515460""","""Corning""",0.95,699.42,324.17,0.0
"""0515490""","""Cotter""",1.07,1081.18,432.85,0.0
"""0515550""","""Cotton Plant""",0.02,7.20,3.57,0.0
"""0515700""","""Cove""",0.01,10.82,5.26,0.0
"""0515790""","""Coy""",0.01,5.50,1.88,0.0
"""0515940""","""Crawfordsville""",0.04,37.86,12.45,0.0
"""0516240""","""Crossett""",2.27,2531.55,925.18,0.0
"""0516930""","""Cushman""",0.06,85.17,33.86,0.0
"""0517140""","""Daisy""",0.01,10.97,4.65,0.0
"""0517290""","""Damascus""",0.06,72.74,27.24,0.0
"""0517320""","""Danville""",0.17,250.87,77.14,0.0
"""0517380""","""Dardanelle""",2.46,2588.86,979.12,0.0
"""0517410""","""Datto""",0.01,5.88,2.56,0.0
