place,name,blkgrps,population,households,alltransit_performance_score
"""0600135""","""Acalanes Ridge""",0.91,1143.99,417.12,7.5
"""0600156""","""Acampo""",0.08,96.17,40.55,0.7
"""0600212""","""Acton""",1.94,4843.59,1663.16,1.1
"""0600296""","""Adelanto""",8.43,29903.40,7600.72,3.0
"""0600310""","""Adin""",0.01,4.37,1.90,0.2
"""0600394""","""Agoura Hills""",13.42,20361.73,7252.71,3.1
"""0600450""","""Agua Dulce""",1.69,3433.17,1127.64,0.3
"""0600464""","""Aguanga""",0.30,345.67,117.60,0.0
"""0600478""","""Ahwahnee""",0.90,1452.18,549.40,0.0
"""0600535""","""Airport""",0.74,1266.79,377.30,4.7
"""0600562""","""Alameda""",58.00,78246.00,30587.00,7.4
"""0600618""","""Alamo""",6.67,12509.96,4391.34,1.9
"""0600674""","""Albany""",15.00,19682.00,7370.00,8.7
"""0600716""","""Albion""",0.02,45.95,21.16,0.5
"""0600786""","""Alderpoint""",0.01,6.69,3.19,0.5
"""0600884""","""Alhambra""",52.00,85168.00,29179.00,7.2
"""0600898""","""Alhambra Valley""",0.23,402.38,150.26,2.7
"""0600947""","""Aliso Viejo""",27.35,47087.10,17572.11,1.5
"""0600982""","""Alleghany""",0.00,0.72,0.25,0.0
"""0600996""","""Allendale""",1.02,1351.50,509.48,0.1
"""0601010""","""Allensworth""",0.04,68.34,17.38,0.0
"""0601094""","""Almanor""",0.00,2.18,1.11,0.5
"""0601150""","""Alondra Park""",5.99,7859.29,2599.10,6.4
"""0601164""","""Alpaugh""",0.01,22.15,5.63,0.0
"""0601192""","""Alpine""",5.31,13271.54,4874.89,2.2
"""0601228""","""Alpine Village""",0.02,13.66,2.94,0.0
"""0601276""","""Alta""",0.07,65.90,27.55,0.4
"""0601290""","""Altadena""",34.65,44102.25,15068.85,5.8
"""0601360""","""Alta Sierra""",4.16,6998.32,2828.95,0.4
"""0601416""","""Alto""",0.24,400.99,157.93,6.2
"""0601444""","""Alturas""",2.39,1837.15,905.55,0.6
"""0601458""","""Alum Rock""",6.51,11109.13,2680.54,7.3
"""0601514""","""Amador City""",0.01,16.21,5.92,0.7
"""0601640""","""American Canyon""",7.70,18119.86,4878.43,3.2
"""0601651""","""Amesti""",1.99,2860.97,807.04,4.6
"""0602000""","""Anaheim""",186.14,345215.86,98454.16,4.9
"""0602028""","""Anchor Bay""",0.17,316.79,159.69,0.5
"""0602042""","""Anderson""",6.69,8534.89,3167.19,2.0
"""0602112""","""Angels""",0.12,269.84,130.71,0.7
"""0602168""","""Angwin""",2.08,3254.46,705.68,0.0
"""0602210""","""Antelope""",20.75,48723.50,14771.61,1.3
"""0602252""","""Antioch""",50.55,103899.33,32015.20,6.6
"""0602294""","""Anza""",0.98,1604.36,551.26,0.0
"""0602364""","""Apple Valley""",33.91,68591.71,22737.55,2.8
"""0602378""","""Aptos""",5.19,6431.88,2540.75,5.0
"""0602382""","""Aptos Hills-Larkin Valley""",1.93,2302.21,841.71,3.4
"""0602420""","""Arbuckle""",1.02,2563.94,696.54,0.0
"""0602462""","""Arcadia""",43.16,60167.68,19931.58,6.8
"""0602476""","""Arcata""",9.60,14556.61,5665.68,3.0
"""0602553""","""Arden-Arcade""",72.79,97880.71,40775.06,5.7
"""0602700""","""Armona""",0.93,1602.01,456.31,3.2
"""0602770""","""Arnold""",2.99,2007.01,890.25,0.8
"""0602812""","""Aromas""",1.46,2273.42,763.10,0.0
"""0602868""","""Arroyo Grande""",10.30,15875.50,6324.60,3.2
"""0602896""","""Artesia""",10.00,16853.00,4517.00,6.4
"""0602910""","""Artois""",0.04,32.98,11.62,0.0
"""0602924""","""Arvin""",4.02,8195.27,1937.46,0.7
"""0602980""","""Ashland""",13.58,23993.28,7593.96,8.7
"""0603026""","""Aspen Springs""",0.02,19.87,5.98,0.5
"""0603064""","""Atascadero""",16.31,27963.95,10646.75,2.5
"""0603092""","""Atherton""",7.00,7182.00,2320.00,5.4
"""0603162""","""Atwater""",14.51,24093.57,7408.20,3.2
"""0603190""","""Auberry""",0.60,911.44,382.11,0.0
"""0603204""","""Auburn""",6.79,10700.25,4563.67,2.1
"""0603205""","""Auburn Lake Trails""",0.71,2059.70,755.28,0.0
"""0603209""","""August""",4.61,7507.89,2116.84,3.3
"""0603274""","""Avalon""",4.02,3680.39,1333.05,2.7
"""0603302""","""Avenal""",5.03,13125.43,2198.98,1.0
"""0603316""","""Avery""",0.31,709.08,273.27,0.5
"""0603330""","""Avila Beach""",1.08,957.64,571.63,1.1
"""0603344""","""Avocado Heights""",4.08,13070.27,3133.93,5.1
"""0603386""","""Azusa""",27.65,45869.74,12009.50,7.3
"""0603512""","""Baker""",0.00,0.32,0.11,0.0
"""0603526""","""Bakersfield""",182.81,358466.18,111184.88,4.4
"""0603666""","""Baldwin Park""",39.43,76147.71,17547.80,6.8
"""0603694""","""Ballard""",0.31,291.52,111.86,0.0
"""0603708""","""Ballico""",0.13,247.26,78.67,0.8
"""0603792""","""Bangor""",0.40,381.12,156.41,0.1
"""0603820""","""Banning""",10.61,26767.32,8912.85,2.6
"""0604030""","""Barstow""",15.36,25494.43,8706.39,4.3
"""0604198""","""Bass Lake""",0.06,48.76,25.42,0.6
"""0604415""","""Bay Point""",10.30,22592.00,6442.14,7.3
"""0604470""","""Bayview""",1.14,1818.61,582.15,5.1
"""0604478""","""Bayview""",1.23,1564.50,581.06,2.4
"""0604576""","""Beale AFB""",2.20,781.90,263.59,0.0
"""0604632""","""Bear Creek""",0.00,7.48,2.41,1.0
"""0604716""","""Bear Valley""",0.01,3.15,1.09,0.0
"""0604730""","""Bear Valley""",0.06,40.94,18.05,0.0
"""0604734""","""Bear Valley Springs""",2.78,4746.09,2035.20,0.0
"""0604758""","""Beaumont""",13.76,38696.74,12603.68,2.5
"""0604772""","""Beckwourth""",0.02,13.45,6.94,0.0
"""0604856""","""Belden""",0.00,1.70,0.85,0.4
"""0604870""","""Bell""",20.32,35876.66,8997.13,7.3
"""0604926""","""Bella Vista""",1.70,2234.10,846.25,0.4
"""0604938""","""Bell Canyon""",0.40,703.09,224.78,0.0
"""0604982""","""Bellflower""",51.00,77852.00,23359.00,7.1
"""0604996""","""Bell Gardens""",25.00,42845.00,9659.00,6.3
"""0605108""","""Belmont""",17.84,26311.72,10055.34,6.1
"""0605164""","""Belvedere""",2.00,2158.52,957.44,5.4
"""0605262""","""Benbow""",0.14,185.14,80.14,0.7
"""0605276""","""Bend""",0.13,188.80,85.41,0.6
"""0605290""","""Benicia""",16.15,24358.35,9806.50,2.5
"""0605332""","""Ben Lomond""",5.60,6838.80,2477.88,4.4
"""0605346""","""Benton""",0.02,36.40,11.26,0.2
"""0606000""","""Berkeley""",93.00,120179.00,45515.00,8.8
"""0606028""","""Bermuda Dunes""",3.41,8221.40,3216.69,2.9
"""0606070""","""Berry Creek""",1.21,1166.38,504.85,0.0
"""0606150""","""Bertsch-Oceanview""",1.33,2331.62,917.40,2.3
"""0606210""","""Bethel Island""",2.00,2379.00,1034.00,0.0
"""0606308""","""Beverly Hills""",27.00,34506.00,14902.00,8.2
"""0606336""","""Bieber""",0.01,3.85,1.32,0.2
"""0606406""","""Big Bear City""",9.28,10731.65,4306.88,2.1
"""0606434""","""Big Bear Lake""",8.80,5169.49,2120.74,1.9
"""0606475""","""Big Bend""",0.02,25.76,10.71,0.4
"""0606518""","""Big Creek""",0.00,0.54,0.17,0.0
"""0606560""","""Biggs""",0.22,263.23,76.43,0.8
"""0606567""","""Big Lagoon""",0.00,2.71,1.33,0.7
"""0606616""","""Big Pine""",1.00,1605.12,669.06,1.0
"""0606635""","""Big River""",0.98,705.55,351.44,0.0
"""0606728""","""Biola""",0.14,207.05,50.03,0.0
"""0606798""","""Bishop""",2.43,3229.10,1685.56,0.7
"""0606928""","""Blackhawk""",4.14,7523.96,2658.11,0.3
"""0606935""","""Blacklake""",0.16,305.23,131.49,0.0
