place,name,blkgrps,population,households,alltransit_performance_score
"""0800320""","""Acres Green""",0.97,1883.49,781.96,5.3
"""0800620""","""Aetna Estates""",0.00,8.82,2.48,2.3
"""0800760""","""Aguilar""",0.00,2.03,0.88,0.0
"""0800870""","""Air Force Academy""",2.32,4928.16,416.45,0.0
"""0800925""","""Akron""",0.32,364.91,156.20,0.0
"""0801090""","""Alamosa""",6.09,5934.94,2474.51,0.0
"""0801145""","""Alamosa East""",1.34,1544.02,532.41,0.0
"""0801420""","""Allenspark""",0.13,55.73,28.26,0.0
"""0801530""","""Alma""",0.01,12.10,5.19,0.0
"""0801640""","""Alpine""",0.00,4.15,2.08,0.0
"""0801740""","""Altona""",0.11,352.13,143.28,2.5
"""0801915""","""Amherst""",0.00,0.83,0.32,0.0
"""0802355""","""Antonito""",0.00,3.83,1.59,0.0
"""0802575""","""Applewood""",5.54,8101.95,3230.04,6.0
"""0802905""","""Arboles""",0.02,15.36,6.89,0.0
"""0803015""","""Aristocrat Ranchettes""",0.06,145.58,52.13,0.0
"""0803235""","""Arriba""",0.00,0.22,0.08,0.0
"""0803455""","""Arvada""",76.57,109769.31,43931.26,4.6
"""0803620""","""Aspen""",2.66,3280.62,1485.29,8.3
"""0803730""","""Aspen Park""",0.51,581.37,232.27,0.7
"""0803840""","""Atwood""",0.00,4.16,1.59,0.0
"""0803950""","""Ault""",0.26,521.02,183.33,0.0
"""0804000""","""Aurora""",226.16,349605.35,124315.30,6.4
"""0804110""","""Avon""",3.04,4878.93,1639.35,3.7
"""0804165""","""Avondale""",0.05,65.65,21.74,0.0
"""0804620""","""Bark Ranch""",0.01,15.02,7.43,0.0
"""0804935""","""Basalt""",0.60,1096.16,444.44,3.9
"""0805120""","""Battlement Mesa""",1.59,2837.40,1105.87,0.6
"""0805265""","""Bayfield""",0.39,533.22,195.84,0.0
"""0806090""","""Bennett""",0.46,943.05,354.53,0.0
"""0806172""","""Berkley""",6.98,11335.99,3912.05,5.9
"""0806255""","""Berthoud""",3.73,5732.54,2257.47,0.9
"""0806530""","""Bethune""",0.00,0.93,0.34,0.0
"""0806602""","""Beulah Valley""",0.07,97.43,35.10,0.0
"""0806970""","""Black Forest""",7.59,15653.76,5496.86,0.0
"""0807025""","""Black Hawk""",0.13,128.19,70.92,0.0
"""0807190""","""Blanca""",0.01,7.87,2.70,0.0
"""0807245""","""Blende""",0.53,632.36,262.46,1.3
"""0807410""","""Blue River""",0.10,94.01,33.48,1.0
"""0807420""","""Blue Sky""",0.00,0.30,0.11,0.0
"""0807571""","""Bonanza""",0.00,0.29,0.13,0.0
"""0807580""","""Bonanza Mountain Estates""",0.01,9.84,4.26,1.6
"""0807795""","""Boone""",0.00,0.34,0.14,0.0
"""0807850""","""Boulder""",66.49,98359.72,39773.36,7.3
"""0808070""","""Bow Mar""",1.61,1292.57,444.24,3.4
"""0808290""","""Brandon""",0.00,0.04,0.02,0.0
"""0808345""","""Branson""",0.00,0.07,0.03,0.0
"""0808400""","""Breckenridge""",1.34,2241.61,543.26,3.3
"""0808530""","""Brick Center""",0.09,185.21,61.22,0.1
"""0808675""","""Brighton""",15.03,36961.76,11586.96,2.8
"""0809115""","""Brookside""",0.11,102.23,45.18,0.0
"""0809280""","""Broomfield""",46.00,64283.00,25938.00,2.9
"""0809555""","""Brush""",2.40,3152.41,1181.00,0.0
"""0810105""","""Buena Vista""",1.11,1575.09,596.09,0.0
"""0810600""","""Burlington""",1.14,1552.78,670.29,0.0
"""0810985""","""Byers""",1.01,1241.54,448.85,0.0
"""0811260""","""Calhan""",0.01,17.81,7.62,0.0
"""0811645""","""Campo""",0.00,0.07,0.03,0.0
"""0811810""","""Cañon City""",12.41,11959.81,5455.88,0.0
"""0811975""","""Capulin""",0.01,7.13,2.80,0.0
"""0812045""","""Carbondale""",2.78,3286.36,1273.30,4.3
"""0812325""","""Cascade-Chipita Park""",1.15,1114.72,549.20,0.1
"""0812387""","""Castle Pines""",4.62,9789.50,3267.14,0.2
