place,name,blkgrps,population,households,alltransit_performance_score
"""0901150""","""Ansonia""",10.00,18953.00,6981.00,4.2
"""0902550""","""Baltic""",0.27,402.32,153.12,0.0
"""0902690""","""Bantam""",0.18,203.14,90.57,0.0
"""0904790""","""Bethel""",5.83,8087.05,3331.40,4.7
"""0904945""","""Bethlehem Village""",1.18,1457.36,544.97,0.0
"""0906050""","""Blue Hills""",2.66,3410.12,1176.08,7.7
"""0907345""","""Branford Center""",6.00,6355.00,3063.00,6.7
"""0908000""","""Bridgeport""",109.00,147586.00,50341.00,6.9
"""0908420""","""Bristol""",43.00,60498.00,24789.00,3.2
"""0908770""","""Broad Brook""",1.33,3457.89,1281.01,0.0
"""0909120""","""Brooklyn""",0.22,373.54,102.47,0.4
"""0910660""","""Byram""",3.25,3901.47,1455.40,7.5
"""0910870""","""Canaan""",1.00,1123.00,469.00,0.8
"""0911990""","""Cannondale""",0.12,191.06,59.30,4.4
"""0912370""","""Canton Valley""",0.85,1356.90,552.54,2.0
"""0914200""","""Cheshire Village""",3.04,5334.53,1797.80,3.7
"""0914370""","""Chester Center""",1.07,1370.02,589.94,2.3
"""0915420""","""Clinton""",3.09,2955.31,1260.83,4.9
"""0915840""","""Colchester""",3.18,3616.54,1473.54,1.6
"""0916120""","""Collinsville""",2.21,3556.14,1516.01,1.7
"""0916960""","""Conning Towers Nautilus Park""",5.52,8160.82,2306.30,1.4
"""0917520""","""Cos Cob""",5.39,6337.17,2326.58,5.2
"""0917835""","""Coventry Lake""",1.89,2298.82,929.21,0.0
"""0918220""","""Crystal Lake""",1.42,1950.72,702.91,0.0
"""0918430""","""Danbury""",48.00,84573.00,29692.00,4.0
"""0918780""","""Danielson""",3.32,3366.15,1635.21,0.0
"""0918920""","""Darien""",15.00,21742.00,6703.00,6.8
"""0919200""","""Deep River Center""",1.91,1954.68,893.19,1.8
"""0919480""","""Derby""",8.00,12700.00,4919.00,5.1
"""0920740""","""Durham""",1.73,2449.40,943.71,0.0
"""0921160""","""East Brooklyn""",1.00,1708.00,701.00,0.2
"""0922420""","""East Hampton""",1.03,1817.87,675.08,1.4
"""0922700""","""East Hartford""",41.00,50812.00,19572.00,6.8
"""0922980""","""East Haven""",20.00,29006.00,11270.00,4.7
"""0926370""","""Essex Village""",2.65,2431.67,1200.59,1.7
"""0927390""","""Falls Village""",0.05,54.65,24.71,0.0
"""0927810""","""Fenwick""",0.40,431.63,212.00,0.0
"""0930190""","""Gales Ferry""",1.01,941.56,370.08,1.2
"""0930540""","""Georgetown""",0.51,1371.35,479.10,2.3
"""0931270""","""Glastonbury Center""",4.09,6079.31,2677.71,3.9
"""0931520""","""Glenville""",1.96,1526.20,652.51,0.4
"""0933690""","""Greenwich""",15.58,13051.91,5520.22,7.0
"""0934180""","""Groton""",6.00,9184.00,4254.00,3.4
"""0934460""","""Groton Long Point""",1.00,480.00,238.00,0.0
"""0935020""","""Guilford Center""",2.43,2504.36,1226.76,5.6
"""0937000""","""Hartford""",96.00,124390.00,45822.00,8.5
"""0937770""","""Hazardville""",3.19,4651.20,1823.93,0.2
"""0937930""","""Heritage Village""",2.61,2953.10,1661.78,0.1
"""0938050""","""Higganum""",1.09,1629.43,604.03,2.1
"""0939940""","""Jewett City""",3.00,3443.00,1308.00,2.4
"""0940150""","""Kensington""",5.88,8539.94,3530.52,4.8
"""0941410""","""Lake Pocotopaug""",1.90,3389.31,1498.84,1.5
"""0941830""","""Lakeville""",1.09,839.78,411.58,0.0
"""0943300""","""Litchfield""",0.31,361.33,157.78,0.0
"""0943790""","""Long Hill""",2.00,4528.00,2455.00,3.0
"""0944630""","""Madison Center""",2.27,2292.74,967.97,5.8
"""0944690""","""Manchester""",29.20,30031.14,12481.06,6.4
"""0945120""","""Mansfield Center""",0.60,656.48,234.96,1.3
"""0945995""","""Mashantucket""",0.23,495.22,191.19,1.1
"""0946450""","""Meriden""",48.00,60241.00,26109.00,4.1
"""0947290""","""Middletown""",31.00,46747.00,19187.00,3.5
"""0947515""","""Milford city (balance)""",39.56,52632.66,21074.88,4.8
"""0949110""","""Moodus""",0.30,670.72,285.71,0.0
"""0949180""","""Moosup""",2.09,3137.34,1128.96,0.0
"""0949810""","""Mystic""",2.66,3916.41,1838.04,3.2
"""0949880""","""Naugatuck""",21.00,31649.00,11765.00,2.7
"""0950370""","""New Britain""",60.00,73069.00,28531.00,6.3
"""0951420""","""New Hartford Center""",1.00,1161.00,548.00,0.9
"""0952000""","""New Haven""",106.00,130884.00,49987.00,7.9
"""0952210""","""Newington""",21.00,30603.00,12519.00,6.4
"""0952280""","""New London""",20.00,27147.00,10984.00,4.6
"""0952560""","""New Milford""",2.78,5347.56,2208.68,2.1
"""0952770""","""New Preston""",1.00,932.00,432.00,0.0
"""0952910""","""Newtown""",2.00,1972.00,691.00,0.0
"""0953120""","""Niantic""",2.12,2729.84,1347.47,0.9
"""0953260""","""Noank""",1.25,1333.05,598.53,0.3
"""0953400""","""Norfolk""",0.05,32.65,15.02,0.0
"""0954660""","""North Granby""",1.00,1522.00,503.00,0.0
"""0954730""","""North Grosvenor Dale""",1.24,942.56,433.63,0.0
"""0954940""","""North Haven""",16.00,23877.00,8570.00,4.4
"""0955725""","""Northwest Harwinton""",3.13,2980.85,1050.42,0.1
"""0955990""","""Norwalk""",70.00,88537.00,33385.00,6.3
"""0956200""","""Norwich""",27.00,39875.00,15795.00,2.8
"""0956690""","""Oakville""",7.07,7702.26,3087.15,2.9
"""0956900""","""Old Greenwich""",6.00,6860.00,2190.00,6.8
"""0957180""","""Old Mystic""",1.42,2789.17,1113.07,1.3
"""0957390""","""Old Saybrook Center""",1.54,1769.92,776.10,6.3
"""0957670""","""Orange""",12.00,13981.00,4959.00,3.4
"""0958520""","""Oxoboxo River""",1.94,2854.45,1219.59,0.7
"""0959140""","""Pawcatuck""",4.94,4402.22,1949.58,3.1
"""0959210""","""Pemberwick""",4.60,4673.00,1534.19,3.5
"""0960090""","""Plainfield Village""",1.39,1436.89,608.60,0.0
"""0960260""","""Plantsville""",0.76,1601.90,731.19,1.8
