place,name,blkgrps,population,households,alltransit_performance_score
"""1200075""","""Acacia Villas""",0.54,1249.79,442.41,6.0
"""1200375""","""Alachua""",4.42,7772.43,3112.85,0.0
"""1200410""","""Alafaya""",5.87,83228.33,26466.51,1.4
"""1200625""","""Alford""",0.08,81.36,32.16,0.0
"""1200800""","""Allentown""",0.65,937.64,378.00,0.0
"""1200950""","""Altamonte Springs""",25.70,40673.61,17018.71,4.3
"""1201000""","""Altha""",0.07,69.89,25.46,0.0
"""1201050""","""Altoona""",0.03,46.62,22.36,0.7
"""1201100""","""Alturas""",2.68,3849.01,1360.94,0.1
"""1201125""","""Alva""",2.81,2226.20,779.00,0.0
"""1201353""","""Andrews""",0.25,539.89,242.51,0.0
"""1201475""","""Anna Maria""",2.11,987.64,488.02,5.5
"""1201625""","""Apalachicola""",2.44,1687.56,778.34,0.0
"""1201675""","""Apollo Beach""",7.08,20830.54,8062.90,1.1
"""1201700""","""Apopka""",13.15,46945.35,15713.35,2.7
"""1201750""","""Arcadia""",7.05,6898.85,2380.88,0.0
"""1201775""","""Archer""",0.33,801.91,287.79,0.5
"""1201875""","""Aripeka""",0.24,220.11,86.84,1.0
"""1202187""","""Asbury Lake""",1.39,8836.37,3065.06,0.0
"""1202250""","""Astatula""",0.33,757.05,271.00,0.0
"""1202275""","""Astor""",0.21,267.68,118.36,0.0
"""1202400""","""Atlantic Beach""",5.73,11432.33,4885.92,3.0
"""1202500""","""Atlantis""",1.11,2569.83,1016.24,5.0
"""1202550""","""Auburndale""",9.10,16111.75,5499.10,1.6
"""1202575""","""Aucilla""",0.06,231.17,40.51,0.0
"""1202660""","""Avalon""",0.58,928.07,385.08,0.0
"""1202681""","""Aventura""",29.00,37875.00,18888.00,6.0
"""1202750""","""Avon Park""",9.28,10430.42,3373.10,0.0
"""1202850""","""Azalea Park""",4.19,14702.23,4772.22,5.5
"""1202900""","""Babson Park""",0.15,211.89,72.75,0.8
"""1202925""","""Bagdad""",1.54,2742.64,958.67,0.0
"""1203250""","""Baldwin""",0.29,566.50,209.74,0.0
"""1203275""","""Bal Harbour""",4.00,2959.00,1459.00,7.9
"""1203375""","""Balm""",0.75,2791.15,1112.22,1.0
"""1203480""","""Bardmoor""",5.78,9151.10,3831.63,3.5
"""1203675""","""Bartow""",13.97,20871.50,6816.36,1.6
"""1203725""","""Bascom""",0.01,5.19,2.31,0.0
"""1203975""","""Bay Harbor Islands""",4.27,5290.63,2305.10,6.1
"""1204070""","""Bay Hill""",1.08,5059.64,1842.32,0.0
"""1204150""","""Bay Lake""",0.66,7526.52,2688.45,2.7
"""1204162""","""Bayonet Point""",15.37,26195.11,11118.65,2.5
"""1204200""","""Bay Pines""",2.48,3139.14,1573.35,5.6
"""1204250""","""Bayport""",0.11,218.58,115.01,0.8
