place,name,blkgrps,population,households,alltransit_performance_score
"""1300184""","""Abbeville""",0.06,174.90,28.60,0.0
"""1300408""","""Acworth""",7.70,18837.50,7020.65,0.6
"""1300436""","""Adairsville""",1.76,3396.32,1310.79,0.0
"""1300576""","""Adel""",4.54,3794.24,1291.69,0.0
"""1300660""","""Adrian""",0.03,35.86,12.57,0.0
"""1300828""","""Ailey""",0.09,170.00,51.93,0.0
"""1300996""","""Alamo""",0.09,147.61,27.98,0.0
"""1301024""","""Alapaha""",0.02,25.97,9.58,0.0
"""1301052""","""Albany""",52.43,68082.21,26111.29,2.7
"""1301248""","""Aldora""",0.08,68.95,29.21,0.0
"""1301472""","""Allenhurst""",0.52,677.85,296.31,0.0
"""1301500""","""Allentown""",0.10,126.57,45.84,0.0
"""1301612""","""Alma""",2.14,1948.41,714.74,0.0
"""1301696""","""Alpharetta""",22.28,63479.13,23003.41,3.4
"""1301808""","""Alston""",0.08,97.01,34.49,0.0
"""1301948""","""Alto""",0.16,284.20,97.70,0.0
"""1302060""","""Ambrose""",0.12,99.66,34.68,0.0
"""1302116""","""Americus""",9.74,9950.37,3827.87,0.0
"""1302256""","""Andersonville""",0.01,15.88,5.45,0.0
"""1302536""","""Appling""",0.16,298.24,94.59,0.0
"""1302564""","""Arabi""",0.18,166.92,70.21,0.0
"""1302592""","""Aragon""",0.16,156.04,58.57,0.0
"""1302648""","""Arcade""",0.86,1592.86,533.14,0.0
"""1302844""","""Argyle""",0.02,25.54,7.81,0.0
"""1302928""","""Arlington""",0.16,121.10,42.20,0.0
"""1303124""","""Arnoldsville""",0.08,110.78,47.08,0.0
"""1303236""","""Ashburn""",1.14,1169.22,500.93,0.0
"""1303440""","""Athens-Clarke County unified government (balance)""",71.41,122250.95,45785.23,3.7
"""1304000""","""Atlanta""",311.03,460855.01,192011.93,8.0
"""1304084""","""Attapulgus""",0.02,23.82,8.25,0.0
"""1304140""","""Auburn""",2.07,3902.23,1261.52,0.0
"""1304204""","""Augusta-Richmond County consolidated government (balance)""",138.62,198019.65,71149.40,1.9
"""1304252""","""Austell""",3.66,6814.01,2472.69,1.0
"""1304392""","""Avalon""",0.12,225.54,83.64,0.0
"""1304448""","""Avera""",0.01,16.87,4.96,0.0
"""1304644""","""Avondale Estates""",2.07,3831.24,1791.26,8.4
"""1304840""","""Baconton""",0.06,83.44,30.58,0.0
"""1304896""","""Bainbridge""",7.08,8541.95,3434.39,0.0
"""1304980""","""Baldwin""",1.08,2042.49,607.20,0.0
"""1305036""","""Ball Ground""",0.56,1409.25,496.06,0.0
"""1305344""","""Barnesville""",2.94,2770.71,987.86,0.0
"""1305680""","""Bartow""",0.02,12.55,4.57,0.0
"""1305708""","""Barwick""",0.01,15.50,6.16,0.0
"""1306016""","""Baxley""",1.98,2164.36,750.82,0.0
"""1306688""","""Bellville""",0.09,36.18,16.76,0.0
"""1306884""","""Belvedere Park""",12.15,16181.23,6033.71,7.2
"""1307248""","""Berkeley Lake""",1.34,3181.77,1246.85,0.6
"""1307304""","""Berlin""",0.03,35.80,13.60,0.0
"""1307612""","""Bethlehem""",1.05,989.19,310.99,0.0
"""1307640""","""Between""",0.23,596.99,208.28,0.0
"""1308200""","""Bishop""",0.04,64.27,21.41,0.0
"""1308284""","""Blackshear""",1.03,1466.49,568.32,0.0
"""1308480""","""Blairsville""",0.06,138.24,49.89,0.0
"""1308536""","""Blakely""",1.53,868.91,318.37,0.0
"""1308844""","""Bloomingdale""",1.75,3027.38,1185.52,0.0
"""1308928""","""Blue Ridge""",1.06,1295.04,514.87,0.0
"""1308956""","""Bluffton""",0.01,10.30,3.70,0.0
"""1309040""","""Blythe""",0.15,305.04,107.28,0.0
"""1309068""","""Bogart""",0.42,792.99,319.48,0.0
"""1309272""","""Bonanza""",0.92,4339.21,1375.82,2.3
"""1309460""","""Boston""",0.10,95.73,37.43,0.0
"""1309488""","""Bostwick""",0.05,121.06,46.95,0.0
"""1309544""","""Bowdon""",0.50,667.48,276.25,0.0
"""1309656""","""Bowersville""",0.19,301.49,113.72,0.0
"""1309712""","""Bowman""",0.24,301.18,110.09,0.0
"""1309852""","""Boykin""",0.03,47.72,18.80,0.0
"""1310076""","""Braselton""",1.76,8070.85,2551.70,0.5
"""1310104""","""Braswell""",0.09,214.70,77.11,0.0
"""1310132""","""Bremen""",1.34,2684.66,944.41,0.0
