place,name,blkgrps,population,households,alltransit_performance_score
"""1500400""","""Ahuimanu""",5.01,7793.28,2486.39,4.0
"""1500550""","""Aiea""",5.31,7672.81,2133.72,6.3
"""1501085""","""Ainaloa""",0.86,2693.01,939.75,0.8
"""1502200""","""Anahola""",1.04,1733.03,504.40,0.0
"""1503850""","""Captain Cook""",2.00,3384.35,1086.84,1.3
"""1505900""","""Discovery Harbour""",0.03,52.05,18.80,0.5
"""1506290""","""East Honolulu""",33.98,47849.61,16690.84,5.7
"""1506325""","""Eden Roc""",0.40,938.59,372.34,0.5
"""1507000""","""Eleele""",1.00,2863.00,781.00,0.0
"""1507450""","""Ewa Beach""",6.00,15047.00,3017.00,7.0
"""1507470""","""Ewa Gentry""",6.42,20947.55,6343.78,6.5
"""1507485""","""Ewa Villages""",3.00,8087.00,1842.00,5.9
"""1507542""","""Fern Acres""",0.42,999.00,396.30,0.5
"""1507675""","""Fern Forest""",0.50,1485.23,670.24,0.6
"""1508950""","""Haena""",0.02,8.74,3.37,0.0
"""1509260""","""Haiku-Pauwela""",5.90,7585.11,2776.05,0.6
"""1509700""","""Halaula""",0.05,46.61,13.73,0.3
"""1510000""","""Halawa""",7.05,14219.88,4090.41,6.3
"""1510750""","""Haleiwa""",3.83,3306.40,988.15,5.4
"""1510900""","""Haliimaile""",0.37,549.54,145.63,0.9
"""1511350""","""Hana""",1.04,786.74,216.80,0.0
"""1511500""","""Hanalei""",1.00,250.18,106.07,0.0
"""1511650""","""Hanamaulu""",2.00,5386.00,1161.00,0.0
"""1511800""","""Hanapepe""",1.76,2401.08,736.56,0.0
"""1512400""","""Hauula""",1.18,2669.45,632.58,5.0
"""1512450""","""Hawaiian Acres""",1.39,3628.69,1168.01,0.3
"""1512500""","""Hawaiian Beaches""",1.53,4513.69,1373.04,0.6
"""1512530""","""Hawaiian Ocean View""",0.20,461.07,166.44,0.5
"""1512600""","""Hawaiian Paradise Park""",4.07,11417.34,3922.05,0.2
"""1513600""","""Hawi""",0.75,933.88,278.81,0.8
"""1513900""","""Heeia""",4.09,4190.71,1365.77,5.2
"""1514200""","""Hickam Housing""",4.00,8931.00,2522.00,6.0
"""1514650""","""Hilo""",30.84,45403.36,15831.44,1.8
"""1515700""","""Holualoa""",5.09,8263.93,3034.49,0.0
"""1516000""","""Honalo""",0.61,950.38,350.93,0.8
"""1516160""","""Honaunau-Napoopoo""",1.09,2063.50,649.22,0.8
"""1516450""","""Honokaa""",1.50,1498.04,430.66,2.2
"""1517450""","""Honomu""",0.01,9.20,4.06,1.1
"""1519100""","""Iroquois Point""",0.36,1331.96,385.23,1.3
"""1519550""","""Kaaawa""",1.00,1127.83,420.61,4.8
"""1520000""","""Kaanapali""",0.91,944.53,429.53,1.8
"""1521200""","""Kahaluu""",1.46,2766.77,806.59,3.7
"""1521230""","""Kahaluu-Keauhou""",2.21,3894.55,1462.07,1.1
"""1522250""","""Kahuku""",0.96,1938.40,448.08,4.3
"""1522700""","""Kahului""",14.36,30828.89,7767.69,3.7
"""1523000""","""Kailua""",6.54,13554.41,4241.78,0.9
"""1523150""","""Kailua""",25.18,36930.92,12417.70,5.2
"""1524850""","""Kalaeloa""",0.03,92.66,21.14,3.6
"""1524950""","""Kalaheo""",2.51,4070.89,1284.91,0.0
"""1525400""","""Kalaoa""",2.86,7282.44,2655.26,1.1
"""1526750""","""Kalihiwai""",0.06,101.73,33.67,0.0
"""1528250""","""Kaneohe""",20.82,32918.38,10217.60,5.3
"""1528400""","""Kaneohe Station""",4.96,11174.47,2513.89,1.6
"""1528850""","""Kapaa""",6.69,10502.38,3493.69,0.0
"""1529000""","""Kapaau""",0.55,1066.47,308.98,0.6
"""1529725""","""Kapalua""",1.02,1335.77,500.84,1.8
"""1530300""","""Kapolei""",7.19,21244.41,5444.68,6.4
"""1530650""","""Kaumakani""",0.01,12.19,3.33,0.0
"""1531100""","""Kaunakakai""",2.77,2258.22,791.21,0.0
"""1532700""","""Kawela Bay""",0.03,20.60,6.30,2.5
"""1532900""","""Keaau""",0.20,417.08,118.89,0.8
"""1533950""","""Kealakekua""",0.89,818.47,315.87,1.0
"""1535600""","""Kekaha""",3.00,2831.05,917.31,0.0
"""1536050""","""Keokea""",0.37,1113.43,375.95,0.8
"""1536500""","""Kihei""",11.58,21291.56,7903.40,2.8
"""1536650""","""Kilauea""",1.09,1568.05,542.35,0.0
"""1539200""","""Koloa""",0.30,583.64,168.61,0.0
"""1539400""","""Ko Olina""",1.48,1492.76,578.76,4.3
"""1539500""","""Kualapuu""",0.55,808.20,257.48,0.0
"""1541000""","""Kukuihaele""",0.02,30.54,7.87,0.6
"""1541600""","""Kula""",1.79,3732.12,1371.85,1.2
"""1542800""","""Kurtistown""",0.49,1041.34,321.87,0.8
"""1542950""","""Lahaina""",7.93,11864.56,3163.91,3.3
"""1543250""","""Laie""",2.45,5703.23,916.83,4.9
"""1543700""","""Lanai City""",1.05,1162.25,498.71,0.0
"""1544075""","""Launiupoko""",0.18,116.36,48.42,0.0
"""1544150""","""Laupahoehoe""",0.60,714.94,223.80,1.8
"""1544450""","""Lawai""",0.71,943.33,346.94,0.0
"""1544562""","""Leilani Estates""",0.17,451.87,227.92,0.8
"""1545200""","""Lihue""",5.31,7264.83,2471.27,0.0
"""1546400""","""Maalaea""",1.01,93.52,64.23,1.2
"""1547050""","""Mahinahina""",1.12,3044.44,1242.59,1.4
"""1547300""","""Maili""",5.50,8868.72,2209.84,5.2
"""1547450""","""Makaha""",4.14,10056.67,2441.39,6.0
"""1547560""","""Makaha Valley""",0.41,530.02,203.92,4.4
"""1547600""","""Makakilo""",9.45,15690.83,4340.76,5.1
"""1548050""","""Makawao""",3.13,6788.98,2340.00,1.8
"""1548350""","""Makena""",0.76,449.23,196.02,0.9
"""1549425""","""Manele""",0.01,18.61,6.82,0.0
"""1550150""","""Maunaloa""",0.01,10.51,3.37,0.0
"""1550750""","""Maunawili""",0.33,658.08,194.71,4.1
"""1551000""","""Mililani Mauka""",6.13,17818.73,6201.70,4.9
"""1551050""","""Mililani Town""",16.92,26706.27,8436.69,6.1
"""1552550""","""Mokuleia""",0.04,85.68,33.47,1.2
"""1553300""","""Mountain View""",2.04,4531.06,1662.54,0.4
"""1553600""","""Naalehu""",0.06,62.22,17.29,0.6
"""1553900""","""Nanakuli""",3.42,7039.35,1619.21,6.1
"""1553975""","""Nanawale Estates""",0.19,334.97,111.67,0.9
"""1554100""","""Napili-Honokowai""",2.29,2022.03,729.25,2.3
"""1556685""","""Ocean Pointe""",3.25,13320.36,3823.40,4.9
"""1557350""","""Olinda""",1.02,1073.19,448.36,0.8
"""1557650""","""Olowalu""",0.10,64.28,26.75,0.0
"""1557800""","""Omao""",0.32,598.25,224.56,0.0
"""1558775""","""Orchidlands Estates""",1.71,3273.18,1063.01,0.5
"""1559300""","""Paauilo""",0.13,205.51,51.76,1.3
"""1559750""","""Pahala""",0.00,4.09,0.93,0.5
"""1559900""","""Pahoa""",0.09,176.93,61.80,0.8
"""1560200""","""Paia""",1.52,2444.48,708.97,1.1
"""1560350""","""Pakala Village""",0.02,30.87,8.43,0.0
"""1561550""","""Papaikou""",0.64,715.35,247.62,2.1
"""1561700""","""Paukaa""",0.01,13.94,5.45,0.5
"""1562600""","""Pearl City""",21.36,42299.78,12833.96,5.9
"""1563650""","""Pepeekeo""",0.10,115.33,37.51,0.5
"""1564550""","""Poipu""",1.17,419.33,204.01,0.0
"""1565075""","""Princeville""",1.86,1911.93,724.88,0.0
"""1565150""","""Puako""",0.38,406.75,183.07,1.3
"""1565750""","""Puhi""",0.53,1127.52,241.09,0.0
"""1565900""","""Pukalani""",3.12,7195.25,2499.43,1.7
"""1566500""","""Punaluu""",0.07,122.55,36.18,2.2
"""1566800""","""Pupukea""",1.10,3134.61,1084.59,3.2
"""1568815""","""Royal Kunia""",5.25,11939.27,3191.61,4.4
"""1569050""","""Schofield Barracks""",8.00,20229.00,4370.00,1.8
"""1570700""","""Ualapue""",0.11,71.50,29.86,0.0
"""1571550""","""Urban Honolulu""",237.02,350806.39,128942.16,7.9
"""1572350""","""Volcano""",0.82,2086.64,848.81,0.6
"""1572650""","""Wahiawa""",10.54,16411.79,5243.22,5.9
"""1574000""","""Waialua""",3.22,3896.49,1140.79,3.9
"""1574450""","""Waianae""",5.15,11405.82,2756.91,6.2
"""1575510""","""Waihee-Waiehu""",2.81,6493.77,1760.61,3.3
"""1575800""","""Waikane""",0.76,451.00,165.42,3.4
"""1575950""","""Waikapu""",0.63,2649.51,809.48,1.2
"""1576250""","""Waikele""",2.85,5288.96,1886.84,6.0
"""1576600""","""Waikoloa Village""",1.33,3396.12,1205.70,1.6
"""1576925""","""Wailea""",3.53,3560.02,1654.41,2.0
"""1577000""","""Wailua""",2.08,2943.15,1039.71,0.0
"""1577225""","""Wailua Homesteads""",2.76,4945.75,1648.21,0.0
"""1577450""","""Wailuku""",10.34,16303.52,5831.43,3.4
"""1577750""","""Waimalu""",9.29,11609.79,4728.59,7.2
"""1578050""","""Waimanalo""",3.61,6132.14,1328.67,4.1
"""1578200""","""Waimanalo Beach""",1.38,2651.52,677.50,5.0
"""1578500""","""Waimea""",1.32,5062.27,1404.85,1.5
"""1578800""","""Waimea""",1.98,1825.18,626.90,0.0
"""1578950""","""Wainaku""",1.00,1278.00,463.00,0.0
"""1579250""","""Wainiha""",0.03,14.48,5.58,0.0
"""1579550""","""Waiohinu""",0.01,21.68,6.97,0.5
"""1579700""","""Waipahu""",17.04,41588.02,8287.40,8.1
"""1579860""","""Waipio""",7.21,10431.68,3510.49,6.1
"""1580000""","""Waipio Acres""",2.00,5432.00,1828.00,5.6
"""1580470""","""West Loch Estate""",2.50,4250.48,1249.34,6.5
"""1580600""","""Wheeler AFB""",1.00,2669.29,898.09,4.6
"""1580900""","""Whitmore Village""",1.05,3514.32,775.83,3.6
