place,name,blkgrps,population,households,alltransit_performance_score
"""1600100""","""Aberdeen""",1.03,1364.42,426.26,0.0
"""1600280""","""Acequia""",0.01,17.81,6.47,0.0
"""1601000""","""Albion""",0.00,1.45,0.48,0.0
"""1601900""","""American Falls""",1.71,2393.44,779.77,0.0
"""1601990""","""Ammon""",3.64,11207.42,3730.59,0.9
"""1602935""","""Arbon Valley""",0.13,108.91,35.90,0.0
"""1603160""","""Arco""",0.00,3.02,1.15,0.0
"""1603340""","""Arimo""",0.00,2.32,0.81,0.0
"""1603610""","""Ashton""",0.10,74.36,26.37,0.0
"""1603700""","""Athol""",0.04,87.93,34.37,0.0
"""1603970""","""Atomic City""",0.00,0.13,0.05,0.0
"""1604420""","""Bancroft""",0.00,1.25,0.46,0.0
"""1604600""","""Banks""",0.01,9.66,4.06,0.0
"""1605230""","""Basalt""",0.03,53.17,17.25,0.0
"""1606220""","""Bellevue""",1.01,1293.19,407.75,3.1
"""1606670""","""Bennington""",0.32,218.40,99.29,0.0
"""1607840""","""Blackfoot""",5.92,8211.52,3056.75,0.3
"""1608290""","""Blanchard""",0.02,44.66,16.00,0.0
"""1608470""","""Bliss""",0.00,1.92,0.78,0.0
"""1608560""","""Bloomington""",0.01,4.22,1.70,0.0
"""1608830""","""Boise City""",115.86,205181.60,83679.25,3.8
"""1609370""","""Bonners Ferry""",0.21,233.52,99.23,0.0
"""1609730""","""Bovill""",0.00,0.61,0.24,0.0
"""1610810""","""Buhl""",2.57,2674.38,1030.76,0.0
"""1611260""","""Burley""",8.01,7950.90,2793.85,0.0
"""1611710""","""Butte City""",0.00,0.06,0.03,0.0
"""1612250""","""Caldwell""",15.51,38192.00,12056.44,1.8
"""1612520""","""Cambridge""",0.00,1.21,0.55,0.0
"""1612790""","""Carey""",0.00,3.14,0.87,0.0
"""1613150""","""Cascade""",0.02,19.43,8.35,0.0
"""1613240""","""Castleford""",0.00,2.23,0.87,0.0
"""1613780""","""Challis""",0.00,2.21,1.06,0.0
"""1614680""","""Chubbuck""",4.33,10093.22,3705.07,2.8
"""1614950""","""Clark Fork""",0.00,4.31,2.24,0.0
"""1615490""","""Clayton""",0.00,0.00,0.00,0.0
"""1616120""","""Clifton""",0.02,36.82,8.18,0.0
"""1616750""","""Coeur d'Alene""",19.21,37788.75,15883.88,1.8
"""1617830""","""Conkling Park""",0.02,20.07,7.20,1.0
"""1618640""","""Cottonwood""",0.03,26.06,9.90,0.0
"""1618820""","""Council""",0.00,2.70,1.17,0.0
"""1619270""","""Craigmont""",0.01,3.77,1.58,0.0
"""1619720""","""Crouch""",0.00,0.81,0.33,0.0
"""1619900""","""Culdesac""",0.00,3.56,1.29,0.0
"""1620350""","""Dalton Gardens""",1.03,2293.69,868.54,1.5
"""1620710""","""Dayton""",0.07,111.52,28.20,0.0
"""1620890""","""Deary""",0.01,10.14,4.61,0.0
"""1620980""","""Declo""",0.01,12.38,3.73,0.0
"""1621520""","""De Smet""",0.01,4.33,1.63,0.7
"""1621790""","""Dietrich""",0.00,1.75,0.49,0.0
"""1622330""","""Donnelly""",0.00,4.36,1.56,0.0
"""1622510""","""Dover""",0.78,1148.81,574.89,0.0
"""1622600""","""Downey""",0.00,5.53,2.12,0.0
"""1622690""","""Driggs""",0.14,352.33,124.78,0.0
"""1622780""","""Drummond""",0.00,0.43,0.15,0.0
"""1622960""","""Dubois""",0.00,1.63,0.48,0.0
"""1623410""","""Eagle""",6.42,24847.45,9293.52,0.4
"""1623680""","""East Hope""",0.00,2.48,1.21,0.0
"""1624310""","""Eden""",0.00,3.73,1.50,0.0
"""1625030""","""Elk City""",0.00,0.24,0.14,0.0
"""1625120""","""Elk River""",0.00,0.12,0.06,0.0
"""1625570""","""Emmett""",3.18,3799.11,1617.33,0.0
"""1626290""","""Fairfield""",0.00,0.72,0.30,0.0
"""1627460""","""Ferdinand""",0.00,1.13,0.40,0.0
"""1627550""","""Fernan Lake Village""",0.05,77.00,33.95,0.7
"""1627730""","""Filer""",1.22,821.10,306.90,0.0
"""1627910""","""Firth""",0.06,104.10,33.78,0.0
"""1628360""","""Fort Hall""",0.67,848.18,267.61,0.0
"""1628810""","""Franklin""",0.02,25.58,8.95,0.5
"""1628990""","""Fruitland""",0.65,1800.58,677.00,0.7
"""1629620""","""Garden City""",5.25,9563.20,4370.75,3.2
"""1629710""","""Garden Valley""",0.01,21.28,8.83,0.0
"""1630160""","""Genesee""",0.01,10.68,4.07,0.0
"""1630340""","""Georgetown""",0.00,2.70,1.01,0.0
"""1631690""","""Glenns Ferry""",0.44,530.02,222.72,0.0
"""1632140""","""Gooding""",1.86,2467.00,966.02,0.0
"""1632500""","""Grace""",0.01,10.24,3.72,0.0
"""1632770""","""Grand View""",0.02,10.27,4.11,0.0
"""1632950""","""Grangeville""",1.25,1133.67,492.19,0.0
"""1633490""","""Greenleaf""",0.04,90.73,26.25,0.0
"""1634030""","""Groveland""",0.41,614.72,187.65,0.0
"""1634300""","""Hagerman""",0.04,54.96,21.95,0.0
"""1634390""","""Hailey""",1.54,1608.43,687.41,2.7
"""1634570""","""Hamer""",0.00,0.46,0.14,0.0
"""1634930""","""Hansen""",0.23,342.73,120.72,0.0
"""1635200""","""Harrison""",0.06,62.57,27.58,0.0
"""1635830""","""Hauser""",0.04,126.94,46.63,0.0
"""1636370""","""Hayden""",4.69,11039.47,4248.24,1.1
"""1636460""","""Hayden Lake""",0.26,628.19,229.30,0.4
"""1636730""","""Hazelton""",0.00,2.66,0.81,0.0
"""1637360""","""Heyburn""",0.65,1097.75,348.62,0.0
"""1637500""","""Hidden Springs""",0.03,197.77,70.27,1.0
"""1638080""","""Hollister""",0.00,1.28,0.53,0.0
"""1638170""","""Homedale""",1.10,1511.50,493.52,0.0
"""1638440""","""Hope""",0.00,2.76,1.35,0.0
"""1638620""","""Horseshoe Bend""",0.00,4.63,1.95,0.0
"""1639070""","""Huetter""",0.02,64.30,25.91,2.1
"""1639610""","""Idaho City""",0.00,1.47,0.76,0.0
"""1639700""","""Idaho Falls""",39.60,47947.84,18157.52,2.9
"""1640330""","""Inkom""",0.02,23.87,8.86,0.0
"""1640420""","""Iona""",0.20,639.90,193.37,0.0
"""1640510""","""Irwin""",0.00,2.36,1.00,0.0
"""1640600""","""Island Park""",0.00,4.98,2.26,0.0
