place,name,blkgrps,population,households,alltransit_performance_score
"""1800140""","""Aberdeen""",0.32,861.00,339.10,0.0
"""1800640""","""Advance""",0.03,28.12,10.91,0.0
"""1800748""","""Akron""",0.35,443.33,132.33,0.0
"""1800784""","""Alamo""",0.00,2.24,0.84,0.0
"""1800802""","""Albany""",1.38,924.74,431.98,0.0
"""1800820""","""Albion""",0.38,629.26,227.27,0.0
"""1800910""","""Alexandria""",4.34,3109.90,1169.15,0.0
"""1800964""","""Alfordsville""",0.00,1.09,0.37,0.0
"""1801270""","""Alton""",0.01,3.88,1.31,0.0
"""1801288""","""Altona""",0.02,27.68,9.78,0.0
"""1801342""","""Ambia""",0.00,1.68,0.52,0.0
"""1801360""","""Amboy""",0.02,17.27,6.71,0.0
"""1801396""","""Americus""",0.12,105.29,41.36,0.0
"""1801450""","""Amo""",0.03,48.05,15.39,0.0
"""1801468""","""Anderson""",46.27,56226.03,23637.01,0.0
"""1801612""","""Andrews""",0.03,44.06,18.07,0.0
"""1801666""","""Angola""",4.95,4605.38,1808.02,0.0
"""1801954""","""Arcadia""",0.95,915.49,377.85,0.0
"""1802044""","""Argos""",0.68,1229.28,429.30,0.0
"""1802116""","""Arlington""",0.05,42.81,15.97,0.0
"""1802458""","""Ashley""",0.15,170.45,66.29,0.0
"""1802602""","""Atlanta""",0.32,337.96,113.45,0.0
"""1802620""","""Attica""",2.84,2259.64,964.26,0.0
"""1802674""","""Auburn""",8.11,9761.02,4316.73,0.0
"""1802782""","""Aurora""",2.54,2509.42,921.94,0.0
"""1802800""","""Austin""",2.47,2266.11,886.48,0.0
"""1802872""","""Avilla""",0.21,353.35,142.57,0.0
"""1802890""","""Avoca""",0.19,397.36,155.32,0.0
"""1802908""","""Avon""",7.33,25482.26,9093.80,0.5
"""1803142""","""Bainbridge""",0.01,20.46,7.63,0.0
"""1803394""","""Bargersville""",2.95,5970.45,2063.98,0.0
"""1803610""","""Bass Lake""",0.59,736.74,264.56,0.0
"""1803664""","""Batesville""",3.30,3742.92,1547.98,0.0
"""1803718""","""Battle Ground""",0.20,253.04,90.15,0.0
"""1804114""","""Bedford""",12.76,11567.09,4927.82,0.0
"""1804204""","""Beech Grove""",10.81,14779.98,5587.32,5.8
"""1804888""","""Berne""",2.21,2189.30,859.16,0.0
"""1804978""","""Bethany""",0.05,58.15,23.59,0.0
"""1805158""","""Beverly Shores""",1.06,688.41,341.35,1.4
"""1805176""","""Bicknell""",2.46,1764.12,687.56,0.0
"""1805374""","""Birdseye""",0.04,32.48,14.85,0.0
"""1805662""","""Blanford""",0.05,34.64,14.03,0.0
"""1805716""","""Bloomfield""",1.48,1055.11,497.06,0.0
"""1805788""","""Bloomingdale""",0.02,27.71,8.85,0.0
"""1805860""","""Bloomington""",48.74,80318.90,29176.51,4.9
"""1805896""","""Blountsville""",0.01,5.42,2.07,0.0
"""1806220""","""Bluffton""",7.25,7134.49,2940.24,0.0
"""1806616""","""Boonville""",5.34,4624.91,1907.31,0.0
"""1806634""","""Borden""",0.07,114.30,38.61,0.0
"""1806652""","""Boston""",0.01,11.94,5.02,0.0
"""1806706""","""Boswell""",0.04,37.52,15.30,0.0
"""1806760""","""Bourbon""",0.33,314.37,120.61,0.0
"""1807174""","""Brazil""",8.94,7193.76,2936.71,0.0
"""1807318""","""Bremen""",2.83,4202.33,1612.85,0.0
"""1807624""","""Bright""",1.56,3346.52,1198.69,0.0
"""1807750""","""Bristol""",1.47,2085.74,786.43,0.0
"""1807966""","""Brook""",0.02,16.12,6.31,0.0
"""1808038""","""Brooklyn""",0.24,304.56,122.30,0.0
"""1808092""","""Brooksburg""",0.00,3.23,1.44,0.0
"""1808146""","""Brookston""",0.62,448.75,188.82,0.0
"""1808182""","""Brookville""",2.09,1543.76,636.76,0.0
"""1808416""","""Brownsburg""",7.76,21369.46,8041.85,0.0
"""1808470""","""Brownstown""",1.59,1151.74,404.03,0.0
"""1808578""","""Bruceville""",0.03,20.08,7.32,0.0
"""1808704""","""Bryant""",0.01,10.61,3.43,0.0
"""1808812""","""Buck Creek""",0.01,9.28,3.72,0.0
"""1808992""","""Buffalo""",0.04,72.30,29.19,0.0
"""1809136""","""Bunker Hill""",0.11,79.67,30.99,0.0
"""1809226""","""Burket""",0.00,2.63,0.94,0.0
"""1809244""","""Burlington""",0.02,26.69,9.74,0.0
"""1809316""","""Burnettsville""",0.05,31.21,12.40,0.0
"""1809352""","""Burns City""",0.03,35.03,14.60,0.0
"""1809370""","""Burns Harbor""",1.97,2291.02,825.08,0.0
"""1809532""","""Butler""",0.93,999.25,324.58,0.0
