place,name,blkgrps,population,households,alltransit_performance_score
"""1900190""","""Ackley""",0.33,431.43,186.06,0.0
"""1900235""","""Ackworth""",0.02,32.92,13.15,0.0
"""1900370""","""Adair""",0.28,238.16,105.52,0.0
"""1900505""","""Adel""",0.55,838.64,340.01,0.0
"""1900595""","""Afton""",0.13,145.39,57.46,0.0
"""1900640""","""Agency""",0.03,45.23,20.96,0.0
"""1900730""","""Ainsworth""",0.00,7.50,2.55,0.0
"""1900775""","""Akron""",0.04,35.77,14.69,0.0
"""1900865""","""Albert City""",0.09,56.92,25.60,0.0
"""1900910""","""Albia""",1.02,1097.84,487.79,0.0
"""1900955""","""Albion""",0.04,35.39,14.65,0.6
"""1901000""","""Alburnett""",0.02,28.94,10.34,0.0
"""1901045""","""Alden""",0.07,76.79,33.32,0.0
"""1901090""","""Alexander""",0.04,32.87,12.89,0.0
"""1901135""","""Algona""",3.09,2964.97,1406.76,0.0
"""1901180""","""Alleman""",0.08,77.60,27.27,0.0
"""1901270""","""Allerton""",0.01,12.30,4.05,0.0
"""1901315""","""Allison""",0.04,66.43,27.49,0.0
"""1901495""","""Alta""",0.02,48.01,19.15,0.0
"""1901540""","""Alta Vista""",0.01,11.56,4.72,0.0
"""1901585""","""Alton""",0.35,482.85,188.77,0.0
"""1901630""","""Altoona""",5.41,12106.85,4400.47,1.4
"""1901675""","""Alvord""",0.01,8.32,3.12,0.0
"""1901720""","""Amana""",0.05,59.44,25.42,0.0
"""1901855""","""Ames""",37.61,58896.03,22387.93,6.5
"""1901990""","""Anamosa""",1.49,1616.16,591.53,0.0
"""1902035""","""Anderson""",0.01,8.27,3.15,0.0
"""1902080""","""Andover""",0.00,3.68,1.32,0.0
"""1902125""","""Andrew""",0.00,5.86,2.44,0.0
"""1902260""","""Anita""",0.04,35.93,17.15,0.0
"""1902305""","""Ankeny""",17.85,43976.74,16366.88,1.1
"""1902350""","""Anthon""",0.02,12.82,5.44,0.0
"""1902395""","""Aplington""",0.01,19.98,8.98,0.0
"""1902485""","""Arcadia""",0.03,17.86,6.94,0.0
"""1902530""","""Archer""",0.00,0.69,0.28,0.0
"""1902620""","""Aredale""",0.02,10.22,4.18,0.0
"""1902755""","""Arion""",0.00,2.61,1.09,0.0
"""1902800""","""Arispe""",0.00,3.56,1.56,0.0
"""1902845""","""Arlington""",0.07,35.90,15.12,0.0
"""1902935""","""Armstrong""",0.10,95.79,47.25,0.0
"""1903025""","""Arnolds Park""",0.59,904.22,449.60,0.0
"""1903115""","""Arthur""",0.00,1.01,0.44,0.0
"""1903160""","""Asbury""",0.79,1605.81,552.22,1.9
"""1903295""","""Ashton""",0.02,13.39,5.83,0.0
"""1903340""","""Aspinwall""",0.00,1.25,0.47,0.0
"""1903385""","""Atalissa""",0.00,2.59,1.02,0.0
"""1903430""","""Athelstan""",0.00,0.43,0.21,0.0
"""1903475""","""Atkins""",0.03,78.49,27.59,0.0
"""1903520""","""Atlantic""",4.03,4258.52,2048.28,0.0
"""1903610""","""Auburn""",0.01,5.47,2.43,0.0
"""1903655""","""Audubon""",0.43,299.99,148.17,0.0
"""1903745""","""Aurelia""",0.08,88.05,42.67,0.0
"""1903835""","""Aurora""",0.01,6.34,2.49,0.0
"""1903970""","""Avoca""",0.10,87.64,37.07,0.0
"""1904105""","""Ayrshire""",0.00,1.11,0.47,0.0
"""1904195""","""Badger""",0.03,30.51,13.25,0.0
"""1904240""","""Bagley""",0.00,4.97,2.18,0.0
"""1904330""","""Baldwin""",0.01,6.57,2.69,0.0
"""1904375""","""Balltown""",0.00,1.31,0.45,0.0
"""1904420""","""Bancroft""",0.02,15.75,6.36,0.0
"""1904510""","""Bankston""",0.01,6.06,2.15,0.0
"""1904555""","""Barnes City""",0.01,4.15,1.67,0.0
"""1904645""","""Barnum""",0.00,5.02,2.01,0.0
"""1904735""","""Bartlett""",0.00,2.75,1.15,0.0
"""1904780""","""Bassett""",0.00,3.28,1.11,0.0
"""1904825""","""Batavia""",0.01,19.14,6.80,0.0
"""1904870""","""Battle Creek""",0.00,4.95,2.01,0.0
"""1904915""","""Baxter""",0.21,193.59,85.00,0.0
"""1904960""","""Bayard""",0.00,3.91,1.51,0.0
"""1905050""","""Beacon""",0.05,64.81,24.77,0.6
"""1905095""","""Beaconsfield""",0.01,4.52,2.02,0.0
"""1905140""","""Beaman""",0.00,1.52,0.63,0.0
"""1905185""","""Beaver""",0.01,5.22,2.15,0.0
"""1905200""","""Beaverdale""",0.20,183.29,72.58,0.0
"""1905365""","""Bedford""",0.33,278.98,117.94,0.0
"""1905590""","""Belle Plaine""",0.61,551.05,240.12,0.0
"""1905635""","""Bellevue""",1.06,728.02,343.95,0.0
"""1905680""","""Belmond""",0.97,1345.59,590.58,0.0
"""1905770""","""Bennett""",0.00,3.76,1.50,0.0
"""1905870""","""Bentley""",0.02,23.00,8.24,0.0
"""1905905""","""Benton""",0.00,4.05,1.55,0.0
"""1906040""","""Berkley""",0.00,3.05,0.96,0.0
"""1906085""","""Bernard""",0.00,1.69,0.61,0.0
"""1906175""","""Bertram""",0.07,91.57,33.13,0.0
"""1906355""","""Bettendorf""",22.44,34255.16,13528.28,3.8
"""1906490""","""Bevington""",0.01,12.72,4.69,0.0
"""1906625""","""Birmingham""",0.03,27.08,9.60,0.0
"""1906760""","""Blairsburg""",0.01,6.63,2.78,0.0
"""1906805""","""Blairstown""",0.01,16.94,6.44,0.0
"""1906850""","""Blakesburg""",0.01,4.99,2.50,0.0
"""1906895""","""Blanchard""",0.00,1.67,0.68,0.0
"""1906940""","""Blencoe""",0.00,3.76,1.80,0.0
"""1906985""","""Blockton""",0.01,2.16,1.04,0.0
"""1907030""","""Bloomfield""",0.85,543.77,247.28,0.0
"""1907075""","""Blue Grass""",0.33,533.94,200.92,0.0
"""1907210""","""Bode""",0.01,3.30,1.50,0.0
"""1907255""","""Bolan""",0.05,29.00,13.02,0.0
"""1907345""","""Bonaparte""",0.01,7.25,2.94,0.0
"""1907390""","""Bondurant""",0.77,3704.59,1206.78,0.1
"""1907480""","""Boone""",6.73,10161.46,4382.30,0.0
"""1907660""","""Bouton""",0.00,1.22,0.49,0.0
"""1907750""","""Boxholm""",0.01,12.15,5.41,0.0
"""1907840""","""Boyden""",0.02,23.31,8.74,0.0
"""1907930""","""Braddyville""",0.01,6.62,2.85,0.0
