place,name,blkgrps,population,households,alltransit_performance_score
"""2000100""","""Abbyville""",0.00,1.27,0.50,0.0
"""2000125""","""Abilene""",2.75,3028.28,1400.89,0.0
"""2000225""","""Ada""",0.01,12.47,5.89,0.0
"""2000325""","""Admire""",0.00,1.50,0.66,0.0
"""2000475""","""Agenda""",0.00,0.59,0.25,0.0
"""2000550""","""Agra""",0.00,0.61,0.25,0.0
"""2000825""","""Albert""",0.00,2.08,0.91,0.0
"""2000950""","""Alden""",0.00,0.52,0.22,0.0
"""2001050""","""Alexander""",0.00,0.48,0.21,0.0
"""2001275""","""Allen""",0.00,1.28,0.57,0.0
"""2001350""","""Alma""",0.04,49.70,21.75,0.0
"""2001425""","""Almena""",0.01,8.01,1.69,0.0
"""2001550""","""Altamont""",0.20,231.65,86.15,0.0
"""2001575""","""Alta Vista""",0.00,1.37,0.67,0.0
"""2001600""","""Alton""",0.00,0.41,0.19,0.0
"""2001625""","""Altoona""",0.00,4.06,1.71,0.0
"""2001675""","""Americus""",0.01,16.84,7.72,0.0
"""2001775""","""Andale""",0.02,24.64,7.30,0.0
"""2001800""","""Andover""",4.93,8618.24,3006.51,0.0
"""2001975""","""Anthony""",0.19,207.46,89.88,0.0
"""2002175""","""Arcadia""",0.01,6.85,2.86,0.0
"""2002250""","""Argonia""",0.04,28.44,10.55,0.0
"""2002300""","""Arkansas City""",9.22,9463.07,3653.07,0.0
"""2002325""","""Arlington""",0.03,19.88,8.21,0.0
"""2002375""","""Arma""",0.46,412.36,162.77,0.0
"""2002600""","""Asherville""",0.00,4.47,1.97,0.0
"""2002675""","""Ashland""",0.00,3.28,1.53,0.0
"""2002850""","""Assaria""",0.00,5.15,1.61,0.0
"""2002900""","""Atchison""",7.36,7126.91,2569.84,0.0
"""2003025""","""Athol""",0.00,0.58,0.26,0.0
"""2003050""","""Atlanta""",0.00,3.21,1.28,0.0
"""2003100""","""Attica""",0.05,43.43,15.84,0.0
"""2003150""","""Atwood""",0.02,28.91,13.95,0.0
"""2003250""","""Auburn""",0.10,129.92,53.48,0.0
"""2003300""","""Augusta""",3.67,5193.23,2093.89,0.0
"""2003425""","""Aurora""",0.00,0.19,0.10,0.0
"""2003600""","""Axtell""",0.01,4.64,2.10,0.0
"""2003675""","""Baileyville""",0.03,28.88,12.36,0.0
"""2003900""","""Baldwin City""",1.47,2641.15,817.32,0.0
"""2004225""","""Barnard""",0.00,0.46,0.18,0.0
"""2004250""","""Barnes""",0.00,0.43,0.19,0.0
"""2004350""","""Bartlett""",0.00,0.84,0.25,0.0
"""2004400""","""Basehor""",1.44,2653.23,910.76,0.0
"""2004450""","""Bassett""",0.01,5.76,2.20,0.0
"""2004625""","""Baxter Springs""",2.94,2263.14,877.04,0.0
"""2004775""","""Bazine""",0.00,0.56,0.24,0.0
"""2004900""","""Beattie""",0.00,1.57,0.63,0.0
"""2005337""","""Bel Aire""",4.11,7963.73,3029.58,0.1
"""2005500""","""Belle Plaine""",0.42,395.56,137.96,0.0
"""2005600""","""Belleville""",0.35,221.17,118.32,0.0
"""2005775""","""Beloit""",2.37,1632.06,732.78,0.0
"""2005825""","""Belpre""",0.00,1.40,0.62,0.0
"""2005925""","""Belvue""",0.00,1.13,0.34,0.0
"""2005975""","""Bendena""",0.02,8.00,3.68,0.0
"""2006000""","""Benedict""",0.00,1.11,0.47,0.0
"""2006075""","""Bennington""",0.01,9.61,3.63,0.0
"""2006125""","""Bentley""",0.01,9.39,3.04,0.0
"""2006175""","""Benton""",0.02,51.40,18.54,0.0
"""2006275""","""Bern""",0.00,1.87,0.57,0.0
"""2006500""","""Beverly""",0.00,0.41,0.16,0.0
"""2006825""","""Bird City""",0.00,3.72,1.54,0.0
"""2006950""","""Bison""",0.00,3.25,1.52,0.0
"""2007600""","""Blue Mound""",0.00,4.36,1.96,0.0
"""2007650""","""Blue Rapids""",0.14,151.36,56.96,0.0
"""2007775""","""Bluff City""",0.00,0.76,0.29,0.0
"""2007825""","""Bogue""",0.00,0.31,0.13,0.0
"""2007975""","""Bonner Springs""",5.56,7715.80,2814.78,0.0
"""2008425""","""Brewster""",0.00,0.44,0.17,0.0
"""2008475""","""Bronson""",0.00,3.01,1.15,0.0
"""2008575""","""Brookville""",0.00,4.06,1.44,0.0
"""2008675""","""Brownell""",0.00,0.25,0.11,0.0
"""2009000""","""Bucklin""",0.01,7.09,2.60,0.0
"""2009050""","""Bucyrus""",0.03,70.44,25.39,0.0
"""2009150""","""Buffalo""",0.00,2.42,1.02,0.0
"""2009200""","""Buhler""",0.04,53.87,21.23,0.0
"""2009225""","""Bunker Hill""",0.00,2.38,1.13,0.0
"""2009250""","""Burden""",0.00,3.34,1.33,0.0
"""2009275""","""Burdett""",0.00,0.61,0.27,0.0
"""2009350""","""Burlingame""",0.16,169.15,72.72,0.0
"""2009400""","""Burlington""",0.34,327.74,142.22,0.0
"""2009450""","""Burns""",0.00,1.35,0.62,0.0
"""2009525""","""Burr Oak""",0.00,1.86,0.92,0.0
"""2009575""","""Burrton""",0.01,15.42,5.69,0.0
"""2009675""","""Bushong""",0.00,0.70,0.31,0.0
"""2009700""","""Bushton""",0.00,0.94,0.47,0.0
"""2009800""","""Byers""",0.00,0.42,0.16,0.0
"""2009900""","""Caldwell""",0.16,92.29,44.01,0.0
"""2010125""","""Cambridge""",0.00,1.13,0.45,0.0
"""2010375""","""Caney""",0.14,160.61,67.52,0.0
"""2010475""","""Canton""",0.04,35.37,14.00,0.0
"""2010600""","""Carbondale""",0.45,387.51,143.08,0.0
"""2010675""","""Carlton""",0.00,0.57,0.23,0.0
"""2010925""","""Cassoday""",0.00,1.62,0.57,0.0
"""2011025""","""Catharine""",0.01,4.22,1.72,0.0
"""2011175""","""Cawker City""",0.01,11.11,5.24,0.0
"""2011325""","""Cedar""",0.00,0.56,0.25,0.0
"""2011425""","""Cedar Point""",0.00,0.10,0.04,0.0
"""2011450""","""Cedar Vale""",0.08,48.14,17.19,0.0
"""2012425""","""Centralia""",0.01,7.92,3.14,0.0
"""2012500""","""Chanute""",6.60,5356.65,2168.79,0.0
"""2012550""","""Chapman""",0.49,468.40,171.37,0.0
"""2012650""","""Chase""",0.01,3.83,1.62,0.0
"""2012675""","""Chautauqua""",0.00,1.32,0.61,0.0
"""2012775""","""Cheney""",0.24,535.12,190.71,0.0
"""2012825""","""Cherokee""",0.07,69.63,24.07,0.0
"""2012925""","""Cherryvale""",0.31,279.55,116.14,0.0
"""2012950""","""Chetopa""",0.05,74.90,29.22,0.0
"""2013100""","""Chicopee""",0.17,261.23,106.56,0.0
"""2013275""","""Cimarron""",0.14,159.71,51.78,0.0
"""2013375""","""Circleville""",0.00,2.54,1.06,0.0
"""2013425""","""Claflin""",0.00,2.73,1.29,0.0
"""2013625""","""Clay Center""",2.41,1918.97,832.36,0.0
"""2013675""","""Clayton""",0.00,0.59,0.25,0.0
"""2013925""","""Clearwater""",0.38,523.91,184.83,0.0
"""2014200""","""Clifton""",0.00,1.55,0.65,0.0
"""2014275""","""Climax""",0.00,0.51,0.20,0.0
"""2014475""","""Clyde""",0.06,51.92,21.90,0.0
"""2014525""","""Coats""",0.00,0.56,0.21,0.0
"""2014600""","""Coffeyville""",8.18,6918.07,2676.27,0.0
"""2014650""","""Colby""",1.18,1551.88,634.12,0.0
"""2014700""","""Coldwater""",0.11,104.28,45.16,0.0
"""2014900""","""Collyer""",0.00,0.22,0.10,0.0
"""2014950""","""Colony""",0.00,3.36,1.18,0.0
"""2015075""","""Columbus""",2.29,2213.39,863.30,0.0
"""2015100""","""Colwich""",0.04,93.15,28.91,0.0
"""2015200""","""Concordia""",4.15,3370.60,1349.06,0.0
"""2015325""","""Conway Springs""",0.18,163.21,55.61,0.0
"""2015400""","""Coolidge""",0.00,0.97,0.31,0.0
"""2015475""","""Copeland""",0.00,0.80,0.30,0.0
"""2015725""","""Corning""",0.00,1.51,0.56,0.0
"""2015900""","""Cottonwood Falls""",0.27,269.56,102.86,0.0
"""2015925""","""Council Grove""",0.58,526.48,214.52,0.0
"""2016025""","""Courtland""",0.00,1.16,0.53,0.0
"""2016150""","""Coyville""",0.00,1.47,0.66,0.0
"""2016625""","""Cuba""",0.00,1.10,0.48,0.0
"""2016675""","""Cullison""",0.00,0.43,0.16,0.0
"""2016700""","""Culver""",0.00,0.86,0.32,0.0
"""2016775""","""Cunningham""",0.01,6.14,2.58,0.0
"""2016975""","""Damar""",0.00,0.52,0.23,0.0
"""2017000""","""Danville""",0.00,0.14,0.06,0.0
"""2017150""","""Dearing""",0.22,279.56,123.68,0.0
"""2017225""","""Deerfield""",0.00,0.95,0.29,0.0
"""2017525""","""Delia""",0.00,1.25,0.45,0.0
"""2017600""","""Delphos""",0.00,2.91,1.38,0.0
"""2017625""","""Denison""",0.00,2.42,1.01,0.0
"""2017750""","""Denton""",0.00,1.25,0.48,0.0
"""2017800""","""Derby""",13.72,20106.18,7783.53,0.0
"""2017850""","""De Soto""",1.36,3587.75,1242.73,0.0
"""2017875""","""Detroit""",0.02,26.36,7.82,0.0
"""2017925""","""Dexter""",0.00,0.97,0.35,0.0
"""2018050""","""Dighton""",0.00,2.79,1.36,0.0
"""2018250""","""Dodge City""",13.53,17067.60,5365.71,0.6
"""2018325""","""Dorrance""",0.00,0.58,0.28,0.0
"""2018400""","""Douglass""",0.19,331.03,127.20,0.0
"""2018500""","""Downs""",0.02,17.08,8.50,0.0
"""2018600""","""Dresden""",0.00,1.16,0.56,0.0
"""2018950""","""Dunlap""",0.00,0.69,0.30,0.0
"""2019050""","""Durham""",0.00,1.05,0.34,0.0
"""2019125""","""Dwight""",0.01,3.62,1.65,0.0
"""2019275""","""Earlton""",0.00,1.18,0.45,0.0
"""2019300""","""Eastborough""",1.00,715.00,271.00,2.4
"""2019600""","""Easton""",0.00,3.72,1.22,0.0
"""2019825""","""Edgerton""",1.08,1663.55,596.95,0.6
"""2019875""","""Edmond""",0.00,0.23,0.10,0.0
"""2019900""","""Edna""",0.01,7.46,3.05,0.0
"""2020000""","""Edwardsville""",4.00,4436.00,1532.00,0.0
"""2020025""","""Effingham""",0.01,12.04,5.30,0.0
"""2020050""","""Elbing""",0.00,0.82,0.29,0.0
"""2020075""","""El Dorado""",7.65,8798.45,3918.57,0.0
"""2020125""","""Elgin""",0.00,0.61,0.28,0.0
"""2020250""","""Elk City""",0.00,2.41,0.97,0.0
"""2020300""","""Elk Falls""",0.00,0.93,0.41,0.0
"""2020350""","""Elkhart""",0.32,318.95,115.70,0.0
"""2020425""","""Ellinwood""",0.57,477.86,186.76,0.0
"""2020450""","""Ellis""",0.20,244.79,95.42,0.0
"""2020500""","""Ellsworth""",1.35,1348.91,492.46,0.0
"""2020675""","""Elmdale""",0.00,0.33,0.16,0.0
"""2020875""","""Elsmore""",0.00,1.08,0.42,0.0
"""2020950""","""Elwood""",0.60,421.35,192.98,0.3
"""2021100""","""Emmett""",0.00,1.93,0.59,0.0
"""2021275""","""Emporia""",21.01,21440.16,8648.37,0.0
"""2021350""","""Englewood""",0.00,2.09,1.01,0.0
"""2021400""","""Ensign""",0.00,1.57,0.50,0.0
"""2021425""","""Enterprise""",0.03,51.50,15.28,0.0
"""2021500""","""Erie""",0.24,144.90,56.40,0.0
"""2021600""","""Esbon""",0.00,0.63,0.31,0.0
"""2021650""","""Eskridge""",0.02,15.06,6.14,0.0
"""2021675""","""Eudora""",1.08,2234.80,709.66,0.0
"""2021800""","""Eureka""",1.66,1018.02,412.14,0.0
"""2022025""","""Everest""",0.00,1.82,0.80,0.0
"""2022425""","""Fairview""",0.00,4.22,1.73,0.0
"""2022700""","""Fairway""",3.44,3195.28,1415.76,3.0
"""2022775""","""Fall River""",0.00,0.54,0.30,0.0
"""2022900""","""Falun""",0.01,5.68,2.36,0.0
"""2023600""","""Florence""",0.01,7.54,3.61,0.0
"""2023650""","""Fontana""",0.01,15.96,5.92,0.0
"""2023725""","""Ford""",0.00,0.93,0.37,0.0
"""2023825""","""Formoso""",0.00,0.49,0.24,0.0
"""2023890""","""Fort Dodge""",0.01,17.65,6.22,0.3
"""2023975""","""Fort Riley""",2.08,7804.92,1428.03,0.0
"""2024000""","""Fort Scott""",6.90,5221.81,2282.80,0.0
"""2024175""","""Fowler""",0.00,1.78,0.80,0.0
"""2024275""","""Frankfort""",0.03,22.72,9.70,0.0
"""2024325""","""Franklin""",0.22,221.29,83.69,0.0
"""2024550""","""Frederick""",0.00,0.79,0.40,0.0
"""2024575""","""Fredonia""",0.40,575.99,243.68,0.0
"""2024725""","""Freeport""",0.00,0.32,0.15,0.0
"""2024850""","""Frontenac""",1.44,2017.40,756.98,0.0
"""2024925""","""Fulton""",0.00,1.84,0.57,0.0
"""2025050""","""Galatia""",0.00,0.88,0.37,0.0
"""2025100""","""Galena""",2.39,1899.36,628.24,0.0
"""2025150""","""Galesburg""",0.00,1.29,0.50,0.0
"""2025200""","""Galva""",0.02,25.76,10.74,0.0
"""2025325""","""Garden City""",20.26,24996.12,8404.06,0.3
"""2025375""","""Garden Plain""",0.28,247.71,91.65,0.0
"""2025425""","""Gardner""",12.51,17288.57,5909.09,1.3
"""2025750""","""Garfield""",0.00,1.25,0.56,0.0
"""2025925""","""Garnett""",2.00,2097.25,961.80,0.0
"""2025975""","""Gas""",0.06,52.64,21.38,0.0
"""2026000""","""Gaylord""",0.00,0.80,0.35,0.0
"""2026050""","""Gem""",0.00,0.75,0.28,0.0
"""2026075""","""Geneseo""",0.00,2.42,1.22,0.0
"""2026200""","""Geuda Springs""",0.00,2.36,0.94,0.0
"""2026300""","""Girard""",1.13,1295.21,494.00,0.0
"""2026325""","""Glade""",0.00,0.71,0.36,0.0
"""2026375""","""Glasco""",0.00,1.32,0.57,0.0
