place,name,blkgrps,population,households,alltransit_performance_score
"""2100298""","""Adairville""",0.05,51.37,19.02,0.0
"""2100514""","""Ages""",0.08,72.74,27.64,0.0
"""2100694""","""Albany""",0.20,288.49,116.21,0.0
"""2100802""","""Alexandria""",2.88,4339.48,1639.30,1.4
"""2100946""","""Allen""",0.02,28.75,13.20,0.0
"""2101000""","""Allensville""",0.03,22.39,6.95,0.0
"""2101504""","""Anchorage""",2.11,2562.73,869.60,2.0
"""2101648""","""Annville""",0.41,745.25,323.78,0.0
"""2101720""","""Anthoston""",0.02,34.57,13.52,0.0
"""2101972""","""Arjay""",0.04,31.57,12.71,0.0
"""2102044""","""Arlington""",0.04,23.53,10.08,0.0
"""2102188""","""Artemus""",0.41,575.46,182.00,0.0
"""2102368""","""Ashland""",16.80,20553.92,8637.30,2.9
"""2102638""","""Auburn""",0.05,99.50,35.07,0.0
"""2102656""","""Audubon Park""",0.89,1616.20,690.17,4.9
"""2102674""","""Augusta""",0.84,736.36,302.15,0.0
"""2102764""","""Auxier""",0.19,308.54,127.09,0.0
"""2103376""","""Bancroft""",0.44,417.09,155.59,2.6
"""2103412""","""Bandana""",0.05,81.37,31.11,0.0
"""2103556""","""Barbourmeade""",0.71,1104.71,464.58,1.5
"""2103574""","""Barbourville""",2.51,2541.44,765.27,0.0
"""2103628""","""Bardstown""",5.20,9804.28,3847.88,0.0
"""2103664""","""Bardwell""",0.03,24.95,10.25,0.0
"""2103718""","""Barlow""",0.01,11.80,4.91,0.0
"""2104546""","""Beattyville""",0.25,350.46,126.38,0.0
"""2104654""","""Beaver Dam""",0.88,1234.90,476.63,0.0
"""2104816""","""Bedford""",0.01,13.53,5.28,0.0
"""2104978""","""Beech Grove""",0.03,43.52,16.15,0.0
"""2105014""","""Beechmont""",0.35,372.20,121.52,0.0
"""2105068""","""Beechwood Village""",1.08,972.61,436.69,5.8
"""2105266""","""Belfry""",0.08,85.88,37.23,0.2
"""2105374""","""Bellefonte""",0.88,673.31,287.01,1.3
"""2105392""","""Bellemeade""",0.90,793.51,395.56,4.4
"""2105428""","""Belleview""",0.07,115.28,41.19,0.0
"""2105446""","""Bellevue""",5.06,5753.21,2490.38,4.6
"""2105464""","""Bellewood""",0.39,300.31,167.52,5.9
"""2105662""","""Benham""",0.06,45.64,20.00,0.0
"""2105824""","""Benton""",1.03,1749.24,769.66,0.0
"""2105842""","""Berea""",6.16,11233.81,4148.58,0.0
"""2105968""","""Berry""",0.01,9.33,3.49,0.0
"""2106220""","""Betsy Layne""",0.88,575.00,278.20,0.0
"""2106508""","""Big Clifty""",0.07,63.18,25.85,0.0
"""2107012""","""Blackey""",0.03,20.04,9.28,0.0
"""2107264""","""Blaine""",0.01,5.14,2.53,0.0
"""2107390""","""Blandville""",0.01,2.98,1.47,0.0
"""2107516""","""Bloomfield""",0.08,71.28,30.19,0.0
"""2107858""","""Blue Ridge Manor""",0.79,979.34,417.31,4.0
"""2108488""","""Bonnieville""",0.03,18.29,8.07,0.0
"""2108614""","""Booneville""",0.09,86.31,33.17,0.0
"""2108722""","""Boston""",0.04,66.27,23.10,0.0
"""2108902""","""Bowling Green""",39.65,62053.79,23158.45,2.2
"""2109100""","""Bradfordsville""",0.01,4.67,1.98,0.0
"""2109226""","""Brandenburg""",1.34,1965.94,760.45,0.0
"""2109379""","""Breckinridge Center""",0.39,974.97,125.11,0.0
"""2109406""","""Bremen""",0.01,22.99,8.11,0.0
"""2109532""","""Briarwood""",0.25,382.52,190.03,4.5
"""2109838""","""Brodhead""",0.12,185.89,64.86,0.0
"""2109847""","""Broeck Pointe""",0.10,165.91,62.28,3.0
"""2109856""","""Bromley""",0.26,322.07,124.70,2.3
"""2109964""","""Brooks""",1.41,1959.76,748.40,0.0
"""2110000""","""Brooksville""",0.03,29.91,13.15,0.0
"""2110162""","""Brownsboro Farm""",0.22,457.43,180.73,2.3
