place,name,blkgrps,population,households,alltransit_performance_score
"""2200100""","""Abbeville""",9.60,9058.95,3311.13,0.0
"""2200240""","""Abita Springs""",1.15,1977.18,814.66,0.0
"""2200415""","""Addis""",0.31,893.63,319.55,0.0
"""2200835""","""Albany""",0.09,235.18,86.75,0.0
"""2200975""","""Alexandria""",30.68,40973.61,15359.26,0.0
"""2201780""","""Ama""",1.00,1361.00,502.00,0.0
"""2201815""","""Amelia""",0.22,353.49,130.16,0.0
"""2201885""","""Amite City""",1.20,1935.09,675.79,0.0
"""2201920""","""Anacoco""",0.23,534.26,186.19,0.0
"""2202165""","""Angie""",0.04,98.42,21.73,0.0
"""2202550""","""Arabi""",6.35,3653.61,1414.05,4.0
"""2202655""","""Arcadia""",1.14,1060.54,404.43,0.0
"""2203110""","""Arnaudville""",0.02,53.62,17.37,0.0
"""2203145""","""Ashland""",0.21,110.51,56.00,0.0
"""2203320""","""Athens""",0.03,46.30,18.21,0.0
"""2203390""","""Atlanta""",0.01,8.84,4.09,0.0
"""2203810""","""Avondale""",3.68,4797.58,1557.35,0.9
"""2203985""","""Baker""",8.04,11068.20,3986.53,3.3
"""2204020""","""Baldwin""",3.17,2376.80,964.77,0.0
"""2204055""","""Ball""",1.92,3204.86,1229.87,0.0
"""2204230""","""Banks Springs""",0.37,552.17,200.97,0.0
"""2204300""","""Barataria""",0.66,653.97,273.08,0.0
"""2204580""","""Basile""",0.48,345.91,123.09,0.0
"""2204615""","""Baskin""",0.02,41.90,14.99,0.0
"""2204685""","""Bastrop""",9.19,9678.16,3567.27,0.0
"""2205000""","""Baton Rouge""",182.13,224044.72,85959.09,4.5
"""2205105""","""Bawcomville""",2.23,2711.55,1042.56,0.0
"""2205175""","""Bayou Blue""",3.88,7770.64,2658.46,0.3
"""2205210""","""Bayou Cane""",13.63,20022.23,7463.33,2.2
"""2205255""","""Bayou Corne""",0.01,9.02,2.92,0.0
"""2205260""","""Bayou Country Club""",0.35,831.81,312.84,1.6
"""2205315""","""Bayou Gauche""",1.01,1245.96,408.75,0.0
"""2205350""","""Bayou Goula""",0.24,223.21,103.71,0.0
"""2205378""","""Bayou L'Ourse""",0.09,145.88,56.55,0.0
