place,name,blkgrps,population,households,alltransit_performance_score
"""2300695""","""Alfred""",0.31,493.38,184.31,0.0
"""2301360""","""Anson""",0.05,60.51,24.69,0.0
"""2301675""","""Ashland""",0.05,51.58,20.75,0.0
"""2302060""","""Auburn""",17.00,22941.00,9916.00,1.8
"""2302100""","""Augusta""",17.00,18626.00,8544.00,2.0
"""2302795""","""Bangor""",25.00,32237.00,14035.00,3.3
"""2302830""","""Bar Harbor""",1.48,1019.51,481.76,0.0
"""2303355""","""Bath""",8.00,8314.00,4041.00,0.0
"""2303950""","""Belfast""",5.00,6680.00,2893.00,0.0
"""2304685""","""Berwick""",0.18,434.32,173.65,1.2
"""2304860""","""Biddeford""",15.00,21413.00,8545.00,2.9
"""2304965""","""Bingham""",0.07,55.46,25.51,0.0
"""2305350""","""Blaine""",0.15,99.70,40.97,0.0
"""2305665""","""Blue Hill""",0.15,194.83,93.63,0.0
"""2306085""","""Boothbay Harbor""",0.44,409.51,206.97,0.0
"""2306330""","""Bowdoinham""",0.24,324.25,142.30,0.0
"""2306925""","""Brewer""",8.00,9167.00,3754.00,2.2
"""2307135""","""Bridgton""",2.05,1537.68,719.80,0.6
"""2308395""","""Brunswick""",11.11,15057.38,6067.66,1.8
"""2308500""","""Brunswick Station""",1.03,567.39,252.19,0.5
"""2308780""","""Bucksport""",2.39,2463.49,1166.27,0.0
"""2309585""","""Calais""",3.00,3018.00,1378.00,0.0
"""2309690""","""Camden""",2.32,2501.38,1308.10,0.0
"""2310320""","""Cape Neddick""",3.11,2668.14,1215.20,0.0
"""2310565""","""Caribou""",9.00,7827.00,3511.00,0.0
"""2311090""","""Casco""",0.50,478.72,144.46,0.0
"""2311230""","""Castine""",0.20,253.72,61.24,0.0
"""2312770""","""Chisholm""",0.53,422.75,152.56,0.0
"""2313435""","""Clinton""",0.84,811.20,325.37,0.0
"""2314800""","""Cousins Island""",0.63,393.31,159.08,0.0
"""2315500""","""Cumberland Center""",1.42,2181.60,743.26,0.1
"""2316200""","""Damariscotta""",0.58,648.01,279.16,0.0
"""2317495""","""Dexter""",0.68,779.05,355.14,0.0
"""2317705""","""Dixfield""",0.02,41.93,15.89,0.0
"""2318230""","""Dover-Foxcroft""",0.64,756.19,304.07,0.0
"""2319385""","""Eagle Lake""",0.05,46.91,19.10,0.0
"""2321065""","""East Millinocket""",0.13,232.59,106.20,0.0
"""2321730""","""Eastport""",1.00,1399.00,711.00,0.0
"""2323200""","""Ellsworth""",4.98,7879.91,3337.58,0.0
"""2324285""","""Fairfield""",2.94,3142.95,1235.07,1.3
"""2324480""","""Falmouth""",1.96,1950.22,916.59,3.0
"""2324530""","""Falmouth Foreside""",1.90,1455.88,560.77,2.2
"""2324635""","""Farmingdale""",1.38,1685.44,813.80,0.8
"""2324740""","""Farmington""",0.50,807.17,281.11,0.0
"""2325580""","""Fort Fairfield""",0.42,536.23,278.28,0.0
"""2325720""","""Fort Kent""",0.31,472.68,205.51,0.0
"""2326490""","""Freeport""",2.00,1249.00,622.00,4.5
"""2326875""","""Fryeburg""",0.81,566.05,197.56,0.0
"""2327085""","""Gardiner""",7.00,5672.00,2353.00,0.4
"""2328205""","""Gorham""",3.46,5196.80,1748.83,1.8
"""2328835""","""Gray""",0.45,591.06,260.04,0.0
"""2329500""","""Greenville""",0.41,354.57,163.24,0.0
"""2330060""","""Guilford""",0.05,80.50,36.32,0.0
"""2330550""","""Hallowell""",3.00,2453.00,1127.00,1.2
"""2330760""","""Hampden""",3.07,3766.55,1471.80,1.6
"""2331705""","""Hartland""",0.06,99.37,41.80,0.0
"""2333945""","""Houlton""",3.75,2743.36,1231.76,0.0
"""2334225""","""Howland""",0.08,110.02,40.65,0.0
"""2336500""","""Kennebunk""",2.58,4334.38,2040.63,0.0
"""2336710""","""Kennebunkport""",1.14,1112.38,481.34,0.0
"""2337235""","""Kittery""",3.96,4730.50,2058.76,1.2
"""2337375""","""Kittery Point""",0.48,542.43,270.69,0.0
"""2337795""","""Lake Arrowhead""",1.26,2192.12,754.48,0.0
"""2338740""","""Lewiston""",25.00,36211.00,16063.00,2.2
"""2339265""","""Limestone""",0.15,136.45,44.93,0.0
"""2339440""","""Lincoln""",0.29,524.73,223.41,0.0
"""2340105""","""Lisbon Falls""",2.15,3804.45,1438.30,0.0
"""2340350""","""Little Falls""",0.15,236.63,94.41,0.0
"""2340470""","""Littlejohn Island""",0.20,126.65,51.23,0.0
"""2340735""","""Livermore Falls""",1.21,1123.51,576.54,0.0
"""2341575""","""Lubec""",0.69,355.52,187.08,0.0
"""2341925""","""Machias""",0.57,576.00,269.46,0.0
"""2342485""","""Madawaska""",3.26,2460.29,1144.03,0.0
"""2342625""","""Madison""",1.87,2508.51,1188.47,0.0
"""2343220""","""Mapleton""",0.09,85.40,34.97,0.0
"""2343675""","""Mars Hill""",0.06,58.10,21.74,0.0
"""2344620""","""Mechanic Falls""",1.18,1614.34,664.28,0.0
"""2345250""","""Mexico""",1.17,981.64,334.80,0.0
"""2345635""","""Milford""",0.16,225.81,89.32,0.3
"""2345845""","""Millinocket""",2.90,3643.02,1679.38,0.0
"""2345985""","""Milo""",0.22,220.79,91.66,0.0
"""2348050""","""Naples""",0.25,297.06,123.95,0.6
"""2348610""","""Newcastle""",0.08,124.68,59.28,0.0
"""2349100""","""Newport""",0.76,857.57,375.07,0.0
"""2349800""","""Norridgewock""",0.51,965.90,337.65,0.0
"""2350290""","""North Berwick""",1.03,1167.38,475.75,0.0
"""2353685""","""North Windham""",3.32,4352.75,1612.39,0.7
"""2353965""","""Norway""",2.12,2180.44,776.05,0.0
"""2354525""","""Oakland""",1.53,1642.54,756.08,0.5
"""2355120""","""Old Orchard Beach""",10.00,8745.00,4686.00,2.4
"""2355225""","""Old Town""",7.00,7594.00,3318.00,1.5
"""2355575""","""Orono""",6.00,9667.00,2619.00,2.2
"""2356240""","""Oxford""",0.70,1093.27,411.99,0.0
"""2358970""","""Pittsfield""",1.43,1500.71,580.75,0.0
"""2360545""","""Portland""",53.37,66800.50,30201.47,6.1
"""2360825""","""Presque Isle""",8.00,9246.00,4102.00,0.0
"""2361735""","""Randolph""",2.00,2011.00,862.00,0.4
"""2362610""","""Richmond""",1.31,1209.11,591.05,0.0
"""2363590""","""Rockland""",8.00,7204.00,3567.00,0.0
"""2364255""","""Rumford""",2.96,3054.01,1305.00,0.0
"""2364675""","""Saco""",11.00,19127.00,7712.00,2.0
"""2365725""","""Sanford""",16.00,20920.00,8720.00,0.0
"""2366110""","""Scarborough""",1.14,2630.71,992.97,2.0
"""2366600""","""Searsport""",0.27,482.58,251.59,0.0
"""2368875""","""Skowhegan""",4.52,4456.45,2104.45,0.0
"""2370660""","""South Eliot""",1.85,3508.56,1497.82,0.5
"""2371780""","""South Paris""",1.00,934.79,361.05,0.0
"""2371990""","""South Portland""",21.00,25431.00,10663.00,3.9
"""2372830""","""Southwest Harbor""",0.16,196.45,95.35,0.0
"""2372900""","""South Windham""",0.17,513.71,152.90,0.0
"""2373635""","""Standish""",0.32,279.57,167.05,0.0
"""2373985""","""Steep Falls""",0.43,1378.03,487.71,0.0
"""2376330""","""Thomaston""",0.91,739.79,377.29,0.0
"""2376925""","""Topsham""",3.28,5092.55,2158.09,0.4
"""2378220""","""Unity""",0.11,95.01,36.55,0.0
"""2378535""","""Van Buren""",1.52,969.26,461.29,0.0
"""2379515""","""Waldoboro""",0.24,373.19,177.13,0.0
"""2380250""","""Washburn""",0.25,214.44,87.92,0.0
"""2380740""","""Waterville""",14.00,16374.00,7219.00,1.8
"""2382105""","""Westbrook""",12.00,18156.00,8054.00,4.5
"""2383330""","""West Kennebunk""",0.30,604.58,234.87,0.0
