place,name,blkgrps,population,households,alltransit_performance_score
"""2400125""","""Aberdeen""",9.11,11621.47,4723.49,4.6
"""2400175""","""Aberdeen Proving Ground""",1.23,2115.84,631.10,1.8
"""2400225""","""Accident""",0.01,21.25,8.05,0.0
"""2400250""","""Accokeek""",5.21,12048.09,4110.80,0.8
"""2400350""","""Adamstown""",0.42,876.31,296.67,0.0
"""2400400""","""Adelphi""",10.18,16606.31,5098.25,7.3
"""2400712""","""Algonquin""",0.74,1320.48,536.95,1.6
"""2400800""","""Allen""",0.02,48.81,15.75,0.0
"""2401450""","""Andrews AFB""",3.00,2962.00,815.00,4.9
"""2401600""","""Annapolis""",25.69,37692.91,15207.12,5.8
"""2401635""","""Annapolis Neck""",9.02,11850.94,4889.52,1.7
"""2401750""","""Antietam""",0.02,13.76,5.73,0.0
"""2401925""","""Aquasco""",1.25,852.34,302.43,0.0
"""2401975""","""Arbutus""",14.00,21167.00,7708.00,6.5
"""2402025""","""Arden on the Severn""",0.44,1393.26,468.96,0.0
"""2402275""","""Arnold""",11.81,22992.44,8163.33,1.1
"""2402762""","""Ashton-Sandy Spring""",2.09,6462.99,2173.52,2.8
"""2402825""","""Aspen Hill""",28.81,53901.83,17140.19,7.1
"""2403500""","""Baden""",2.13,1847.70,717.54,0.0
"""2403514""","""Bagtown""",0.04,67.31,24.94,0.0
"""2403575""","""Bakersville""",0.01,10.33,3.54,0.0
"""2403800""","""Ballenger Creek""",11.85,18626.67,7103.57,2.7
"""2404000""","""Baltimore""",653.00,619796.00,239791.00,8.4
"""2404050""","""Baltimore Highlands""",5.00,7565.00,2332.00,8.7
"""2404250""","""Barclay""",0.01,10.43,3.09,0.0
"""2404475""","""Barnesville""",0.03,33.99,12.70,1.5
"""2404525""","""Barrelville""",0.01,4.89,2.07,0.0
"""2404625""","""Barton""",0.02,20.38,9.91,0.3
"""2404650""","""Bartonsville""",0.66,1023.04,326.65,1.3
"""2405250""","""Beaver Creek""",0.10,129.22,45.34,0.0
"""2405525""","""Bel Air""",0.10,271.08,102.17,0.8
"""2405550""","""Bel Air""",6.26,9720.33,4202.35,2.3
"""2405825""","""Bel Air North""",21.35,31963.07,11323.82,0.8
"""2405950""","""Bel Air South""",21.78,47562.02,18208.87,1.6
"""2406400""","""Beltsville""",10.11,20071.29,6278.77,5.2
"""2406550""","""Benedict""",0.02,58.09,17.98,0.0
"""2406662""","""Bensville""",3.46,12201.62,4074.58,1.7
