place,name,blkgrps,population,households,alltransit_performance_score
"""2500135""","""Abington""",10.00,16275.00,6236.00,2.4
"""2500530""","""Acushnet Center""",1.75,1927.29,847.42,0.9
"""2500590""","""Adams""",6.12,4978.94,2405.80,1.9
"""2500840""","""Agawam Town""",17.00,28748.00,11750.00,2.4
"""2501260""","""Amesbury Town""",15.00,17218.00,7025.00,1.4
"""2501360""","""Amherst Center""",9.56,20613.87,3060.35,7.1
"""2501430""","""Andover""",5.27,9387.33,3460.27,5.1
"""2501640""","""Arlington""",44.00,44992.00,18632.00,8.2
"""2502515""","""Athol""",4.92,6364.58,2669.66,2.1
"""2502690""","""Attleboro""",30.00,44326.00,17094.00,3.9
"""2503040""","""Ayer""",3.20,2357.26,1180.40,5.4
"""2503355""","""Baldwinville""",0.84,1061.57,477.63,0.9
"""2503690""","""Barnstable Town""",37.97,44273.15,18897.17,1.8
"""2503705""","""Barre""",1.00,1156.00,502.00,0.0
"""2504790""","""Belchertown""",1.13,3031.21,1195.24,1.7
"""2504965""","""Bellingham""",2.02,3903.69,1662.18,1.4
"""2505105""","""Belmont""",27.00,25965.00,9728.00,8.1
"""2505595""","""Beverly""",29.95,41298.44,16399.06,4.9
"""2506050""","""Blandford""",0.02,28.05,12.05,0.0
"""2506170""","""Bliss Corner""",4.15,4952.50,2277.62,2.1
"""2507000""","""Boston""",558.36,669091.28,263217.43,9.3
"""2507140""","""Bourne""",1.41,984.06,475.35,1.2
"""2507385""","""Boxford""",1.43,2665.24,864.06,0.0
"""2507740""","""Braintree Town""",26.00,37082.00,14017.00,5.8
"""2507945""","""Brewster""",3.02,1924.78,1003.42,1.2
"""2508050""","""Bridgewater""",3.98,9089.44,2345.39,5.8
"""2509000""","""Brockton""",87.00,95161.00,32200.00,6.2
"""2509070""","""Brookfield""",0.34,281.31,130.17,1.5
"""2509210""","""Brookline""",38.00,59246.00,24716.00,9.3
"""2509875""","""Burlington""",15.00,26103.00,9572.00,4.4
"""2510015""","""Buzzards Bay""",3.11,3405.19,1332.34,2.0
"""2511000""","""Cambridge""",88.00,110893.00,44234.00,9.1
"""2512960""","""Chatham""",1.42,847.97,447.31,1.6
"""2513205""","""Chelsea""",27.00,39272.00,12723.00,9.0
"""2513310""","""Cheshire""",0.37,325.83,129.11,2.0
"""2513450""","""Chester""",0.04,58.23,22.28,0.0
"""2513660""","""Chicopee""",43.00,55778.00,22987.00,5.3
"""2514430""","""Clinton""",5.32,5939.48,2447.34,0.0
"""2514570""","""Cochituate""",5.58,6575.86,2364.84,1.2
"""2515340""","""Cordaville""",1.49,2425.59,804.82,4.9
"""2516285""","""Danvers""",16.00,27527.00,10624.00,1.8
"""2516530""","""Dedham""",21.00,25377.00,9872.00,5.6
"""2516635""","""Deerfield""",0.13,188.73,64.44,0.8
"""2516740""","""Dennis""",2.87,2401.23,1230.46,0.0
"""2516810""","""Dennis Port""",3.68,3409.31,1753.91,1.4
"""2516840""","""Devens""",1.78,2563.85,618.82,3.7
"""2517370""","""Dover""",1.52,2190.15,744.18,0.1
"""2517860""","""Duxbury""",1.48,1279.29,517.03,1.0
"""2518595""","""East Brookfield""",1.00,1167.00,460.00,1.9
"""2518840""","""East Dennis""",3.35,2405.88,1258.51,0.0
"""2518875""","""East Douglas""",1.00,2675.00,1027.00,0.0
"""2518980""","""East Falmouth""",5.13,5909.11,2620.87,1.2
"""2519370""","""Easthampton Town""",12.00,16051.00,7205.00,2.1
"""2519400""","""East Harwich""",4.22,5332.98,2442.13,1.4
"""2520310""","""East Pepperell""",1.44,1524.12,621.26,0.0
"""2520380""","""East Sandwich""",3.56,3400.63,1380.34,0.4
"""2521115""","""Edgartown""",0.26,188.53,73.48,3.5
"""2521815""","""Essex""",1.00,1319.00,525.00,0.9
"""2521990""","""Everett""",27.00,45212.00,15591.00,8.4
"""2523000""","""Fall River""",81.00,89258.00,38611.00,3.6
"""2523070""","""Falmouth""",4.09,3298.95,1912.40,3.0
"""2523840""","""Fiskdale""",1.82,2538.41,1063.12,0.0
"""2523875""","""Fitchburg""",32.00,40666.00,14828.00,4.0
"""2524190""","""Forestdale""",2.23,4586.82,1560.70,0.2
"""2524855""","""Foxborough""",3.53,4842.33,2112.68,0.3
"""2524960""","""Framingham""",45.00,71232.00,27770.00,3.8
"""2525172""","""Franklin Town""",17.00,32843.00,11288.00,2.6
"""2525485""","""Gardner""",13.00,20496.00,8254.00,2.3
"""2526150""","""Gloucester""",23.00,29858.00,12906.00,4.0
"""2526500""","""Granby""",1.00,1468.00,664.00,0.0
"""2526780""","""Great Barrington""",2.78,2013.43,1059.61,2.7
"""2527100""","""Greenfield Town""",17.00,17474.00,7884.00,2.3
"""2527147""","""Green Harbor-Cedar Crest""",1.15,1577.29,582.29,1.6
"""2527445""","""Groton""",0.25,517.77,184.28,0.2
"""2528425""","""Hanscom AFB""",0.92,1631.99,462.34,3.4
"""2528460""","""Hanson""",1.00,1674.00,606.00,0.1
"""2529055""","""Harwich Center""",1.45,1201.54,590.24,1.6
"""2529090""","""Harwich Port""",2.59,1689.58,909.46,2.5
"""2529230""","""Hatfield""",1.00,942.04,448.65,0.0
"""2529405""","""Haverhill""",40.00,62943.00,24155.00,3.7
"""2530175""","""Hingham""",3.71,5200.25,1848.03,6.5
"""2530420""","""Holbrook""",9.00,11029.00,4291.00,4.8
"""2530630""","""Holland""",0.64,848.72,337.58,0.0
"""2530840""","""Holyoke""",37.00,40362.00,15403.00,5.8
"""2530980""","""Hopedale""",1.47,2480.82,1023.64,1.1
"""2531050""","""Hopkinton""",1.13,2257.50,720.75,1.9
"""2531295""","""Housatonic""",1.10,411.93,153.77,2.0
"""2531575""","""Hudson""",9.07,15556.48,6091.64,1.5
"""2531680""","""Hull""",8.00,10402.00,4892.00,3.0
"""2531750""","""Huntington""",1.04,715.13,311.38,0.0
"""2532275""","""Ipswich""",3.03,3606.07,1643.87,5.1
"""2533185""","""Kingston""",4.60,5775.29,2224.49,2.4
"""2534550""","""Lawrence""",55.00,79497.00,25807.00,4.9
"""2534620""","""Lee""",2.00,1739.00,809.00,2.7
"""2534935""","""Lenox""",2.05,1925.73,1036.95,2.1
