place,name,blkgrps,population,households,alltransit_performance_score
"""2700172""","""Ada""",0.42,350.23,136.95,0.0
"""2700190""","""Adams""",0.02,31.33,12.61,0.0
"""2700262""","""Adrian""",0.28,346.93,143.83,0.0
"""2700316""","""Afton""",1.97,2940.82,1129.04,0.0
"""2700460""","""Aitkin""",0.34,431.72,208.39,0.0
"""2700496""","""Akeley""",0.06,52.38,25.20,0.0
"""2700622""","""Albany""",0.98,2309.70,900.93,0.0
"""2700676""","""Alberta""",0.00,0.93,0.30,0.0
"""2700694""","""Albert Lea""",16.00,15748.38,6969.75,0.0
"""2700730""","""Albertville""",1.58,6918.23,2490.63,0.0
"""2700838""","""Alden""",0.03,23.82,9.33,0.0
"""2700892""","""Aldrich""",0.02,16.55,6.88,0.0
"""2700928""","""Alexandria""",5.53,10803.86,5179.73,0.0
"""2701162""","""Alpha""",0.00,1.17,0.48,0.0
"""2701234""","""Altura""",0.03,48.03,17.98,0.0
"""2701252""","""Alvarado""",0.00,1.66,0.67,0.0
"""2701324""","""Amboy""",0.01,5.86,2.23,0.0
"""2701486""","""Andover""",19.00,32257.00,10513.00,0.0
"""2701558""","""Angle Inlet""",0.01,5.95,2.26,0.0
"""2701684""","""Annandale""",0.75,1106.03,496.58,0.0
"""2701720""","""Anoka""",15.00,17374.00,7060.00,4.7
"""2701864""","""Appleton""",1.02,713.27,314.55,0.0
"""2701900""","""Apple Valley""",24.00,51109.00,19238.00,3.8
"""2701972""","""Arco""",0.00,2.78,1.08,0.0
"""2702026""","""Arden Hills""",7.00,10250.00,3138.00,2.2
"""2702134""","""Argyle""",0.04,33.22,13.15,0.0
"""2702152""","""Arlington""",0.91,1060.99,441.43,0.0
"""2702422""","""Ashby""",0.00,5.12,2.12,0.0
"""2702548""","""Askov""",0.02,19.37,8.04,0.0
"""2702692""","""Atwater""",0.13,146.44,60.09,0.0
"""2702728""","""Audubon""",0.01,14.54,5.85,0.0
"""2702872""","""Aurora""",3.00,1741.00,755.00,0.0
"""2702908""","""Austin""",19.92,20384.38,8192.01,0.2
"""2703052""","""Avoca""",0.01,5.40,2.42,0.0
"""2703070""","""Avon""",0.08,168.02,61.20,0.0
"""2703106""","""Babbitt""",2.00,1496.00,766.00,0.0
"""2703124""","""Backus""",0.02,19.31,9.30,0.0
"""2703160""","""Badger""",0.01,14.23,5.77,0.0
"""2703196""","""Bagley""",0.31,302.18,113.30,0.0
"""2703214""","""Baker""",0.01,7.88,3.13,0.0
"""2703250""","""Balaton""",0.43,291.92,118.49,0.0
"""2703376""","""Ball Club""",0.02,29.13,11.13,0.0
"""2703574""","""Barnesville""",0.20,284.08,110.75,0.0
"""2703628""","""Barnum""",0.09,96.84,40.76,0.0
"""2703682""","""Barrett""",0.01,17.53,6.44,0.0
"""2703718""","""Barry""",0.00,3.34,1.46,0.0
"""2703970""","""Battle Lake""",0.06,61.96,29.33,0.0
"""2704024""","""Baudette""",0.02,26.35,10.98,0.0
"""2704042""","""Baxter""",3.30,8272.49,3358.54,0.0
"""2704114""","""Bayport""",2.72,3362.62,765.81,0.0
"""2704204""","""Beardsley""",0.00,2.52,1.07,0.0
"""2704348""","""Beaulieu""",0.02,20.83,7.16,0.0
"""2704456""","""Beaver Bay""",0.03,20.86,9.97,0.0
"""2704492""","""Beaver Creek""",0.01,7.23,2.92,0.0
"""2704618""","""Becker""",0.77,1875.16,667.22,0.5
"""2704672""","""Bejou""",0.00,1.04,0.42,0.0
"""2704762""","""Belgrade""",0.31,294.56,115.16,0.0
"""2704798""","""Bellechester""",0.01,5.97,2.25,0.0
"""2704834""","""Belle Plaine""",1.40,4215.56,1314.13,0.0
"""2704960""","""Bellingham""",0.00,2.01,0.98,0.0
"""2705014""","""Beltrami""",0.01,9.41,3.74,0.0
"""2705050""","""Belview""",0.01,8.65,3.67,0.0
"""2705068""","""Bemidji""",9.65,12639.19,4877.40,0.0
"""2705104""","""Bena""",0.00,1.24,0.48,0.0
"""2705212""","""Benson""",2.13,1764.19,819.98,0.0
"""2705482""","""Bertha""",0.04,36.13,13.50,0.0
"""2705554""","""Bethel""",0.13,495.39,158.98,0.0
"""2705644""","""Bigelow""",0.00,2.89,1.01,0.0
"""2705680""","""Big Falls""",0.00,5.02,2.07,0.0
"""2705698""","""Bigfork""",0.01,10.65,5.00,0.0
"""2705744""","""Big Lake""",0.08,67.58,24.94,0.0
"""2705752""","""Big Lake""",3.02,6225.37,2041.17,0.9
"""2705896""","""Bingham Lake""",0.01,9.57,3.72,0.0
"""2706058""","""Birchwood Village""",1.00,897.00,368.00,1.7
"""2706076""","""Bird Island""",0.09,86.66,40.10,0.0
"""2706112""","""Biscay""",0.00,1.79,0.66,0.0
"""2706148""","""Biwabik""",0.38,375.36,168.34,0.0
"""2706256""","""Blackduck""",0.03,39.31,15.07,0.0
"""2706382""","""Blaine""",43.55,62946.83,23098.44,2.0
"""2706490""","""Blomkest""",0.01,14.75,5.89,0.0
"""2706580""","""Blooming Prairie""",0.85,831.11,344.15,0.0
"""2706616""","""Bloomington""",75.00,85417.00,36229.00,5.1
"""2706688""","""Blue Earth""",1.71,1402.31,702.83,0.0
"""2706778""","""Bluffton""",0.04,54.52,19.89,0.0
"""2706814""","""Bock""",0.00,8.88,3.12,0.0
"""2707030""","""Borup""",0.00,1.02,0.42,0.0
