place,name,blkgrps,population,households,alltransit_performance_score
"""2800100""","""Abbeville""",0.15,201.66,86.09,0.0
"""2800180""","""Aberdeen""",4.92,4308.42,1713.54,0.0
"""2800300""","""Ackerman""",1.02,712.88,306.24,0.0
"""2800680""","""Alcorn State University""",0.17,193.22,30.41,0.0
"""2800820""","""Algoma""",0.15,290.44,103.73,0.0
"""2800940""","""Alligator""",0.01,15.45,5.70,0.0
"""2801260""","""Amory""",5.06,5854.75,2386.45,0.0
"""2801500""","""Anguilla""",0.38,232.09,95.94,0.0
"""2801820""","""Arcola""",0.01,3.67,1.10,0.0
"""2802060""","""Arnold Line""",0.56,1906.15,632.71,1.4
"""2802100""","""Artesia""",0.01,16.41,6.54,0.0
"""2802140""","""Ashland""",0.04,68.05,27.52,0.0
"""2802700""","""Baldwyn""",1.73,2142.87,896.20,0.0
"""2803580""","""Bassfield""",0.03,37.66,16.67,0.0
"""2803620""","""Batesville""",4.09,6298.64,2259.99,0.0
"""2803980""","""Bay St. Louis""",9.91,11750.32,5080.39,0.0
"""2804060""","""Bay Springs""",1.19,1327.02,517.87,0.0
"""2804500""","""Beaumont""",0.13,163.42,61.95,0.0
"""2804540""","""Beauregard""",0.13,330.59,94.06,0.0
"""2804705""","""Beechwood""",2.61,3024.86,1060.29,0.0
"""2805100""","""Belmont""",0.70,1056.45,405.77,0.0
"""2805140""","""Belzoni""",0.89,1418.93,448.59,0.0
"""2805220""","""Benoit""",0.04,27.47,9.90,0.0
"""2805380""","""Bentonia""",0.05,37.30,15.05,0.0
"""2805820""","""Beulah""",0.01,4.71,1.93,0.0
"""2806060""","""Big Creek""",0.02,20.94,7.45,0.0
"""2806180""","""Big Point""",0.09,240.83,84.47,0.0
"""2806220""","""Biloxi""",35.78,44717.18,17338.57,2.7
"""2807060""","""Blue Mountain""",0.50,341.17,105.24,0.0
"""2807100""","""Blue Springs""",0.05,60.34,21.70,0.0
"""2807330""","""Bogue Chitto""",0.16,220.28,86.41,0.0
"""2807340""","""Bogue Chitto""",0.08,132.06,45.39,0.0
"""2807540""","""Bolton""",0.06,72.65,27.32,0.0
"""2807780""","""Booneville""",6.94,7939.10,2600.45,0.0
"""2808180""","""Boyle""",0.05,142.10,46.43,0.0
"""2808300""","""Brandon""",11.68,20440.14,7653.36,0.0
"""2808460""","""Braxton""",0.02,33.43,12.88,0.0
"""2808655""","""Bridgetown""",0.21,786.21,248.76,0.0
"""2808820""","""Brookhaven""",10.41,11284.75,4137.98,0.7
"""2808980""","""Brooksville""",0.82,879.28,321.64,0.0
"""2809180""","""Bruce""",1.61,1126.43,553.03,0.0
"""2809380""","""Buckatunna""",0.22,149.61,63.57,0.0
