place,name,blkgrps,population,households,alltransit_performance_score
"""2900244""","""Adrian""",0.38,726.20,292.93,0.0
"""2900262""","""Advance""",0.09,135.66,59.25,0.0
"""2900280""","""Affton""",14.70,21343.95,9658.25,5.0
"""2900298""","""Agency""",0.17,358.52,114.66,0.0
"""2900424""","""Airport Drive""",0.85,758.07,312.85,0.0
"""2900496""","""Alba""",0.01,13.42,4.55,0.0
"""2900514""","""Albany""",0.44,459.86,181.19,0.0
"""2900568""","""Aldrich""",0.00,3.19,1.32,0.0
"""2900604""","""Alexandria""",0.01,8.49,3.28,0.0
"""2900712""","""Allendale""",0.00,2.25,0.99,0.0
"""2900748""","""Allenville""",0.00,5.37,2.00,0.0
"""2900802""","""Alma""",0.01,5.05,2.08,0.0
"""2900910""","""Altamont""",0.00,3.62,1.58,0.0
"""2900928""","""Altenburg""",0.02,21.33,8.51,0.0
"""2900964""","""Alton""",0.17,162.88,77.44,0.0
"""2901018""","""Amazonia""",0.01,9.03,3.52,0.0
"""2901054""","""Amity""",0.00,1.75,0.78,0.0
"""2901072""","""Amoret""",0.00,2.33,1.02,0.0
"""2901090""","""Amsterdam""",0.01,7.20,2.82,0.0
"""2901198""","""Anderson""",0.20,267.56,98.91,0.0
"""2901252""","""Annada""",0.00,0.53,0.22,0.0
"""2901270""","""Annapolis""",0.00,3.54,1.40,0.0
"""2901288""","""Anniston""",0.01,15.20,6.19,0.0
"""2901522""","""Appleton City""",0.20,258.82,109.25,0.0
"""2901576""","""Arbela""",0.00,0.99,0.33,0.0
"""2901630""","""Arbyrd""",0.22,167.92,62.09,0.0
"""2901648""","""Arcadia""",0.05,72.65,27.29,0.7
"""2901702""","""Archie""",0.08,124.01,46.93,0.0
"""2901720""","""Arcola""",0.00,2.23,0.92,0.0
"""2901828""","""Argyle""",0.01,7.85,3.20,0.0
"""2901864""","""Arkoe""",0.00,1.06,0.42,0.0
"""2901954""","""Armstrong""",0.01,9.68,3.64,0.0
"""2901972""","""Arnold""",10.66,21225.68,8282.38,1.3
"""2902034""","""Arrow Point""",0.01,10.17,5.28,0.0
"""2902044""","""Arrow Rock""",0.00,1.04,0.42,0.0
"""2902098""","""Asbury""",0.00,7.56,2.96,0.0
"""2902152""","""Ashburn""",0.00,0.94,0.37,0.0
"""2902188""","""Ash Grove""",0.04,92.95,33.35,0.0
"""2902242""","""Ashland""",0.37,729.92,277.16,0.0
"""2902260""","""Ashley""",0.01,12.99,5.40,0.0
"""2902422""","""Atlanta""",0.00,3.96,1.43,0.0
"""2902512""","""Augusta""",0.03,25.76,11.19,0.0
"""2902530""","""Aullville""",0.00,6.56,2.32,0.0
"""2902548""","""Aurora""",4.91,5592.17,2330.30,0.0
"""2902638""","""Auxvasse""",0.16,185.88,80.33,0.0
"""2902674""","""Ava""",1.23,938.52,380.60,0.0
"""2902746""","""Avilla""",0.00,4.80,1.63,0.0
"""2902800""","""Avondale""",0.32,421.03,153.20,3.8
"""2902962""","""Bagnell""",0.01,14.62,4.71,0.0
"""2903034""","""Baker""",0.00,1.81,0.64,0.0
"""2903052""","""Bakersfield""",0.05,37.36,14.90,0.0
"""2903124""","""Baldwin Park""",0.02,54.65,20.30,0.0
"""2903160""","""Ballwin""",16.78,30319.19,11380.46,3.1
"""2903322""","""Baring""",0.00,1.08,0.40,0.0
"""2903340""","""Barnard""",0.00,1.81,0.62,0.0
"""2903376""","""Barnett""",0.00,8.72,2.95,0.0
"""2903394""","""Barnhart""",2.00,4663.55,1594.01,0.0
"""2903556""","""Bates City""",0.06,96.51,34.05,0.0
"""2903592""","""Battlefield""",0.86,3451.40,1345.87,0.3
"""2904114""","""Bella Villa""",0.67,766.89,291.20,4.3
"""2904132""","""Bell City""",0.01,8.93,3.00,0.0
"""2904150""","""Belle""",0.24,371.12,158.64,0.0
"""2904222""","""Bellefontaine Neighbors""",10.28,11715.60,4482.79,7.1
