place,name,blkgrps,population,households,alltransit_performance_score
"""3000175""","""Absarokee""",1.00,1022.00,513.00,0.0
"""3000700""","""Alberton""",0.00,2.07,0.78,0.0
"""3000850""","""Alder""",0.00,2.37,0.88,0.0
"""3001300""","""Alzada""",0.00,0.10,0.04,0.0
"""3001525""","""Amsterdam""",0.04,61.81,24.19,0.0
"""3001675""","""Anaconda-Deer Lodge County""",11.00,9131.00,3984.00,0.0
"""3002050""","""Antelope""",0.00,0.22,0.10,0.0
"""3002425""","""Arlee""",0.29,389.47,134.76,0.0
"""3002800""","""Ashland""",0.06,63.39,16.00,0.0
"""3003025""","""Augusta""",0.00,0.51,0.22,0.0
"""3003175""","""Avon""",0.03,18.53,8.13,0.0
"""3003212""","""Azure""",0.11,91.59,21.13,0.0
"""3003250""","""Babb""",0.02,26.60,5.33,0.0
"""3003400""","""Bainville""",0.00,2.12,0.71,0.0
"""3003475""","""Baker""",0.15,155.56,65.10,0.0
"""3003625""","""Ballantine""",0.01,10.85,4.92,0.0
"""3004150""","""Basin""",0.03,47.66,18.15,0.0
"""3004230""","""Batavia""",0.02,40.58,15.40,0.0
"""3004300""","""Bearcreek""",0.00,0.18,0.08,0.0
"""3004410""","""Bear Dance""",0.06,47.98,24.49,0.0
"""3004575""","""Beaver Creek""",0.01,11.78,3.82,0.0
"""3004900""","""Belfry""",0.00,2.60,1.16,0.0
"""3004975""","""Belgrade""",3.04,7810.50,2930.61,0.5
"""3005050""","""Belknap""",0.01,25.21,10.34,0.0
"""3005275""","""Belt""",0.02,20.02,8.62,0.0
"""3005650""","""Biddle""",0.01,5.11,2.37,0.0
"""3005800""","""Big Arm""",0.05,81.22,32.95,0.0
"""3005875""","""Bigfork""",2.95,3625.09,1491.07,0.0
"""3006250""","""Big Sandy""",0.09,52.04,21.47,0.0
"""3006325""","""Big Sky""",1.21,1991.13,768.72,0.0
"""3006475""","""Big Timber""",0.63,418.34,185.36,0.0
"""3006550""","""Billings""",74.77,96065.05,40781.39,3.7
"""3006925""","""Birney""",0.05,60.51,14.87,0.0
"""3007150""","""Black Eagle""",0.88,943.10,456.54,0.0
"""3008162""","""Boneau""",0.05,54.51,15.42,0.0
"""3008462""","""Bonner-West Riverside""",2.00,1625.53,733.99,3.1
"""3008575""","""Boulder""",0.60,392.66,154.04,0.0
"""3008725""","""Box Elder""",0.01,8.51,2.43,0.0
"""3008800""","""Boyd""",0.00,1.32,0.52,0.0
"""3008950""","""Bozeman""",23.24,38605.77,16165.55,2.3
"""3009250""","""Brady""",0.02,7.48,2.78,0.0
"""3009475""","""Bridger""",0.10,103.45,41.14,0.0
"""3009500""","""Bridger""",0.01,8.04,3.79,0.0
"""3009700""","""Broadus""",0.00,2.35,1.15,0.0
"""3009775""","""Broadview""",0.00,0.87,0.34,0.4
"""3010000""","""Brockton""",0.00,0.29,0.08,0.0
"""3010375""","""Browning""",0.92,643.60,246.44,0.0
"""3011200""","""Busby""",0.02,27.84,6.50,0.0
"""3011397""","""Butte-Silver Bow (balance)""",36.94,34442.72,15228.16,2.5
"""3011500""","""Bynum""",0.00,0.64,0.29,0.0
"""3011800""","""Camas""",0.00,3.49,1.63,0.0
"""3011995""","""Camp Three""",1.05,821.16,407.08,0.0
"""3012400""","""Cardwell""",0.00,3.46,1.32,0.0
"""3012435""","""Carlton""",0.49,780.96,324.00,0.0
"""3012625""","""Carter""",0.00,3.16,1.28,0.0
"""3012775""","""Cascade""",0.04,28.61,12.34,0.0
"""3013900""","""Charlo""",0.03,34.40,12.05,0.0
"""3013975""","""Charlos Heights""",0.01,6.81,3.04,0.0
"""3014200""","""Chester""",0.00,0.75,0.29,0.0
"""3014575""","""Chinook""",0.93,583.56,283.08,0.0
"""3014650""","""Choteau""",0.14,122.19,53.05,0.0
"""3014875""","""Churchill""",0.07,143.44,57.88,0.0
"""3014950""","""Circle""",0.08,41.71,21.36,0.0
"""3015100""","""Clancy""",0.66,1218.02,445.95,0.0
"""3015475""","""Clinton""",0.02,45.03,17.01,0.7
"""3015550""","""Clyde Park""",0.00,0.84,0.41,0.0
"""3016525""","""Colstrip""",1.25,1082.55,424.23,0.0
"""3016600""","""Columbia Falls""",1.91,2399.01,1110.20,0.0
"""3016825""","""Columbus""",0.83,969.94,361.61,0.0
"""3017050""","""Condon""",0.04,35.14,15.19,0.0
"""3017200""","""Conner""",0.00,3.08,1.34,0.0
"""3017275""","""Conrad""",1.39,1480.34,534.04,0.0
"""3017350""","""Cooke City""",0.01,9.83,4.50,0.0
"""3017500""","""Coram""",0.00,2.95,1.37,0.4
"""3017725""","""Corvallis""",0.05,98.08,34.04,0.0
"""3017800""","""Corwin Springs""",0.00,1.45,0.67,0.0
"""3018025""","""Craig""",0.00,0.34,0.17,0.0
"""3018100""","""Crane""",0.00,4.26,1.47,0.0
"""3018250""","""Crow Agency""",0.04,64.12,12.45,0.0
"""3018475""","""Culbertson""",0.00,3.81,1.26,0.0
"""3018700""","""Custer""",0.00,0.31,0.15,0.0
"""3018775""","""Cut Bank""",1.78,1337.76,533.86,1.6
"""3019300""","""Darby""",0.53,384.30,171.44,0.0
"""3019525""","""Dayton""",0.01,8.20,3.33,0.0
"""3019675""","""De Borgia""",0.01,15.26,5.87,0.0
"""3019825""","""Deer Lodge""",2.14,1752.64,801.36,0.0
"""3020425""","""Denton""",0.00,0.63,0.26,0.0
"""3020800""","""Dillon""",1.14,1263.90,534.22,0.0
"""3020950""","""Dixon""",0.01,7.96,3.53,0.0
"""3021025""","""Dodson""",0.00,0.09,0.04,0.1
"""3021850""","""Drummond""",0.00,2.53,0.95,0.0
"""3022450""","""Dupuyer""",0.01,8.61,3.24,0.0
"""3022600""","""Dutton""",0.00,0.93,0.34,0.0
"""3022985""","""East Glacier Park Village""",0.02,20.18,5.30,0.5
"""3023125""","""East Helena""",1.68,1926.68,832.88,0.0
"""3023200""","""East Missoula""",1.71,1835.94,737.75,3.0
"""3023500""","""Edgar""",0.01,8.01,3.33,0.0
"""3023650""","""Ekalaka""",0.00,1.18,0.49,0.0
"""3023865""","""Elkhorn""",0.02,19.96,7.15,0.0
"""3023950""","""Elliston""",0.02,11.21,4.92,0.0
"""3024100""","""Elmo""",0.00,4.75,1.93,0.0
"""3024325""","""Emigrant""",0.03,78.08,32.31,0.3
"""3024475""","""Ennis""",0.00,2.91,1.31,0.0
"""3024850""","""Eureka""",0.45,742.69,313.78,0.0
"""3025000""","""Evaro""",0.11,112.33,43.50,0.0
"""3025075""","""Evergreen""",6.27,7810.04,2943.87,0.0
"""3025225""","""Fairfield""",0.00,1.73,0.66,0.0
"""3025300""","""Fairview""",0.00,1.53,0.63,0.0
"""3025375""","""Fallon""",0.00,3.87,1.60,0.0
