place,name,blkgrps,population,households,alltransit_performance_score
"""3100205""","""Abie""",0.00,0.80,0.31,0.0
"""3100240""","""Adams""",0.00,7.98,2.93,0.0
"""3100415""","""Ainsworth""",0.00,3.11,1.53,0.0
"""3100555""","""Albion""",0.29,313.42,138.63,0.0
"""3100625""","""Alda""",0.01,12.94,4.94,0.0
"""3100730""","""Alexandria""",0.00,2.79,1.22,0.0
"""3100870""","""Allen""",0.00,4.15,1.65,0.0
"""3100905""","""Alliance""",5.03,4467.35,1877.08,0.0
"""3100975""","""Alma""",0.02,22.74,10.97,0.0
"""3101150""","""Alvo""",0.00,1.48,0.63,0.0
"""3101220""","""Ames""",0.00,1.84,0.88,0.0
"""3101290""","""Amherst""",0.00,1.41,0.63,0.0
"""3101465""","""Anoka""",0.00,2.21,1.01,0.0
"""3101500""","""Anselmo""",0.00,0.43,0.20,0.0
"""3101535""","""Ansley""",0.01,5.89,2.80,0.0
"""3101780""","""Arapahoe""",0.12,132.99,56.01,0.0
"""3101850""","""Arcadia""",0.00,1.79,0.82,0.0
"""3101920""","""Archer""",0.01,4.78,2.01,0.0
"""3101990""","""Arlington""",0.06,106.44,35.58,0.0
"""3102095""","""Arnold""",0.00,1.52,0.73,0.0
"""3102200""","""Arthur""",0.00,0.18,0.08,0.0
"""3102305""","""Ashland""",0.19,292.85,110.49,0.0
"""3102375""","""Ashton""",0.00,2.86,1.21,0.0
"""3102480""","""Aten""",0.03,21.29,7.61,0.0
"""3102550""","""Atkinson""",0.04,36.64,16.12,0.0
"""3102620""","""Atlanta""",0.00,1.64,0.63,0.0
"""3102655""","""Auburn""",1.31,1056.93,470.78,0.0
"""3102690""","""Aurora""",1.33,1533.91,650.10,0.0
"""3102795""","""Avoca""",0.00,1.35,0.53,0.0
"""3102830""","""Axtell""",0.01,8.80,3.43,0.0
"""3102865""","""Ayr""",0.00,1.63,0.64,0.0
"""3103005""","""Bancroft""",0.00,3.67,1.38,0.0
"""3103040""","""Barada""",0.00,0.52,0.27,0.0
"""3103075""","""Barneston""",0.00,3.80,1.56,0.0
"""3103145""","""Bartlett""",0.00,0.21,0.09,0.0
"""3103180""","""Bartley""",0.01,13.00,5.26,0.0
"""3103215""","""Bassett""",0.03,26.67,13.30,0.0
"""3103250""","""Battle Creek""",0.07,102.79,38.27,0.0
"""3103285""","""Bayard""",0.04,26.48,10.93,0.0
"""3103355""","""Bazile Mills""",0.00,7.61,3.39,0.0
"""3103390""","""Beatrice""",10.47,8141.21,3871.49,0.0
"""3103495""","""Beaver City""",0.01,4.35,2.36,0.0
"""3103530""","""Beaver Crossing""",0.01,6.86,2.61,0.0
