place,name,blkgrps,population,households,alltransit_performance_score
"""3200500""","""Alamo""",0.01,8.62,3.03,0.0
"""3203700""","""Austin""",0.00,0.43,0.16,0.0
"""3204100""","""Baker""",0.00,0.06,0.03,0.0
"""3204900""","""Battle Mountain""",2.97,2966.42,1148.19,0.0
"""3205100""","""Beatty""",0.21,349.58,105.94,0.0
"""3205125""","""Beaverdam""",0.00,1.86,0.75,0.0
"""3205275""","""Bennett Springs""",0.00,3.51,1.19,0.0
"""3205700""","""Blue Diamond""",0.01,43.20,5.37,0.0
"""3206500""","""Boulder City""",14.34,16232.37,6612.41,2.1
"""3208100""","""Bunkerville""",0.06,72.11,18.07,0.0
"""3208500""","""Caliente""",0.04,46.70,18.43,0.0
"""3208600""","""Cal-Nev-Ari""",0.00,1.61,1.06,0.0
"""3208900""","""Carlin""",0.54,694.44,242.00,0.0
"""3209700""","""Carson City""",42.00,54219.00,22158.00,2.7
"""3210200""","""Carter Springs""",0.02,42.35,16.02,0.0
"""3214090""","""Cold Springs""",5.92,7291.37,2487.10,0.0
"""3216300""","""Crescent Valley""",0.00,0.72,0.30,0.0
"""3216700""","""Crystal Bay""",0.19,26.43,17.94,2.8
"""3217500""","""Dayton""",1.88,5449.34,2035.26,0.0
"""3218500""","""Denio""",0.00,2.58,1.04,0.0
"""3219150""","""Double Spring""",0.06,114.82,42.23,0.0
"""3219800""","""Dry Valley""",0.01,10.30,4.13,0.0
"""3220700""","""Dyer""",0.02,8.52,3.75,0.0
"""3221520""","""East Valley""",0.43,588.17,230.74,0.0
"""3222500""","""Elko""",9.67,12569.58,4289.81,0.4
"""3223500""","""Ely""",2.71,2626.64,1038.20,0.0
"""3223700""","""Empire""",0.00,0.39,0.18,0.0
"""3223770""","""Enterprise""",46.83,145711.92,49650.95,2.2
"""3223900""","""Eureka""",0.00,0.88,0.41,0.0
"""3224100""","""Fallon""",6.81,6891.91,3099.55,0.0
"""3224500""","""Fallon Station""",0.19,138.62,42.09,0.0
