place,name,blkgrps,population,households,alltransit_performance_score
"""3300980""","""Alton""",0.03,48.96,19.60,0.0
"""3301220""","""Amherst""",0.18,280.81,112.81,0.0
"""3301620""","""Antrim""",0.94,1218.05,489.11,0.0
"""3301940""","""Ashland""",0.75,519.99,232.67,0.0
"""3303620""","""Bartlett""",0.04,24.75,14.59,0.0
"""3304660""","""Belmont""",0.16,370.27,131.23,0.0
"""3304820""","""Bennington""",0.04,53.96,21.92,0.0
"""3305140""","""Berlin""",12.00,10273.00,3941.00,0.0
"""3305380""","""Bethlehem""",0.04,56.16,23.59,0.0
"""3306020""","""Blodgett Landing""",0.01,12.75,6.10,0.0
"""3306900""","""Bradford""",0.02,36.95,14.56,0.0
"""3307620""","""Bristol""",0.93,740.57,303.89,0.0
"""3308900""","""Canaan""",0.05,87.23,30.65,0.9
"""3310820""","""Center Ossipee""",0.04,54.51,23.71,0.0
"""3310900""","""Center Sandwich""",0.01,8.69,3.99,0.0
"""3311300""","""Charlestown""",0.36,377.83,160.25,0.0
"""3312900""","""Claremont""",12.00,13028.00,5567.00,0.3
"""3313700""","""Colebrook""",0.39,268.62,129.88,0.0
"""3314200""","""Concord""",29.00,42717.00,17142.00,1.8
"""3314340""","""Contoocook""",0.57,730.36,276.03,0.0
"""3314580""","""Conway""",2.88,2311.29,975.90,0.0
"""3317860""","""Derry""",12.25,21833.61,9031.75,0.0
"""3318820""","""Dover""",14.00,30901.00,13194.00,3.8
"""3319620""","""Durham""",2.73,5290.50,1350.92,6.3
"""3321780""","""East Merrimack""",2.81,3969.48,1899.31,0.0
"""3324260""","""Enfield""",0.94,1008.39,523.07,1.6
"""3324580""","""Epping""",0.35,673.61,257.66,0.0
"""3325300""","""Exeter""",5.31,5647.94,2645.60,2.9
"""3325940""","""Farmington""",2.84,3914.88,1561.83,1.3
"""3327380""","""Franklin""",8.00,8491.00,3557.00,0.0
"""3329780""","""Goffstown""",0.78,1326.04,581.76,0.5
"""3330180""","""Gorham""",0.09,71.27,35.10,0.0
"""3331860""","""Greenville""",1.25,1025.01,455.18,0.0
"""3332260""","""Groveton""",0.40,266.49,112.97,0.0
"""3332980""","""Hampton""",6.31,9670.13,4232.29,0.0
"""3333140""","""Hampton Beach""",2.41,1719.80,949.63,0.0
"""3333620""","""Hancock""",0.01,22.00,9.34,0.0
"""3333780""","""Hanover""",5.00,8495.00,1863.00,4.1
"""3335460""","""Henniker""",1.03,1616.18,420.89,0.0
"""3336020""","""Hillsborough""",2.03,1413.88,606.81,0.0
"""3336580""","""Hinsdale""",0.36,467.46,211.39,1.2
"""3337220""","""Hooksett""",1.81,3222.60,1314.70,0.6
"""3337860""","""Hudson""",5.00,7665.00,2986.00,0.1
"""3338420""","""Jaffrey""",0.54,747.12,347.45,0.0
"""3339300""","""Keene""",19.00,23204.00,9391.00,1.8
"""3340180""","""Laconia""",16.00,16237.00,6904.00,0.0
"""3340340""","""Lancaster""",0.19,202.58,93.58,0.0
"""3341300""","""Lebanon""",11.00,13544.00,6267.00,2.9
"""3341780""","""Lincoln""",0.88,445.45,224.16,0.0
"""3341940""","""Lisbon""",0.26,222.69,82.52,0.0
"""3342500""","""Littleton""",3.20,3899.66,1801.90,0.4
"""3343140""","""Londonderry""",6.00,11313.00,4160.00,0.0
"""3343300""","""Loudon""",0.10,266.25,101.72,0.0
"""3345140""","""Manchester""",94.00,110601.00,45799.00,3.0
"""3345380""","""Marlborough""",0.22,189.42,86.11,0.0
"""3346980""","""Melvin Village""",0.10,41.22,18.63,0.0
"""3347060""","""Meredith""",0.63,888.05,380.79,0.0
"""3347940""","""Milford""",5.81,8336.95,3507.58,0.0
"""3348580""","""Milton""",0.07,143.51,57.55,0.0
"""3348740""","""Milton Mills""",0.08,78.07,29.06,0.0
"""3349600""","""Mountain Lakes""",0.46,192.64,79.75,0.0
"""3350260""","""Nashua""",62.00,87642.00,35374.00,3.5
"""3351300""","""Newfields""",0.05,83.46,28.91,0.0
"""3351460""","""New Hampton""",0.08,97.45,34.45,0.0
"""3352020""","""New London""",0.18,362.02,86.79,0.0
"""3352260""","""Newmarket""",2.59,3742.90,1834.45,2.9
"""3352500""","""Newport""",3.40,3976.31,1521.56,0.0
"""3353860""","""North Conway""",2.51,2301.98,1073.52,0.0
"""3354740""","""North Haverhill""",0.18,403.18,152.35,0.6
"""3356420""","""North Walpole""",0.21,184.16,72.51,1.6
"""3357220""","""North Woodstock""",0.01,11.31,4.43,0.0
"""3360500""","""Peterborough""",2.10,2116.39,1061.95,0.0
"""3361220""","""Pinardville""",2.97,4884.35,1625.04,2.0
"""3361860""","""Pittsfield""",0.13,267.00,107.68,0.0
"""3362260""","""Plainfield""",0.02,29.69,11.78,0.1
"""3362580""","""Plymouth""",1.52,2637.51,649.37,0.0
"""3362900""","""Portsmouth""",19.00,21644.00,10157.00,3.9
"""3363940""","""Raymond""",1.28,2357.04,910.57,0.0
"""3365140""","""Rochester""",21.00,30212.00,12837.00,1.9
"""3367460""","""Sanbornville""",0.27,286.96,126.64,0.0
"""3368340""","""Seabrook Beach""",1.33,993.60,551.10,0.0
"""3369940""","""Somersworth""",11.00,11797.00,4905.00,2.9
"""3371220""","""South Hooksett""",2.19,4195.67,1427.07,0.9
"""3374780""","""Suissevale""",0.12,108.08,48.56,0.0
"""3375140""","""Suncook""",3.47,5152.28,2089.99,0.0
"""3377100""","""Tilton Northfield""",2.15,2848.86,1076.76,0.0
"""3377300""","""Troy""",0.14,156.64,63.84,0.0
"""3377780""","""Union""",0.07,66.34,30.38,0.0
"""3378340""","""Walpole""",0.09,154.28,72.58,0.6
"""3378500""","""Warner""",0.04,54.60,18.60,0.0
"""3383620""","""West Stewartstown""",0.01,11.20,4.77,0.0
"""3383700""","""West Swanzey""",0.29,451.81,160.99,0.1
"""3384340""","""Whitefield""",0.08,89.67,43.55,0.0
"""3385140""","""Wilton""",0.68,782.60,353.75,0.0
"""3385460""","""Winchester""",0.30,292.07,113.81,0.0
"""3386340""","""Wolfeboro""",1.30,1248.02,627.52,0.0
"""3387140""","""Woodsville""",0.06,138.87,52.22,0.6
