place,name,blkgrps,population,households,alltransit_performance_score
"""3400100""","""Absecon""",7.00,8370.00,3209.00,4.5
"""3400640""","""Allamuchy""",0.00,6.34,2.81,0.0
"""3400700""","""Allendale""",5.00,6820.00,2279.00,5.9
"""3400730""","""Allenhurst""",0.74,521.62,213.56,7.3
"""3400760""","""Allentown""",1.00,1890.00,702.00,0.0
"""3400790""","""Allenwood""",0.83,1134.72,299.60,0.0
"""3400850""","""Alloway""",0.21,683.03,255.17,0.0
"""3401030""","""Alpha""",2.00,2225.00,926.00,0.2
"""3401090""","""Alpine""",2.00,1481.00,555.00,0.2
"""3401300""","""Anderson""",0.16,138.65,48.40,0.0
"""3401330""","""Andover""",1.00,604.00,248.00,0.7
"""3401480""","""Annandale""",0.57,1194.90,341.50,5.0
"""3401900""","""Asbury""",0.05,64.77,23.34,0.1
"""3401960""","""Asbury Park""",17.00,15830.00,6656.00,6.9
"""3401990""","""Ashland""",4.87,8432.81,3018.14,7.0
"""3402080""","""Atlantic City""",34.00,39075.00,15404.00,7.2
"""3402110""","""Atlantic Highlands""",4.00,4322.00,1735.00,5.1
"""3402200""","""Audubon""",9.00,8736.00,3500.00,5.6
"""3402230""","""Audubon Park""",1.00,951.00,479.00,6.1
"""3402320""","""Avalon""",3.00,1423.99,738.00,1.6
"""3402350""","""Avenel""",9.67,17826.98,4807.50,5.4
"""3402440""","""Avon-by-the-Sea""",2.00,1814.00,911.00,5.3
"""3402880""","""Barclay""",3.41,4224.20,1450.74,2.5
"""3403040""","""Barnegat""",0.98,2764.90,993.73,2.1
"""3403130""","""Barnegat Light""",1.22,282.85,158.37,0.5
"""3403250""","""Barrington""",5.00,6811.00,2770.00,4.3
"""3403520""","""Bay Head""",1.00,1011.00,446.00,5.8
"""3403580""","""Bayonne""",52.00,66719.00,25213.00,8.8
"""3403940""","""Beach Haven""",3.00,1102.00,565.00,0.5
"""3404120""","""Beach Haven West""",4.10,2915.68,1341.54,0.1
"""3404180""","""Beachwood""",7.00,11193.00,3715.00,1.6
"""3404252""","""Beattystown""",2.05,4377.07,1790.48,1.5
"""3404400""","""Beckett""",2.00,4887.00,1582.00,2.0
"""3404600""","""Belford""",1.39,2082.35,641.63,1.7
"""3404630""","""Belle Mead""",0.10,385.49,113.09,1.3
"""3404660""","""Belleplain""",0.20,439.15,164.31,0.7
"""3404750""","""Bellmawr""",9.00,11482.00,4357.00,3.0
"""3404930""","""Belmar""",6.00,5719.00,2637.00,6.5
"""3404990""","""Belvidere""",3.00,2619.00,1025.00,0.0
"""3405170""","""Bergenfield""",24.00,27694.00,8688.00,6.3
"""3405440""","""Berlin""",4.00,7612.00,2750.00,3.8
"""3405590""","""Bernardsville""",4.00,7792.00,2743.00,3.1
"""3405740""","""Beverly""",2.00,2520.00,949.00,7.3
"""3406025""","""Blackwells Mills""",0.19,317.27,100.93,0.6
"""3406040""","""Blackwood""",4.79,4418.49,1598.11,5.4
"""3406130""","""Blairstown""",0.01,17.75,6.23,0.0
"""3406190""","""Blawenburg""",0.12,176.38,63.62,1.3
"""3406340""","""Bloomingdale""",6.00,8139.00,2865.00,1.8
"""3406370""","""Bloomsbury""",1.00,752.00,309.00,0.0
