place,name,blkgrps,population,households,alltransit_performance_score
"""3500240""","""Abeytas""",0.01,28.59,6.22,0.0
"""3500310""","""Abiquiu""",0.00,3.26,1.32,0.6
"""3500765""","""Acomita Lake""",0.09,234.50,57.09,0.0
"""3500940""","""Adelino""",0.66,810.34,360.08,0.0
"""3501220""","""Agua Fria""",1.90,3588.84,1191.73,4.2
"""3501640""","""Alamillo""",0.00,0.30,0.11,0.0
"""3501710""","""Alamo""",0.08,65.03,24.54,0.0
"""3501780""","""Alamogordo""",24.92,25113.64,10169.54,0.0
"""3502000""","""Albuquerque""",351.74,528926.39,210765.73,4.9
"""3502070""","""Alcalde""",0.21,183.43,28.22,1.0
"""3502210""","""Algodones""",0.09,360.95,75.83,0.4
"""3503400""","""Angel Fire""",0.48,411.48,222.09,0.0
"""3503750""","""Animas""",0.00,8.11,3.46,0.1
"""3503820""","""Anthony""",3.06,6886.50,1972.72,0.3
"""3503890""","""Anton Chico""",0.00,0.97,0.35,0.0
"""3503970""","""Anzac Village""",0.00,0.30,0.09,0.0
"""3504030""","""Apache Creek""",0.02,26.38,7.40,0.0
"""3504450""","""Aragon""",0.02,26.66,7.49,0.0
"""3504660""","""Arenas Valley""",0.19,326.27,132.09,0.0
"""3504870""","""Arrey""",0.00,1.17,0.50,0.0
"""3505010""","""Arroyo Hondo""",0.03,47.59,20.19,0.9
"""3505150""","""Arroyo Seco""",0.19,227.10,73.26,0.9
"""3505220""","""Artesia""",7.86,9569.60,3527.80,0.0
"""3505430""","""Atoka""",0.07,137.49,52.22,0.0
"""3505780""","""Aztec""",3.49,4489.73,1667.70,0.8
"""3506270""","""Bayard""",1.90,1468.31,593.39,0.0
"""3506425""","""Beclabito""",0.02,27.59,7.49,0.0
"""3506480""","""Belen""",5.81,5608.12,2127.81,2.3
"""3506760""","""Bent""",0.07,86.96,42.52,0.0
"""3506830""","""Berino""",0.02,77.03,18.79,0.1
"""3506970""","""Bernalillo""",5.69,8358.67,3072.47,3.6
"""3507145""","""Bibo""",0.02,37.62,11.06,0.0
"""3507670""","""Black Rock""",0.00,5.87,1.31,0.0
"""3507810""","""Blanco""",0.16,306.16,100.11,0.0
"""3507880""","""Bloomfield""",4.15,7233.08,2281.18,0.4
"""3508185""","""Bluewater Acres""",0.03,35.14,14.58,0.0
"""3508190""","""Bluewater Village""",0.08,113.00,46.88,0.0
"""3508440""","""Boles Acres""",1.21,2370.53,1057.77,0.0
"""3508580""","""Bosque Farms""",2.67,3356.82,1284.28,0.0
"""3508860""","""Brazos""",0.00,0.76,0.28,0.6
"""3509035""","""Brimhall Nizhoni""",0.08,67.08,18.62,0.3
"""3509630""","""Buckhorn""",0.00,3.50,1.73,0.0
"""3510050""","""Caballo""",0.00,1.26,0.57,0.0
"""3510470""","""Cañada de los Alamos""",0.16,320.12,142.96,0.0
"""3510610""","""Canjilon""",0.00,3.87,1.56,0.4
"""3510750""","""Cannon AFB""",2.00,2654.00,702.00,0.0
"""3510770""","""Cañon""",0.04,78.16,27.42,0.4
"""3511310""","""Cañones""",0.01,6.16,2.71,0.0
"""3511520""","""Canova""",0.01,18.14,8.34,0.9
"""3511800""","""Capitan""",0.21,298.30,125.44,0.0
"""3512010""","""Capulin""",0.00,0.68,0.19,0.0
"""3512150""","""Carlsbad""",20.04,24666.85,9254.45,1.6
"""3512430""","""Carnuel""",0.80,1803.63,719.02,2.1
"""3512500""","""Carrizozo""",0.01,5.52,2.45,0.0
"""3512786""","""Casa Colorada""",0.02,32.65,11.01,0.0
"""3512850""","""Causey""",0.00,2.90,1.09,0.0
"""3513200""","""Cedar Crest""",0.16,263.27,107.90,0.0
"""3513270""","""Cedar Grove""",0.35,320.85,119.45,0.0
"""3513340""","""Cedar Hill""",0.10,84.72,34.35,0.0
"""3513450""","""Cedro""",0.16,124.79,52.12,0.0
"""3513970""","""Chama""",0.01,15.58,5.31,0.7
"""3514040""","""Chamberino""",0.02,35.93,13.20,0.0
"""3514110""","""Chamisal""",0.12,134.73,50.00,0.7
"""3514180""","""Chamita""",0.65,856.37,225.88,0.9
"""3514200""","""Chamizal""",0.00,0.33,0.10,0.0
"""3514250""","""Chaparral""",4.01,9569.47,3131.79,0.0
"""3514670""","""Chical""",0.01,9.72,3.41,0.0
"""3514810""","""Chili""",0.04,66.26,21.20,1.4
"""3514880""","""Chilili""",0.02,34.69,13.44,0.0
"""3514950""","""Chimayo""",0.25,514.37,166.02,1.0
"""3515300""","""Chupadero""",0.16,174.54,84.89,0.9
"""3515370""","""Church Rock""",0.07,99.38,27.04,0.2
"""3515440""","""Cimarron""",0.55,471.52,221.93,0.0
"""3515560""","""City of the Sun""",0.00,1.32,0.55,0.0
"""3515720""","""Clayton""",0.43,596.07,221.27,0.0
"""3515860""","""Cliff""",0.01,7.74,3.83,0.0
"""3516280""","""Cloudcroft""",0.02,27.07,12.72,0.0
"""3516420""","""Clovis""",27.54,34247.99,12901.63,0.0
"""3516490""","""Cobre""",0.00,0.11,0.05,0.0
"""3516560""","""Cochiti""",0.01,16.52,4.58,0.4
"""3516585""","""Cochiti Lake""",0.00,2.22,1.11,0.6
"""3517050""","""Columbus""",0.01,9.24,3.64,0.0
"""3517260""","""Conchas Dam""",0.00,1.71,0.56,0.6
"""3517610""","""Cordova""",0.02,13.55,5.19,0.6
"""3517680""","""Corona""",0.00,0.28,0.13,0.0
"""3517960""","""Corrales""",4.01,8490.72,3625.02,0.4
"""3518240""","""Costilla""",0.01,2.98,1.59,0.7
"""3518310""","""Cotton City""",0.01,13.25,5.65,0.1
"""3518660""","""Coyote""",0.01,5.92,2.56,0.1
"""3518940""","""Crownpoint""",0.34,538.18,118.51,0.4
"""3519010""","""Cruzville""",0.00,1.65,0.75,0.0
"""3519080""","""Crystal""",0.02,26.26,8.37,0.4
"""3519110""","""Cuartelez""",0.43,496.97,202.39,1.8
"""3519150""","""Cuba""",0.07,63.94,31.07,0.4
"""3519220""","""Cubero""",0.02,39.40,11.58,0.0
"""3519500""","""Cundiyo""",0.00,7.46,2.54,0.7
"""3519640""","""Cuyamungue""",0.11,96.71,42.03,1.4
"""3519645""","""Cuyamungue Grant""",0.08,119.56,49.92,1.1
"""3519920""","""Datil""",0.00,0.50,0.24,0.0
"""3520270""","""Deming""",6.97,9111.16,3552.25,0.6
"""3520480""","""Des Moines""",0.00,0.51,0.14,0.0
"""3520620""","""Dexter""",0.07,102.56,33.59,0.0
"""3520830""","""Dixon""",0.08,148.41,52.87,1.1
"""3521110""","""Doña Ana""",0.10,171.87,63.86,0.0
"""3521180""","""Dora""",0.00,2.15,0.81,0.0
"""3521390""","""Dulce""",2.00,2352.60,619.70,1.3
"""3521810""","""Duran""",0.00,1.23,0.54,0.0
"""3522020""","""Eagle Nest""",0.00,5.68,2.03,0.0
"""3522230""","""East Pecos""",0.03,71.81,30.42,0.2
"""3522380""","""Edgewood""",2.24,5014.82,1956.91,0.2
"""3522390""","""Edith Endave""",0.11,87.23,35.51,2.0
"""3522580""","""El Cerro""",1.25,2354.20,825.25,0.7
"""3522582""","""El Cerro Mission""",1.45,2048.40,584.13,0.0
"""3522625""","""Eldorado at Santa Fe""",2.73,4608.67,2283.68,0.3
"""3522650""","""El Duende""",0.05,69.06,20.06,1.3
"""3522720""","""Elephant Butte""",0.66,877.43,426.87,0.0
"""3523000""","""Elida""",0.00,0.91,0.33,0.0
"""3523840""","""El Rancho""",0.15,182.83,72.69,1.0
"""3524120""","""El Rito""",0.01,8.43,2.88,0.6
"""3524347""","""El Valle de Arroyo Seco""",0.31,449.72,171.58,1.4
"""3524540""","""Encinal""",0.22,404.56,99.99,0.0
"""3524610""","""Encino""",0.00,0.52,0.23,0.0
"""3524960""","""Ensenada""",0.00,5.08,1.88,0.6
"""3525100""","""Escondida""",0.03,43.33,13.56,0.0
"""3525135""","""Escudilla Bonita""",0.00,3.26,1.56,0.0
