place,name,blkgrps,population,households,alltransit_performance_score
"""3600155""","""Accord""",0.39,512.96,225.21,0.7
"""3600199""","""Adams""",0.15,228.46,85.44,0.0
"""3600232""","""Adams Center""",0.55,1003.53,384.81,0.0
"""3600276""","""Addison""",0.16,215.26,85.53,0.0
"""3600342""","""Afton""",0.08,89.80,37.05,0.0
"""3600408""","""Airmont""",5.30,9429.62,2711.88,1.4
"""3600441""","""Akron""",1.52,1901.32,873.94,0.0
"""3601000""","""Albany""",84.00,98498.00,41245.00,8.1
"""3601011""","""Albertson""",5.00,5294.00,1782.00,6.5
"""3601033""","""Albion""",3.36,4102.98,1738.82,0.0
"""3601088""","""Alden""",2.00,2587.00,1190.00,1.0
"""3601154""","""Alexander""",0.03,48.52,17.63,0.0
"""3601187""","""Alexandria Bay""",0.10,54.92,27.16,0.0
"""3601198""","""Alfred""",0.06,130.65,21.23,0.6
"""3601286""","""Allegany""",0.44,630.66,193.81,0.0
"""3601440""","""Almond""",0.04,42.99,17.48,0.7
"""3601517""","""Altamont""",1.00,1742.00,693.00,1.6
"""3601550""","""Altmar""",0.10,105.67,39.63,0.0
"""3601572""","""Altona""",0.19,199.64,47.28,0.0
"""3601594""","""Amagansett""",2.00,817.00,352.00,3.4
"""3601682""","""Amenia""",0.11,145.21,53.10,2.0
"""3601737""","""Ames""",0.01,4.54,1.61,0.0
"""3602044""","""Amityville""",6.93,9519.25,3340.73,6.0
"""3602066""","""Amsterdam""",15.00,17974.00,7173.00,0.8
"""3602121""","""Andes""",0.04,23.27,11.85,0.0
"""3602143""","""Andover""",0.04,40.82,16.94,0.0
"""3602176""","""Angelica""",0.06,67.32,28.32,0.0
"""3602198""","""Angola""",1.00,2002.00,815.00,1.8
"""3602220""","""Angola on the Lake""",1.18,1617.75,719.27,1.5
"""3602286""","""Antwerp""",0.03,28.25,10.47,0.0
"""3602308""","""Apalachin""",1.00,1255.00,500.00,0.0
"""3602374""","""Aquebogue""",2.00,1635.00,749.00,1.6
"""3602407""","""Arcade""",0.75,899.52,419.65,0.0
"""3602506""","""Ardsley""",3.00,4557.00,1619.00,7.5
"""3602550""","""Argyle""",0.02,29.55,11.25,0.0
"""3602583""","""Arkport""",0.07,87.33,42.71,0.5
"""3602616""","""Arlington""",3.12,3153.20,1224.65,4.2
"""3602649""","""Armonk""",2.12,3585.47,1160.43,1.7
"""3602737""","""Asharoken""",0.98,456.80,180.16,0.0
"""3602902""","""Athens""",1.51,1423.05,550.95,1.1
"""3602968""","""Atlantic Beach""",1.35,1137.86,481.69,4.9
"""3603001""","""Attica""",1.17,1071.64,422.77,0.0
"""3603078""","""Auburn""",29.00,26962.00,11572.00,4.2
"""3603188""","""Aurora""",0.05,44.03,15.20,0.2
"""3603254""","""Au Sable Forks""",0.62,294.97,125.53,0.0
"""3603320""","""Averill Park""",1.05,1307.92,555.10,0.0
"""3603331""","""Avoca""",0.08,81.73,34.42,0.2
"""3603353""","""Avon""",1.73,2924.10,1157.04,1.2
"""3603408""","""Babylon""",11.00,12177.00,4289.00,6.7
"""3604033""","""Bainbridge""",0.10,147.69,61.15,0.0
"""3604055""","""Baiting Hollow""",1.00,1637.00,641.00,0.0
"""3604143""","""Baldwin""",20.00,25214.00,7908.00,6.7
"""3604154""","""Baldwin Harbor""",7.00,7335.00,2436.00,2.6
"""3604198""","""Baldwinsville""",2.82,5052.19,2102.93,2.0
"""3604253""","""Ballston Spa""",2.81,5155.95,2177.83,4.5
"""3604286""","""Balmville""",2.70,2843.13,1126.82,0.9
"""3604396""","""Bardonia""",2.64,4279.32,1499.67,3.7
"""3604440""","""Barker""",1.00,754.00,237.00,0.0
"""3604528""","""Barneveld""",0.01,15.05,6.47,0.0
"""3604550""","""Barnum Island""",2.00,2447.00,938.00,7.2
"""3604715""","""Batavia""",17.00,14868.00,6079.00,0.0
"""3604759""","""Bath""",4.45,4264.24,1951.81,2.7
"""3604803""","""Baxter Estates""",1.00,1016.75,396.51,7.9
"""3604891""","""Bay Park""",2.00,1650.00,644.00,3.9
"""3604913""","""Bayport""",7.00,8181.00,3135.00,3.8
"""3604935""","""Bay Shore""",19.00,30392.00,9070.00,6.2
"""3605034""","""Bayville""",3.71,6411.88,2351.68,0.0
"""3605039""","""Baywood""",4.00,7360.00,2251.00,5.5
"""3605100""","""Beacon""",14.49,14172.77,5112.34,4.8
"""3605188""","""Beaver Dam Lake""",1.06,1045.52,373.19,0.8
"""3605309""","""Bedford""",1.23,1724.44,577.80,0.0
"""3605342""","""Bedford Hills""",1.91,2717.73,1050.68,7.4
"""3605562""","""Belfast""",0.05,63.31,24.27,0.0
"""3605639""","""Bellerose""",1.61,1732.27,513.75,8.9
"""3605661""","""Bellerose Terrace""",1.39,1660.73,461.25,8.9
"""3605672""","""Belle Terre""",0.84,572.76,216.79,1.5
"""3605683""","""Belleville""",0.01,11.31,4.39,0.0
"""3605738""","""Bellmore""",13.00,15767.00,5489.00,5.9
"""3605771""","""Bellport""",2.00,2050.00,853.00,4.5
"""3605815""","""Belmont""",0.24,225.69,85.06,0.5
"""3605848""","""Bemus Point""",0.17,174.50,81.85,0.7
"""3606046""","""Bergen""",0.51,630.77,235.49,0.0
"""3606387""","""Bethpage""",14.00,17016.00,5815.00,5.1
"""3606464""","""Big Flats""",3.30,4589.20,1872.05,0.2
"""3606574""","""Billington Heights""",1.45,1494.17,641.55,1.0
"""3606607""","""Binghamton""",61.00,45964.00,19974.00,5.2
"""3606644""","""Binghamton University""",0.46,2543.73,136.79,5.0
"""3606794""","""Black River""",0.96,1040.77,383.56,0.0
"""3606849""","""Blasdell""",3.00,2631.00,1179.00,4.2
"""3606860""","""Blauvelt""",3.47,6003.51,1704.75,0.2
"""3606904""","""Bliss""",0.44,415.90,163.33,0.0
"""3606937""","""Blodgett Mills""",0.26,121.90,53.12,0.0
"""3606945""","""Bloomfield""",0.13,162.96,61.80,0.0
"""3606959""","""Bloomingburg""",0.35,308.23,99.49,1.3
"""3607025""","""Bloomville""",0.04,29.59,11.57,0.0
"""3607069""","""Blue Point""",3.00,4742.00,1609.00,5.0
"""3607157""","""Bohemia""",6.00,9282.00,3379.00,4.0
"""3607190""","""Bolivar""",0.15,128.05,50.08,0.0
"""3607245""","""Bolton Landing""",0.05,33.57,13.50,0.0
"""3607355""","""Boonville""",0.25,651.18,251.17,0.0
"""3607960""","""Brasher Falls""",0.02,46.76,17.41,0.2
"""3608004""","""Breesport""",0.30,131.95,60.62,0.0
"""3608026""","""Brentwood""",28.00,63115.00,13572.00,5.7
"""3608059""","""Brewerton""",1.10,3393.94,1297.90,1.9
"""3608070""","""Brewster""",1.00,2360.00,859.00,7.8
"""3608092""","""Brewster Hill""",2.00,1618.00,617.00,1.7
"""3608103""","""Briarcliff Manor""",5.00,7864.00,2662.00,6.0
"""3608136""","""Bridgehampton""",3.47,1985.02,811.36,2.3
"""3608147""","""Bridgeport""",0.20,256.51,102.00,0.0
"""3608169""","""Bridgewater""",0.04,57.35,22.03,0.0
"""3608257""","""Brighton""",33.00,36753.00,15728.00,4.7
"""3608323""","""Brightwaters""",3.00,3096.00,1116.00,6.1
"""3608334""","""Brinckerhoff""",2.10,2087.92,755.53,0.0
"""3608422""","""Broadalbin""",1.04,1351.44,561.49,0.0
"""3608466""","""Brockport""",5.35,6661.13,2071.17,1.9
"""3608488""","""Brocton""",0.16,340.16,108.17,0.8
"""3608532""","""Bronxville""",6.00,6428.00,2196.00,8.7
"""3609000""","""Brookhaven""",3.00,3523.00,1088.00,3.0
"""3610132""","""Brookville""",1.50,2888.67,609.99,3.1
"""3610231""","""Brownville""",0.10,123.18,46.55,0.0
"""3610286""","""Brushton""",0.01,17.09,6.93,0.0
"""3610341""","""Buchanan""",2.00,2255.00,751.00,4.9
"""3611000""","""Buffalo""",287.00,259578.22,110637.13,7.8
"""3611132""","""Burdett""",0.06,76.38,37.62,0.0
"""3611154""","""Burke""",0.01,9.19,3.79,0.0
"""3611440""","""Busti""",0.19,296.37,123.49,0.1
"""3611550""","""Byersville""",0.01,21.68,9.04,0.6
"""3611638""","""Cairo""",1.22,955.41,394.35,0.0
"""3611671""","""Calcium""",0.46,1528.43,607.33,0.0
"""3611704""","""Caledonia""",0.77,1064.11,476.72,0.7
"""3611748""","""Callicoon""",0.02,21.38,9.35,0.0
"""3611781""","""Calverton""",5.70,6515.30,3224.26,2.6
"""3611825""","""Cambridge""",0.77,988.05,477.65,0.0
"""3611847""","""Camden""",1.01,2463.62,1027.32,0.0
"""3611902""","""Camillus""",1.00,1156.70,523.88,4.1
"""3611935""","""Campbell""",0.20,160.35,69.76,0.1
"""3612111""","""Canajoharie""",0.13,186.89,74.32,0.0
"""3612144""","""Canandaigua""",11.00,10402.00,4790.00,0.0
"""3612177""","""Canaseraga""",0.04,54.23,19.73,0.3
"""3612188""","""Canastota""",2.15,2960.16,1168.54,0.0
"""3612210""","""Candor""",0.02,19.67,7.23,0.0
"""3612254""","""Canisteo""",1.90,1392.67,580.30,1.8
"""3612331""","""Canton""",2.56,2280.45,669.03,1.7
"""3612353""","""Cape Vincent""",0.04,28.57,12.65,0.0
"""3612419""","""Carle Place""",5.00,4918.00,1788.00,8.1
"""3612532""","""Carmel Hamlet""",4.00,6392.00,2274.00,1.0
"""3612584""","""Caroga Lake""",0.17,72.24,32.88,0.0
"""3612683""","""Carthage""",1.30,1449.80,503.39,0.0
"""3612749""","""Cassadaga""",0.07,70.23,31.88,0.9
"""3612771""","""Castile""",0.26,199.52,77.29,0.0
"""3612870""","""Castleton-on-Hudson""",0.90,1221.45,474.10,0.0
"""3612881""","""Castorland""",0.01,16.36,6.52,0.0
"""3612958""","""Cato""",0.06,67.25,25.42,0.0
"""3613002""","""Catskill""",2.35,2578.48,957.31,0.0
"""3613024""","""Cattaraugus""",0.29,267.71,116.10,0.0
"""3613068""","""Cayuga""",0.11,71.25,28.11,0.0
"""3613079""","""Cayuga Heights""",2.76,4241.24,1762.99,5.8
"""3613145""","""Cazenovia""",1.07,1769.97,630.66,0.0
"""3613233""","""Cedarhurst""",5.00,6685.00,1931.00,8.3
"""3613288""","""Celoron""",1.43,1151.49,500.94,2.0
"""3613376""","""Centereach""",16.00,31955.61,9677.79,3.4
"""3613420""","""Center Moriches""",6.00,8743.00,2769.00,2.1
"""3613442""","""Centerport""",3.00,5380.00,1967.00,1.7
"""3613530""","""Central Bridge""",0.13,139.11,55.51,0.0
"""3613552""","""Central Islip""",19.00,33253.00,9260.00,5.6
"""3613585""","""Central Square""",1.51,1981.49,874.91,1.8
"""3613618""","""Centre Island""",0.99,516.30,198.05,0.8
"""3613662""","""Chadwicks""",0.33,822.61,342.49,2.0
"""3613739""","""Champlain""",0.26,204.45,85.29,0.1
"""3613805""","""Chappaqua""",0.78,1059.37,365.23,7.7
"""3613981""","""Chateaugay""",0.04,35.06,15.01,0.0
"""3614003""","""Chatham""",0.34,281.20,117.47,0.0
"""3614036""","""Chaumont""",0.03,49.33,19.45,0.0
"""3614058""","""Chautauqua""",0.77,389.89,116.04,1.4
"""3614102""","""Chazy""",0.22,149.58,55.48,0.0
"""3615000""","""Cheektowaga""",65.00,74593.71,33570.53,4.7
"""3615121""","""Chenango Bridge""",2.83,2747.86,1070.73,2.9
"""3615187""","""Cherry Creek""",0.04,40.35,14.35,0.3
"""3615242""","""Cherry Valley""",0.01,16.33,6.25,0.0
"""3615297""","""Chester""",1.51,1948.71,725.53,1.9
"""3615363""","""Chestertown""",0.24,147.21,76.94,0.0
"""3615400""","""Chestnut Ridge""",6.03,8603.80,2525.41,0.5
"""3615561""","""Chittenango""",1.66,2633.49,969.05,0.0
"""3615638""","""Churchville""",0.16,242.60,97.55,0.0
"""3615814""","""Clarence""",1.86,2670.65,1030.54,0.0
"""3615836""","""Clarence Center""",2.00,2671.00,874.00,0.0
"""3615902""","""Clark Mills""",1.07,1456.52,762.96,0.2
"""3615946""","""Clarkson""",2.24,3748.72,1338.17,0.7
"""3616050""","""Claverack-Red Mills""",0.36,345.00,155.56,0.0
"""3616089""","""Clayton""",0.14,205.48,92.06,0.0
"""3616111""","""Clayville""",0.09,160.67,60.48,0.2
"""3616188""","""Cleveland""",1.00,683.00,278.00,0.0
"""3616375""","""Clifton Springs""",0.90,1015.77,403.48,0.0
"""3616419""","""Clinton""",0.84,791.94,341.63,2.4
"""3616452""","""Clintondale""",0.92,1369.83,549.03,0.2
"""3616573""","""Clyde""",2.00,1991.00,675.00,0.0
"""3616628""","""Cobleskill""",3.19,3882.91,1245.83,0.0
"""3616727""","""Cohocton""",0.45,337.78,114.55,0.0
"""3616749""","""Cohoes""",16.00,16574.00,7456.00,5.3
"""3616815""","""Cold Brook""",0.03,42.15,14.72,0.0
"""3616936""","""Cold Spring""",1.00,1834.00,843.00,6.4
"""3616958""","""Cold Spring Harbor""",4.00,5088.00,1688.00,3.2
"""3617332""","""Colonie""",5.00,7856.00,3080.00,6.8
"""3617398""","""Colton""",0.05,69.30,31.05,0.0
"""3617530""","""Commack""",22.00,37117.00,12065.00,3.4
"""3617620""","""Conesus Hamlet""",0.06,72.43,30.78,0.4
"""3617622""","""Conesus Lake""",0.54,805.99,343.91,0.6
"""3617739""","""Congers""",6.10,7969.08,2628.19,2.4
"""3617882""","""Constableville""",0.03,29.18,11.05,0.0
"""3617893""","""Constantia""",0.42,532.05,257.45,0.0
"""3618036""","""Coopers Plains""",0.37,253.24,123.86,1.9
"""3618047""","""Cooperstown""",1.16,1359.64,627.21,0.0
"""3618113""","""Copake Falls""",0.01,14.99,5.46,0.0
"""3618118""","""Copake Hamlet""",0.13,125.80,52.79,0.0
"""3618124""","""Copake Lake""",0.50,588.12,220.31,0.0
"""3618135""","""Copenhagen""",0.02,42.28,16.51,0.0
"""3618146""","""Copiague""",13.00,22926.00,7113.00,5.5
"""3618157""","""Coram""",22.00,40713.00,14600.00,2.9
"""3618201""","""Corfu""",0.08,128.96,60.12,0.0
"""3618212""","""Corinth""",2.00,2651.00,1004.00,0.0
"""3618256""","""Corning""",9.00,10870.00,5178.00,2.8
"""3618333""","""Cornwall-on-Hudson""",1.97,1954.29,755.56,0.3
"""3618388""","""Cortland""",18.00,18914.00,6712.00,0.0
"""3618443""","""Cortland West""",1.20,1069.23,429.40,0.0
"""3618542""","""Country Knolls""",0.47,993.31,362.36,0.0
"""3618597""","""Cove Neck""",0.43,516.14,165.29,0.1
"""3618718""","""Coxsackie""",2.03,1919.85,768.80,0.0
"""3618762""","""Cragsmoor""",0.52,226.17,108.37,0.6
"""3618817""","""Cranberry Lake""",0.14,68.75,28.79,0.2
"""3619070""","""Croghan""",0.01,23.13,8.69,0.0
"""3619092""","""Crompond""",1.00,2333.00,806.00,2.7
