place,name,blkgrps,population,households,alltransit_performance_score
"""3700160""","""Aberdeen""",2.99,5909.69,2458.43,0.0
"""3700440""","""Advance""",0.62,1068.85,397.60,0.0
"""3700500""","""Ahoskie""",1.83,1306.37,543.23,0.0
"""3700640""","""Alamance""",0.09,185.21,80.20,0.0
"""3700680""","""Albemarle""",12.79,12266.48,4878.87,0.0
"""3701000""","""Alliance""",0.09,144.09,41.54,0.0
"""3701140""","""Altamahaw""",0.20,258.89,96.15,0.0
"""3701380""","""Andrews""",0.82,1122.30,405.23,0.0
"""3701400""","""Angier""",0.62,1710.10,616.19,0.0
"""3701420""","""Ansonville""",0.02,38.36,15.80,0.0
"""3701520""","""Apex""",11.00,31454.56,10846.61,1.1
"""3701560""","""Aquadale""",0.16,176.35,79.86,0.0
"""3701640""","""Arapahoe""",0.12,118.89,58.28,1.7
"""3701720""","""Archdale""",6.11,9522.98,3961.94,0.5
"""3701760""","""Archer Lodge""",1.06,4648.54,1571.24,0.0
"""3702080""","""Asheboro""",13.36,20470.90,8554.20,0.5
"""3702140""","""Asheville""",53.97,77722.68,34540.68,4.3
"""3702240""","""Ashley Heights""",0.09,293.68,70.29,0.0
"""3702320""","""Askewville""",0.02,16.81,7.49,0.0
"""3702460""","""Atkinson""",0.02,22.46,8.58,0.0
"""3702480""","""Atlantic""",0.08,92.02,35.62,0.0
"""3702500""","""Atlantic Beach""",4.14,1631.05,819.55,0.0
"""3702580""","""Aulander""",0.25,240.98,85.80,0.0
"""3702620""","""Aurora""",0.26,160.47,65.18,0.0
"""3702700""","""Autryville""",0.02,42.36,17.41,0.0
"""3702760""","""Avery Creek""",0.35,1095.82,462.39,0.2
"""3702780""","""Avon""",0.13,173.21,90.72,0.0
"""3702840""","""Ayden""",1.09,1311.83,523.78,0.0
"""3702960""","""Badin""",0.52,627.13,216.92,0.0
"""3703020""","""Bailey""",0.07,110.07,40.58,0.0
"""3703100""","""Bakersville""",0.05,48.85,20.37,0.0
"""3703150""","""Bald Head Island""",0.40,89.88,51.93,0.3
"""3703220""","""Balfour""",0.90,1282.28,605.59,0.0
"""3703500""","""Banner Elk""",0.18,274.91,112.42,0.0
"""3703640""","""Barker Heights""",1.52,1395.13,616.92,0.0
"""3703665""","""Barker Ten Mile""",0.27,821.07,317.03,0.0
"""3703840""","""Bath""",0.01,12.91,5.71,0.0
"""3703960""","""Bayboro""",0.20,193.25,76.46,0.0
"""3704015""","""Bayshore""",1.56,2328.22,999.67,0.0
"""3704040""","""Bayview""",0.03,38.30,16.95,0.0
"""3704180""","""Bear Grass""",0.01,19.36,7.76,0.0
"""3704260""","""Beaufort""",3.43,2569.77,1241.27,0.0
"""3704510""","""Beech Mountain""",0.74,500.60,225.15,0.0
"""3704640""","""Belhaven""",0.93,727.46,308.43,0.0
"""3704680""","""Bell Arthur""",0.16,157.99,61.68,0.0
"""3704840""","""Belmont""",9.89,12289.97,4703.28,0.3
"""3704950""","""Belville""",0.76,1501.34,576.66,0.9
"""3704955""","""Belvoir""",0.29,560.50,171.36,0.1
"""3704960""","""Belwood""",0.66,965.07,406.41,0.0
"""3705020""","""Bennett""",0.11,132.59,46.76,0.0
"""3705040""","""Benson""",1.24,978.88,373.38,0.0
"""3705049""","""Bent Creek""",0.17,402.00,188.50,1.1
"""3705135""","""Bermuda Run""",0.77,1778.63,744.76,0.0
"""3705220""","""Bessemer City""",2.04,2325.42,857.75,0.1
"""3705340""","""Bethania""",0.29,453.15,164.77,1.3
"""3705460""","""Bethel""",0.42,289.11,129.25,0.0
"""3705530""","""Bethlehem""",2.08,3909.79,1589.58,0.0
"""3705660""","""Beulaville""",0.14,257.08,106.57,0.0
"""3705880""","""Biltmore Forest""",0.41,878.60,395.49,3.3
