place,name,blkgrps,population,households,alltransit_performance_score
"""3900142""","""Aberdeen""",0.67,934.82,468.29,0.4
"""3900198""","""Ada""",2.96,3576.47,763.17,0.0
"""3900380""","""Adamsville""",0.00,1.89,0.74,0.0
"""3900436""","""Addyston""",0.90,909.61,372.42,3.0
"""3900450""","""Adelphi""",0.01,16.83,5.81,0.0
"""3900464""","""Adena""",0.04,29.76,12.21,0.0
"""3901000""","""Akron""",208.86,196652.52,83501.01,5.3
"""3901042""","""Albany""",0.15,213.77,89.76,0.0
"""3901154""","""Alexandria""",0.02,29.21,12.00,0.0
"""3901210""","""Alger""",0.03,26.12,10.80,0.0
"""3901420""","""Alliance""",17.85,19982.05,7946.35,4.1
"""3901588""","""Alvordton""",0.01,7.65,3.16,0.0
"""3901630""","""Amanda""",0.04,47.52,17.39,0.0
"""3901672""","""Amberley""",3.13,4107.65,1450.74,2.3
"""3901742""","""Amelia""",1.70,4060.66,1477.91,0.0
"""3901784""","""Amesville""",0.01,7.01,2.36,0.0
"""3901798""","""Amherst""",6.41,11304.84,4611.37,0.0
"""3901938""","""Amsterdam""",0.06,50.10,19.10,0.0
"""3902022""","""Andersonville""",0.37,346.64,128.94,0.0
"""3902050""","""Andover""",0.12,101.90,37.81,0.0
"""3902092""","""Anna""",0.24,394.57,137.43,0.0
"""3902120""","""Ansonia""",0.06,103.07,35.17,0.0
"""3902148""","""Antioch""",0.00,2.15,0.90,0.0
"""3902204""","""Antwerp""",0.06,97.87,40.50,0.0
"""3902232""","""Apple Creek""",0.07,138.87,48.59,0.0
"""3902266""","""Apple Valley""",2.12,3847.86,1525.64,0.0
"""3902274""","""Aquilla""",0.03,34.95,13.00,0.0
"""3902316""","""Arcadia""",0.02,28.96,11.25,0.0
"""3902330""","""Arcanum""",0.55,663.25,265.28,0.0
"""3902344""","""Archbold""",2.05,3084.69,1235.52,0.0
"""3902400""","""Arlington""",0.08,130.89,55.34,0.0
"""3902428""","""Arlington Heights""",1.00,920.00,360.00,4.4
"""3902568""","""Ashland""",16.70,15557.29,5962.53,0.0
"""3902582""","""Ashley""",0.09,162.07,55.18,0.0
"""3902638""","""Ashtabula""",17.65,15544.54,6665.37,0.0
"""3902680""","""Ashville""",2.03,2047.47,732.69,0.0
"""3902722""","""Athalia""",0.07,98.45,36.97,0.4
"""3902736""","""Athens""",11.93,21752.23,5527.52,4.9
"""3902820""","""Attica""",0.06,68.58,29.92,0.0
"""3902848""","""Atwater""",1.00,1051.00,313.00,0.0
"""3903086""","""Aurora""",8.00,15766.00,6193.00,0.0
"""3903142""","""Austinburg""",0.26,366.71,131.32,0.0
"""3903184""","""Austintown""",22.98,27254.37,12395.19,2.7
"""3903352""","""Avon""",5.00,22538.00,7866.00,0.0
"""3903464""","""Avon Lake""",11.00,23489.00,9288.00,0.1
"""3903562""","""Bailey Lakes""",0.03,38.45,11.08,0.0
"""3903585""","""Bainbridge""",2.21,2569.40,1002.17,0.0
"""3903604""","""Bainbridge""",0.28,216.13,84.38,0.0
"""3903646""","""Bairdstown""",0.02,17.60,6.86,0.0
"""3903716""","""Ballville""",2.34,2663.89,1184.77,0.0
"""3903744""","""Baltic""",0.04,88.66,24.04,0.0
"""3903758""","""Baltimore""",1.05,1140.52,414.59,0.0
"""3903786""","""Bannock""",0.03,57.57,11.13,0.0
"""3903828""","""Barberton""",23.34,26156.97,10599.05,4.0
"""3903926""","""Barnesville""",1.44,1770.52,700.08,0.0
"""3903940""","""Barnhill""",0.05,75.96,28.13,0.0
"""3904094""","""Bascom""",0.08,70.44,23.39,0.0
"""3904150""","""Batavia""",1.63,1890.77,740.28,0.0
