place,name,blkgrps,population,households,alltransit_performance_score
"""4000100""","""Achille""",0.01,7.64,2.98,0.0
"""4000200""","""Ada""",14.17,14936.89,5868.94,0.0
"""4000250""","""Adair""",0.42,422.07,142.51,0.0
"""4000450""","""Addington""",0.00,1.67,0.61,0.0
"""4000600""","""Afton""",0.20,241.52,89.88,0.0
"""4000700""","""Agra""",0.01,11.64,3.70,0.0
"""4000900""","""Akins""",0.20,452.08,143.53,0.0
"""4000950""","""Albany""",0.03,31.08,13.62,0.0
"""4001050""","""Albion""",0.00,1.15,0.46,0.0
"""4001150""","""Alderson""",0.03,25.33,10.71,0.0
"""4001250""","""Alex""",0.06,107.33,42.63,0.0
"""4001350""","""Aline""",0.00,1.16,0.48,0.0
"""4001400""","""Allen""",0.14,118.30,46.31,0.0
"""4001700""","""Altus""",13.10,14356.70,5524.77,0.0
"""4001800""","""Alva""",4.85,3792.63,1542.10,0.0
"""4001900""","""Amber""",0.15,91.38,34.05,0.0
"""4001950""","""Ames""",0.00,3.41,1.22,0.0
"""4002000""","""Amorita""",0.00,0.57,0.22,0.0
"""4002050""","""Anadarko""",4.78,3900.77,1225.55,0.0
"""4002250""","""Antlers""",0.44,696.22,281.21,0.0
"""4002300""","""Apache""",0.24,206.70,77.41,0.0
"""4002500""","""Arapaho""",0.01,10.93,3.56,0.0
"""4002550""","""Arcadia""",0.19,66.58,25.87,0.0
"""4002600""","""Ardmore""",21.22,22106.47,8506.19,0.4
"""4002650""","""Arkoma""",0.71,681.60,288.52,0.0
"""4002750""","""Armstrong""",0.00,3.40,1.30,0.0
"""4002800""","""Arnett""",0.00,0.85,0.33,0.0
"""4002900""","""Arpelar""",0.03,30.83,12.59,0.0
"""4003000""","""Asher""",0.02,13.49,4.88,0.0
"""4003050""","""Ashland""",0.00,3.41,1.38,0.0
"""4003300""","""Atoka""",1.41,1778.11,735.24,0.0
"""4003350""","""Atwood""",0.00,3.74,1.36,0.0
"""4003500""","""Avant""",0.00,2.53,0.98,0.0
"""4003815""","""Badger Lee""",0.12,233.12,89.12,0.0
"""4004075""","""Ballou""",0.11,115.13,39.86,0.0
"""4004250""","""Barnsdall""",0.10,64.09,26.71,0.0
"""4004450""","""Bartlesville""",24.80,31279.47,12892.13,0.0
"""4004700""","""Bearden""",0.07,59.02,24.59,0.0
"""4004750""","""Beaver""",0.36,297.14,105.03,0.0
"""4004950""","""Bee""",0.02,20.47,7.74,0.0
"""4005000""","""Beggs""",0.73,635.13,234.03,0.0
"""4005070""","""Belfonte""",0.12,358.91,137.96,0.0
"""4005090""","""Bell""",0.33,359.30,121.51,0.0
"""4005400""","""Bennington""",0.00,4.30,1.60,0.0
"""4005550""","""Bernice""",0.05,62.01,27.39,0.0
"""4005650""","""Bessie""",0.00,2.98,1.23,0.0
"""4005700""","""Bethany""",25.01,19071.10,7321.54,0.7
"""4005800""","""Bethel Acres""",1.54,2813.67,929.54,0.0
"""4005900""","""Big Cabin""",0.03,43.94,17.80,0.0
"""4006100""","""Billings""",0.01,4.54,1.60,0.0
"""4006200""","""Binger""",0.03,30.83,10.82,0.0
"""4006350""","""Bison""",0.01,5.46,2.23,0.0
"""4006400""","""Bixby""",9.43,21939.89,7761.76,0.0
"""4006450""","""Blackburn""",0.00,1.90,0.73,0.0
"""4006500""","""Blackgum""",0.01,9.81,3.94,0.0
"""4006600""","""Blackwell""",3.73,4508.85,1689.85,0.0
"""4006650""","""Blair""",0.03,25.37,10.08,0.0
"""4006700""","""Blanchard""",3.07,5129.11,1813.42,0.0
"""4006750""","""Blanco""",0.01,4.34,1.84,0.0
"""4006900""","""Blue""",0.02,27.92,10.39,0.0
"""4006950""","""Bluejacket""",0.01,6.38,2.16,0.0
"""4007300""","""Boise City""",0.17,111.55,47.40,0.0
"""4007350""","""Bokchito""",0.06,53.33,18.80,0.0
"""4007450""","""Bokoshe""",0.01,7.70,2.79,0.0
"""4007500""","""Boley""",0.04,40.16,7.89,0.0
"""4007750""","""Boswell""",0.14,97.07,45.53,0.0
"""4007950""","""Bowlegs""",0.10,130.80,47.93,0.0
"""4008050""","""Box""",0.06,111.41,45.65,0.0
"""4008150""","""Boynton""",0.01,6.48,2.66,0.0
"""4008300""","""Bradley""",0.00,3.66,1.49,0.0
"""4008400""","""Braggs""",0.00,5.62,2.17,0.0
"""4008450""","""Braman""",0.00,0.91,0.37,0.0
"""4008550""","""Bray""",0.62,830.95,316.77,0.0
"""4008600""","""Breckenridge""",0.24,170.07,65.61,0.0
"""4008650""","""Brent""",0.27,535.44,189.33,0.0
"""4008725""","""Bridge Creek""",0.11,331.34,109.11,0.0
"""4008750""","""Bridgeport""",0.00,5.46,1.95,0.0
"""4008775""","""Briggs""",0.08,120.43,40.59,0.0
"""4008900""","""Bristow""",1.86,2014.14,815.03,0.0
"""4009050""","""Broken Arrow""",54.85,100859.95,36396.56,1.0
"""4009100""","""Broken Bow""",2.04,1887.41,712.50,0.0
"""4009150""","""Bromide""",0.01,8.33,3.01,0.0
"""4009400""","""Brooksville""",0.08,170.34,61.65,0.0
"""4009612""","""Brush Creek""",0.15,118.39,41.19,0.0
"""4009650""","""Brushy""",0.40,775.14,256.89,0.0
"""4009850""","""Buffalo""",0.00,3.41,1.31,0.0
"""4009887""","""Bull Hollow""",0.05,79.60,28.06,0.0
"""4009950""","""Burbank""",0.00,0.89,0.37,0.0
"""4010050""","""Burlington""",0.00,0.62,0.24,0.0
"""4010150""","""Burneyville""",0.21,184.27,56.11,0.0
"""4010250""","""Burns Flat""",0.06,130.06,42.00,0.0
"""4010400""","""Bushyhead""",0.59,972.53,374.75,0.0
"""4010450""","""Butler""",0.00,6.44,2.35,0.0
"""4010460""","""Butler""",0.12,313.35,129.50,0.0
"""4010550""","""Byars""",0.02,17.38,6.57,0.0
"""4010600""","""Byng""",0.35,479.95,171.88,0.0
"""4010650""","""Byron""",0.00,0.54,0.21,0.0
"""4010700""","""Cache""",0.72,1314.98,449.73,0.0
"""4010800""","""Caddo""",0.20,245.10,93.57,0.0
"""4010950""","""Calera""",0.49,775.70,270.82,1.0
"""4011050""","""Calumet""",0.01,14.40,5.04,0.0
"""4011100""","""Calvin""",0.01,6.63,2.41,0.0
"""4011150""","""Camargo""",0.00,1.88,0.76,0.0
"""4011300""","""Cameron""",0.00,8.37,3.12,0.0
"""4011450""","""Canadian""",0.02,45.95,16.59,0.0
"""4011550""","""Caney""",0.01,13.73,5.78,0.0
"""4011600""","""Canton""",0.01,6.55,3.07,0.0
"""4011650""","""Canute""",0.01,9.34,3.57,0.0
"""4011750""","""Capron""",0.00,0.14,0.05,0.0
"""4011975""","""Carlisle""",0.38,705.64,271.53,0.0
"""4011990""","""Carlton Landing""",0.00,5.07,2.50,0.0
"""4012000""","""Carmen""",0.00,6.68,2.75,0.0
"""4012050""","""Carnegie""",0.02,23.89,8.29,0.0
"""4012100""","""Carney""",0.03,35.01,13.05,0.0
"""4012200""","""Carrier""",0.01,8.20,3.24,0.0
"""4012300""","""Carter""",0.00,3.06,1.16,0.0
"""4012550""","""Cartwright""",0.12,161.98,69.73,0.0
"""4012650""","""Cashion""",0.02,39.84,13.60,0.0
"""4012750""","""Castle""",0.00,1.87,0.70,0.0
"""4012900""","""Catoosa""",0.95,2469.53,952.76,0.0
