place,name,blkgrps,population,households,alltransit_performance_score
"""4100275""","""Adair Village""",0.01,28.08,9.63,0.7
"""4100350""","""Adams""",0.01,7.48,2.97,0.5
"""4100500""","""Adrian""",0.00,3.63,1.35,0.0
"""4101000""","""Albany""",26.47,43730.71,16919.76,2.8
"""4101650""","""Aloha""",30.94,54367.21,17640.44,7.6
"""4101700""","""Alpine""",0.01,20.79,7.93,0.0
"""4101800""","""Alsea""",0.00,1.59,0.61,0.0
"""4101850""","""Altamont""",19.14,17949.24,7099.16,3.4
"""4102000""","""Amity""",0.02,49.63,17.53,0.7
"""4102200""","""Annex""",0.10,72.96,24.56,0.0
"""4102250""","""Antelope""",0.00,0.71,0.26,0.0
"""4102800""","""Arlington""",0.01,5.59,2.10,0.0
"""4103050""","""Ashland""",10.84,14954.02,7019.60,4.1
"""4103150""","""Astoria""",10.17,9404.50,4429.86,2.4
"""4103200""","""Athena""",0.01,8.26,3.26,0.5
"""4103250""","""Aumsville""",1.26,1570.99,532.85,1.4
"""4103300""","""Aurora""",0.07,124.76,46.92,1.7
"""4103650""","""Baker City""",5.21,4733.55,2004.26,1.7
"""4103800""","""Bandon""",1.58,1747.51,894.17,2.5
"""4103850""","""Banks""",0.04,138.64,41.89,0.7
"""4104000""","""Barlow""",0.01,3.35,1.26,1.7
"""4104400""","""Barview""",0.13,278.80,122.12,0.7
"""4104800""","""Bay City""",0.27,500.96,189.07,1.0
"""4104925""","""Bayside Gardens""",0.19,189.57,96.16,1.1
"""4105150""","""Beatty""",0.00,2.99,1.54,0.2
"""4105200""","""Beaver""",0.01,5.49,1.89,0.6
"""4105250""","""Beavercreek""",3.01,4478.97,1644.04,1.0
"""4105350""","""Beaverton""",52.42,100161.57,40264.67,7.5
"""4105700""","""Bellfountain""",0.02,40.58,15.10,0.0
"""4105800""","""Bend""",33.19,72455.12,29424.77,3.8
"""4105950""","""Bethany""",7.00,23177.00,8048.00,6.2
"""4106400""","""Biggs Junction""",0.00,2.21,1.10,0.0
"""4106650""","""Black Butte Ranch""",0.11,32.64,23.63,0.0
"""4106950""","""Blodgett""",0.01,6.27,2.48,0.0
"""4107200""","""Boardman""",1.60,2160.22,704.49,0.0
"""4107300""","""Bonanza""",0.00,5.19,1.88,0.3
"""4108600""","""Brogan""",0.00,5.76,0.53,0.3
"""4108650""","""Brookings""",2.97,4302.29,1977.66,0.8
"""4108750""","""Brooks""",0.02,44.15,15.41,1.4
"""4109050""","""Brownsville""",0.07,145.95,55.30,0.0
"""4109535""","""Bull Mountain""",1.95,6024.32,2005.77,1.6
"""4109600""","""Bunker Hill""",1.40,988.20,432.11,1.2
"""4109800""","""Burns""",0.33,306.11,144.10,0.5
"""4110050""","""Butte Falls""",0.00,1.26,0.51,0.0
"""4110100""","""Butteville""",0.07,81.14,33.27,0.0
"""4110550""","""Camp Sherman""",0.01,4.06,1.83,0.0
"""4110750""","""Canby""",7.77,14047.28,4956.99,2.8
"""4110850""","""Cannon Beach""",0.42,305.33,138.84,2.8
"""4110950""","""Canyon City""",0.04,42.27,16.33,0.4
"""4111000""","""Canyonville""",0.27,467.43,169.65,1.3
"""4111050""","""Cape Meares""",0.20,164.84,55.28,1.4
"""4111150""","""Carlton""",0.05,118.67,39.57,0.7
"""4111600""","""Cascade Locks""",0.02,29.01,12.53,0.5
"""4111700""","""Cascadia""",0.01,9.24,3.35,0.2
"""4111850""","""Cave Junction""",0.75,1108.25,471.12,1.0
"""4111900""","""Cayuse""",0.02,17.17,5.97,0.6
"""4112050""","""Cedar Hills""",5.75,8569.64,3436.20,9.0
"""4112150""","""Cedar Mill""",8.23,15756.54,5590.10,5.9
"""4112400""","""Central Point""",7.31,12018.59,4855.26,3.4
"""4112800""","""Chenoweth""",1.58,2599.98,979.79,0.2
"""4113050""","""Chiloquin""",0.01,21.36,9.50,0.5
"""4113750""","""Clatskanie""",0.14,159.58,63.53,0.7
"""4114200""","""Cloverdale""",0.02,12.31,5.88,0.6
"""4114400""","""Coburg""",0.28,388.92,143.34,2.1
"""4114750""","""Columbia City""",0.14,472.86,189.48,1.5
"""4115000""","""Condon""",0.00,1.05,0.48,0.0
"""4115250""","""Coos Bay""",14.43,14324.66,6083.57,1.6
"""4115350""","""Coquille""",2.46,2056.50,889.98,0.8
"""4115550""","""Cornelius""",2.57,5072.08,1461.71,6.4
"""4115800""","""Corvallis""",32.65,44159.27,17086.69,4.5
"""4115950""","""Cottage Grove""",5.28,7078.19,2923.71,2.3
"""4116250""","""Cove""",0.01,18.53,6.68,0.0
"""4116350""","""Crabtree""",0.06,108.23,39.92,0.0
"""4116450""","""Crane""",0.00,3.70,1.46,0.3
"""4116650""","""Crawfordsville""",0.02,36.44,13.85,0.0
"""4116950""","""Creswell""",1.04,2067.43,820.19,1.3
"""4117300""","""Culver""",0.02,46.09,14.14,0.6
"""4117700""","""Dallas""",6.86,10458.76,3950.66,1.8
"""4117800""","""Damascus""",4.36,9660.48,3314.07,2.1
"""4118150""","""Days Creek""",0.03,27.65,12.68,0.0
"""4118250""","""Dayton""",0.16,487.27,134.69,1.3
"""4118300""","""Dayville""",0.00,0.30,0.13,0.3
"""4118450""","""Deer Island""",0.01,19.80,7.53,0.5
"""4118850""","""Depoe Bay""",0.08,139.94,68.43,0.8
"""4119020""","""Deschutes River Woods""",1.13,2596.00,914.67,1.8
"""4119100""","""Detroit""",0.00,0.62,0.28,0.0
"""4119600""","""Dillard""",0.13,189.13,67.42,1.3
"""4120100""","""Donald""",0.04,56.47,20.34,0.0
"""4120500""","""Drain""",0.00,3.74,1.62,0.0
"""4120900""","""Dufur""",0.00,2.40,0.95,0.1
"""4121050""","""Dundee""",0.68,1619.81,571.27,1.4
"""4121150""","""Dunes City""",0.54,669.38,298.48,0.0
"""4121250""","""Durham""",0.93,718.73,281.75,8.4
"""4121450""","""Eagle Crest""",0.24,775.25,345.92,0.4
"""4121550""","""Eagle Point""",1.06,4678.39,1861.73,0.1
"""4122200""","""Echo""",0.02,16.35,6.08,0.5
"""4122550""","""Elgin""",0.40,349.69,153.68,0.5
"""4122800""","""Elkton""",0.00,1.05,0.47,0.0
"""4123500""","""Enterprise""",0.08,93.31,40.98,0.8
"""4123550""","""Eola""",0.01,25.72,9.79,2.3
"""4123800""","""Estacada""",0.97,1712.30,690.30,4.1
"""4123850""","""Eugene""",102.64,150870.03,62749.55,5.9
"""4124100""","""Fair Oaks""",0.01,7.40,3.66,0.0
"""4124250""","""Fairview""",2.72,5752.55,2285.57,8.0
"""4124550""","""Falls City""",0.08,125.98,44.84,0.0
"""4126050""","""Florence""",5.94,7481.75,3803.89,1.7
"""4126165""","""Foots Creek""",0.25,355.71,157.59,0.0
"""4126200""","""Forest Grove""",7.95,14447.59,4895.52,5.1
"""4126400""","""Fort Hill""",0.03,49.76,18.27,0.8
"""4126650""","""Fossil""",0.00,1.08,0.50,0.0
"""4126750""","""Four Corners""",8.59,14782.35,4772.97,6.8
"""4127825""","""Garden Home-Whitford""",4.86,6389.53,2733.48,6.8
"""4127850""","""Gardiner""",0.00,1.70,0.78,0.0
"""4128000""","""Garibaldi""",0.22,197.43,81.42,1.0
"""4128100""","""Gaston""",0.02,28.37,10.05,0.7
"""4128200""","""Gates""",0.01,5.32,2.68,0.5
"""4128450""","""Gearhart""",0.83,745.30,340.75,1.7
"""4128650""","""Gervais""",0.10,278.98,66.31,1.4
"""4129000""","""Gladstone""",5.61,11393.74,4452.37,7.9
"""4129100""","""Glasgow""",0.13,90.56,44.18,0.0
"""4129350""","""Glendale""",0.19,113.43,52.48,0.0
"""4129750""","""Glide""",0.38,469.60,183.28,0.0
"""4129900""","""Gold Beach""",0.09,143.10,69.87,0.4
"""4129950""","""Gold Hill""",0.01,33.63,13.14,0.4
"""4130165""","""Gopher Flats""",0.03,57.64,20.20,1.0
"""4130250""","""Government Camp""",0.01,3.68,1.62,0.9
"""4130300""","""Grand Ronde""",0.20,378.25,145.07,0.8
"""4130500""","""Granite""",0.00,0.19,0.08,0.4
"""4130550""","""Grants Pass""",17.85,28040.57,11619.21,2.7
"""4130650""","""Grass Valley""",0.00,0.87,0.40,0.0
"""4130750""","""Green""",3.01,7323.97,2758.76,2.0
"""4131050""","""Greenhorn""",0.00,0.09,0.04,0.3
