place,name,blkgrps,population,households,alltransit_performance_score
"""4200100""","""Aaronsburg""",0.02,22.92,8.48,0.0
"""4200104""","""Aaronsburg""",0.79,502.31,209.62,0.0
"""4200116""","""Abbottstown""",0.20,276.04,96.74,0.0
"""4200244""","""Ackermanville""",0.24,571.42,198.55,0.1
"""4200332""","""Adamsburg""",0.09,158.51,64.71,2.7
"""4200364""","""Adamstown""",1.00,2200.80,783.93,0.0
"""4200372""","""Adamsville""",0.01,12.48,4.51,0.0
"""4200396""","""Addison""",0.01,10.65,4.82,0.0
"""4200540""","""Akron""",3.99,3968.62,1617.27,2.6
"""4200572""","""Alba""",0.04,46.31,16.55,0.5
"""4200628""","""Albion""",2.00,1534.00,664.00,0.7
"""4200652""","""Albrightsville""",0.03,35.19,15.42,0.0
"""4200660""","""Alburtis""",1.00,2495.00,932.00,0.0
"""4200676""","""Aldan""",4.00,4162.00,1736.00,8.4
"""4200756""","""Alexandria""",0.01,13.73,5.47,0.0
"""4200764""","""Alfarata""",0.04,61.51,24.30,0.0
"""4200820""","""Aliquippa""",10.00,9173.00,4324.00,3.3
"""4200924""","""Alleghenyville""",0.30,698.81,260.11,0.0
"""4200980""","""Allenport""",0.14,147.57,60.63,0.0
"""4200988""","""Allenport""",0.94,611.32,273.61,2.6
"""4201004""","""Allensville""",0.08,146.23,43.74,0.0
"""4202000""","""Allentown""",86.00,120125.01,41933.93,6.0
"""4202016""","""Allenwood""",0.05,65.73,21.86,0.0
"""4202040""","""Allison""",0.15,170.88,76.15,1.3
"""4202056""","""Allison Park""",11.84,20550.79,8116.09,1.8
"""4202072""","""Allport""",0.08,106.06,39.87,0.0
"""4202088""","""Almedia""",0.39,709.81,334.10,0.0
"""4202128""","""Alsace Manor""",0.21,196.29,71.96,0.0
"""4202144""","""Altamont""",0.96,494.77,241.30,2.5
"""4202184""","""Altoona""",47.34,44213.52,18615.34,0.5
"""4202264""","""Ambler""",6.00,6525.00,2650.00,6.6
"""4202288""","""Ambridge""",6.00,6853.00,3106.00,5.8
"""4202349""","""Amity Gardens""",2.06,3134.16,1116.75,0.0
"""4202416""","""Ancient Oaks""",2.17,6931.31,2563.96,0.6
"""4202608""","""Annville""",3.00,4881.00,1504.00,2.1
"""4202720""","""Apollo""",2.00,1451.00,657.00,0.6
"""4202752""","""Applewold""",0.03,32.52,12.82,0.0
"""4202826""","""Arcadia University""",0.24,455.63,100.28,7.4
"""4202832""","""Archbald""",5.00,7004.00,3014.00,2.2
"""4202896""","""Ardmore""",13.76,12974.80,5617.07,8.5
"""4202928""","""Arendtsville""",0.42,381.25,129.19,0.0
"""4202968""","""Aristes""",0.02,13.13,6.08,0.1
"""4203008""","""Arlington Heights""",3.07,5047.55,1932.79,2.5
"""4203032""","""Armagh""",0.00,4.31,2.07,0.8
"""4203088""","""Arnold""",4.00,4980.00,2426.00,2.4
"""4203096""","""Arnold City""",0.35,589.15,251.99,0.1
"""4203104""","""Arnot""",0.04,51.79,20.15,0.6
"""4203120""","""Arona""",0.10,96.77,42.11,0.3
"""4203264""","""Ashland""",3.00,2731.47,1349.22,0.8
"""4203272""","""Ashley""",3.00,2737.00,1145.00,2.3
"""4203296""","""Ashville""",0.01,4.79,1.99,0.0
"""4203312""","""Aspers""",0.05,108.99,38.12,0.0
"""4203320""","""Aspinwall""",3.00,2769.00,1269.00,6.9
"""4203384""","""Atglen""",1.00,1513.00,518.00,0.0
"""4203392""","""Athens""",4.00,3263.00,1326.00,0.6
"""4203424""","""Atkinson Mills""",0.07,68.65,24.96,0.0
"""4203440""","""Atlantic""",0.01,10.30,3.72,0.0
"""4203464""","""Atlas""",0.02,37.07,15.71,0.0
"""4203472""","""Atlasburg""",0.07,103.32,38.00,0.0
"""4203480""","""Atwood""",0.16,174.89,59.12,0.3
"""4203488""","""Auburn""",0.95,767.17,318.92,0.0
"""4203544""","""Audubon""",3.47,7796.48,3034.54,3.7
"""4203576""","""Austin""",0.09,68.12,25.60,0.0
"""4203608""","""Avalon""",5.00,4642.00,2515.00,7.5
"""4203616""","""Avella""",0.03,56.86,22.59,0.0
"""4203632""","""Avis""",2.00,1423.00,599.00,0.0
"""4203640""","""Avoca""",4.00,2636.00,1065.00,3.3
"""4203648""","""Avon""",2.16,1643.77,640.42,2.7
"""4203656""","""Avondale""",1.00,1556.00,425.00,1.3
"""4203676""","""Avonia""",0.92,1190.38,423.43,0.4
"""4203688""","""Avonmore""",0.11,214.25,91.19,0.7
"""4203736""","""Baden""",4.00,4033.00,1857.00,3.2
"""4203768""","""Baidland""",0.46,611.99,247.70,2.0
"""4203792""","""Baileyville""",0.07,228.53,83.97,1.9
"""4203800""","""Bainbridge""",0.35,663.82,232.60,0.0
"""4203816""","""Bairdford""",0.43,559.41,213.19,0.0
"""4203864""","""Bakerstown""",1.03,1407.60,618.81,0.0
"""4203928""","""Baldwin""",18.00,19743.00,8217.00,4.8
"""4203984""","""Bally""",1.00,1106.00,443.00,0.0
"""4204032""","""Bangor""",4.00,5217.00,2014.00,2.1
"""4204136""","""Barkeyville""",0.09,151.73,55.07,0.0
"""4204344""","""Barrville""",0.03,103.74,38.23,0.0
"""4204432""","""Bath""",2.00,2665.00,1014.00,0.0
"""4204488""","""Baumstown""",0.31,718.98,292.23,2.3
