place,name,blkgrps,population,households,alltransit_performance_score
"""4403520""","""Ashaway""",0.98,837.11,353.63,0.8
"""4408020""","""Bradford""",0.80,1178.06,373.28,0.0
"""4412340""","""Carolina""",0.24,486.86,176.61,0.0
"""4414140""","""Central Falls""",11.00,19395.00,6310.00,5.4
"""4414320""","""Charlestown""",2.20,1046.87,506.98,0.0
"""4414860""","""Chepachet""",0.93,1294.08,429.93,1.2
"""4415940""","""Clayville""",0.13,159.01,61.82,0.0
"""4419180""","""Cranston""",64.00,80979.00,30515.00,4.9
"""4420260""","""Cumberland Hill""",3.98,7142.52,2798.42,0.2
"""4422960""","""East Providence""",43.00,47425.00,19913.00,5.1
"""4427640""","""Foster Center""",0.17,199.66,76.20,0.0
"""4431240""","""Greene""",0.28,514.89,193.95,0.0
"""4431600""","""Greenville""",5.00,8388.00,3264.00,1.7
"""4433040""","""Harmony""",0.62,1135.70,427.51,1.4
"""4433400""","""Harrisville""",1.01,1325.60,602.00,2.1
"""4434660""","""Hope Valley""",0.58,1267.85,434.04,0.0
"""4435200""","""Hopkinton""",0.24,405.62,189.60,0.6
"""4438980""","""Kingston""",0.64,2506.32,412.45,3.9
"""4445010""","""Melville""",3.51,1337.82,503.71,4.0
"""4446000""","""Misquamicut""",1.69,397.80,208.11,0.0
"""4448700""","""Narragansett Pier""",2.76,3610.58,1766.52,3.3
"""4449960""","""Newport""",23.00,24745.00,10523.00,5.1
"""4450140""","""Newport East""",6.81,11328.32,4958.52,4.2
"""4454460""","""Pascoag""",3.35,4547.82,1542.20,1.3
"""4454640""","""Pawtucket""",64.00,71770.00,27635.00,6.4
"""4459000""","""Providence""",154.00,179509.00,62057.00,7.4
"""4460260""","""Quonochontaug""",0.77,261.82,117.77,0.0
"""4470700""","""Tiverton""",4.00,7727.00,3459.00,1.0
"""4472500""","""Valley Falls""",9.10,11882.79,4616.31,2.7
"""4473130""","""Wakefield-Peacedale""",5.51,8938.84,3382.36,3.0
"""4474300""","""Warwick""",72.00,81218.00,34904.00,4.0
"""4475200""","""Watch Hill""",0.42,143.74,57.92,0.0
"""4475920""","""Weekapaug""",1.13,453.42,210.93,0.0
"""4476820""","""Westerly""",12.00,17323.00,7664.00,1.5
"""4480780""","""Woonsocket""",36.00,41508.00,17054.00,3.8
"""4480960""","""Wyoming""",0.12,159.23,73.28,0.6
