place,name,blkgrps,population,households,alltransit_performance_score
"""4500100""","""Abbeville""",2.06,2475.83,958.38,0.0
"""4500550""","""Aiken""",17.25,23395.02,10205.65,0.0
"""4500775""","""Alcolu""",0.12,147.52,59.13,0.0
"""4500955""","""Allendale""",1.57,891.85,441.59,0.0
"""4501360""","""Anderson""",18.35,23649.79,9958.97,2.3
"""4501450""","""Andrews""",1.08,1181.98,431.16,0.6
"""4501810""","""Antreville""",0.12,138.22,59.19,0.0
"""4502080""","""Arcadia""",1.09,4324.50,1399.88,1.9
"""4502125""","""Arcadia Lakes""",0.87,1050.10,481.93,4.6
"""4502440""","""Arial""",2.07,2782.76,1157.69,0.0
"""4503205""","""Atlantic Beach""",0.22,256.60,133.11,0.0
"""4503385""","""Awendaw""",0.18,208.40,81.07,0.0
"""4503430""","""Aynor""",0.15,201.32,72.07,0.0
"""4503790""","""Bamberg""",0.61,489.10,208.79,0.0
"""4504060""","""Barnwell""",3.08,2595.57,985.84,0.0
"""4504300""","""Batesburg-Leesville""",2.84,2725.22,1060.42,0.0
"""4504690""","""Beaufort""",12.24,16268.97,5964.02,0.0
"""4505365""","""Belton""",2.31,2083.82,926.90,0.0
"""4505410""","""Belvedere""",3.03,3865.48,1632.07,0.0
"""4505680""","""Bennettsville""",5.80,5681.37,2306.53,0.0
"""4505770""","""Berea""",8.00,14966.00,5700.00,2.4
"""4506040""","""Bethune""",0.04,26.43,14.17,0.0
"""4506310""","""Bishopville""",0.47,690.09,194.16,0.0
"""4506400""","""Blacksburg""",0.16,242.99,94.13,0.0
"""4506490""","""Blackville""",0.77,585.17,262.03,0.0
"""4506850""","""Blenheim""",0.01,8.28,2.88,0.0
"""4507210""","""Bluffton""",9.13,21023.33,7301.84,0.0
"""4507255""","""Blythewood""",0.52,2872.61,1028.01,1.4
"""4507345""","""Boiling Springs""",3.31,8771.20,3440.80,0.0
"""4507525""","""Bonneau""",0.27,688.66,218.60,0.0
"""4507535""","""Bonneau Beach""",0.29,903.34,291.19,0.0
"""4507840""","""Bowman""",0.61,350.77,169.46,0.0
"""4508110""","""Boykin""",0.19,188.24,72.59,0.0
"""4508155""","""Bradley""",0.09,174.24,64.78,0.0
"""4508245""","""Branchville""",0.10,108.97,35.08,0.0
"""4508830""","""Briarcliffe Acres""",0.28,299.39,145.01,0.0
"""4509527""","""Brookdale""",2.51,3421.91,1163.31,0.0
"""4509865""","""Brunson""",0.02,25.10,9.20,0.0
"""4510000""","""Bucksport""",0.15,352.01,140.48,0.4
"""4510090""","""Buffalo""",0.44,527.40,224.10,0.0
"""4510270""","""Burnettown""",2.30,2870.68,1152.69,0.0
"""4510360""","""Burton""",2.43,8170.55,2842.35,0.0
"""4510720""","""Calhoun Falls""",0.17,140.08,50.50,0.0
"""4510855""","""Camden""",6.47,6450.55,2714.91,0.4
"""4510900""","""Cameron""",0.16,98.75,41.38,0.0
"""4511125""","""Campobello""",0.68,703.02,288.48,0.0
"""4511350""","""Cane Savannah""",1.06,2725.45,1068.03,0.4
"""4511755""","""Carlisle""",0.03,18.77,8.70,0.0
"""4512430""","""Catawba""",1.21,2105.21,876.54,0.0
"""4512655""","""Cayce""",11.42,14804.19,6156.92,1.6
"""4512965""","""Centerville""",2.70,5606.77,2384.09,0.3
"""4513015""","""Central""",1.98,2368.72,1068.67,3.6
"""4513060""","""Central Pacolet""",0.03,63.61,25.33,0.0
"""4513150""","""Chapin""",0.34,714.96,281.76,0.0
"""4513330""","""Charleston""",83.41,126599.89,51020.20,3.2
"""4513600""","""Cheraw""",3.50,4494.11,1741.66,0.0
"""4514018""","""Cherryvale""",0.88,1477.71,480.49,1.1
"""4514050""","""Chesnee""",0.78,606.89,249.25,0.0
"""4514095""","""Chester""",6.79,4793.43,2036.84,0.0
"""4514140""","""Chesterfield""",0.24,275.98,122.21,0.0
"""4514455""","""City View""",1.53,1695.19,559.98,3.4
"""4514590""","""Clarks Hill""",0.05,70.29,29.30,0.0
"""4514860""","""Clearwater""",2.48,4066.20,1569.59,0.0
"""4514950""","""Clemson""",7.25,11933.16,4606.37,3.5
"""4515220""","""Clifton""",0.35,397.46,175.20,0.0
"""4515295""","""Clinton""",5.49,5328.28,1844.53,0.0
"""4515310""","""Clio""",0.03,29.39,11.28,0.0
"""4515355""","""Clover""",1.35,2485.94,852.36,0.0
"""4515625""","""Cokesbury""",0.05,86.02,33.31,0.0
"""4516000""","""Columbia""",105.67,133751.15,46396.09,5.2
"""4516360""","""Converse""",0.23,514.67,181.65,0.6
"""4516405""","""Conway""",6.84,16195.12,5858.96,1.2
"""4516720""","""Cope""",0.01,8.04,3.20,0.0
"""4516855""","""Cordova""",0.08,92.96,30.13,0.0
"""4516945""","""Coronaca""",0.15,259.63,99.17,0.0
"""4516990""","""Cottageville""",0.09,169.10,65.38,0.0
"""4517215""","""Coward""",0.19,222.99,90.50,0.0
"""4517260""","""Cowpens""",0.95,910.85,393.17,0.0
"""4517845""","""Cross Anchor""",0.02,43.53,14.97,0.0
"""4517890""","""Cross Hill""",0.19,267.40,107.23,0.0
