place,name,blkgrps,population,households,alltransit_performance_score
"""4600100""","""Aberdeen""",19.51,23010.43,10165.31,0.0
"""4600460""","""Agar""",0.00,0.14,0.06,0.0
"""4600520""","""Agency Village""",0.06,85.19,22.00,0.0
"""4600540""","""Akaska""",0.00,1.08,0.42,0.0
"""4600620""","""Albee""",0.00,0.62,0.25,0.0
"""4600700""","""Alcester""",0.08,90.88,40.10,0.0
"""4600820""","""Alexandria""",0.01,6.20,2.09,0.0
"""4600900""","""Allen""",0.01,5.03,1.22,0.0
"""4601020""","""Alpena""",0.00,3.84,1.54,0.0
"""4601140""","""Altamont""",0.01,3.95,1.83,0.0
"""4601450""","""Anderson""",0.14,345.29,117.12,1.1
"""4601500""","""Andover""",0.00,0.89,0.41,0.0
"""4601740""","""Antelope""",0.03,41.39,12.78,0.0
"""4602180""","""Arlington""",0.02,13.09,6.06,0.0
"""4602260""","""Armour""",1.00,802.92,375.38,0.0
"""4602340""","""Artas""",0.00,0.20,0.09,0.0
"""4602380""","""Artesian""",0.00,1.27,0.56,0.0
"""4602530""","""Ashland Heights""",0.65,484.66,241.36,0.0
"""4602540""","""Ashton""",0.00,1.32,0.51,0.0
"""4602580""","""Astoria""",0.00,1.39,0.53,0.0
"""4602780""","""Aurora""",0.01,6.88,2.83,0.0
"""4602860""","""Aurora Center""",0.00,0.19,0.09,0.0
"""4602900""","""Avon""",0.00,4.62,1.85,0.0
"""4603060""","""Badger""",0.01,7.01,2.85,0.0
"""4603380""","""Baltic""",0.02,32.91,11.42,0.0
"""4603420""","""Bancroft""",0.00,0.55,0.25,0.0
"""4603860""","""Batesland""",0.00,0.53,0.12,0.0
"""4603900""","""Bath""",0.00,1.93,0.77,0.0
"""4603960""","""Bath Corner""",0.00,1.15,0.46,0.0
"""4604380""","""Belle Fourche""",2.97,4084.36,1693.95,0.0
"""4604620""","""Belvidere""",0.00,0.37,0.18,0.0
"""4604980""","""Beresford""",0.03,44.32,18.69,0.0
"""4605540""","""Big Stone City""",0.08,50.28,25.44,0.0
"""4605580""","""Bijou Hills""",0.01,14.24,4.14,0.0
"""4605620""","""Bison""",0.00,0.68,0.26,0.0
"""4605780""","""Blackhawk""",0.74,1876.86,793.96,0.0
"""4606120""","""Blucksberg Mountain""",0.00,4.84,1.87,0.0
"""4606180""","""Blunt""",0.00,4.83,1.74,0.0
"""4606220""","""Bonesteel""",0.00,1.42,0.62,0.0
"""4606540""","""Bowdle""",0.00,3.05,1.18,0.0
"""4606620""","""Box Elder""",3.35,4587.71,1519.22,0.0
"""4606660""","""Bradley""",0.00,0.38,0.15,0.0
"""4606840""","""Brandon""",4.03,5526.89,2041.82,0.0
"""4606940""","""Brandt""",0.01,11.24,4.29,0.0
"""4607040""","""Brant Lake""",0.00,2.17,0.91,0.0
"""4607044""","""Brant Lake South""",0.01,7.35,3.09,0.0
"""4607060""","""Brentford""",0.00,0.24,0.10,0.0
"""4607180""","""Bridgewater""",0.02,10.17,4.37,0.0
"""4607300""","""Bristol""",0.00,1.75,0.81,0.0
"""4607380""","""Britton""",0.03,57.52,22.17,0.0
"""4607420""","""Broadland""",0.00,3.02,1.21,0.0
"""4607580""","""Brookings""",10.05,16611.83,6083.38,0.0
"""4607740""","""Bruce""",0.00,2.14,0.93,0.0
"""4608060""","""Bryant""",0.00,4.64,1.44,0.0
"""4608140""","""Buffalo""",0.00,0.26,0.11,0.0
"""4608330""","""Buffalo Chip""",0.00,3.76,1.47,0.0
"""4608340""","""Buffalo Gap""",0.00,0.81,0.38,0.0
"""4608460""","""Bullhead""",0.00,4.28,1.07,0.0
"""4608700""","""Burke""",0.00,1.69,0.80,0.0
"""4608820""","""Bushnell""",0.01,5.76,1.71,0.0
"""4608860""","""Butler""",0.00,0.56,0.23,0.0
"""4609260""","""Camp Crook""",0.00,0.07,0.03,0.0
"""4609300""","""Canistota""",0.02,13.94,6.15,0.0
"""4609420""","""Canova""",0.00,0.82,0.35,0.0
"""4609500""","""Canton""",0.39,518.17,179.50,0.0
"""4609780""","""Caputa""",0.00,3.55,1.21,0.0
"""4610220""","""Carthage""",0.00,2.68,1.29,0.0
"""4610500""","""Castlewood""",0.01,14.03,5.63,0.0
"""4610620""","""Cavour""",0.00,1.31,0.51,0.0
"""4611060""","""Centerville""",0.01,16.23,7.15,0.0
"""4611140""","""Central City""",0.01,7.81,3.71,0.0
"""4611220""","""Chamberlain""",1.33,1120.79,504.68,0.0
"""4611380""","""Chancellor""",0.00,6.80,2.78,0.0
"""4611500""","""Chelsea""",0.00,0.64,0.21,0.0
"""4611660""","""Chester""",0.01,11.42,4.80,0.0
"""4612020""","""Claire City""",0.00,0.75,0.29,0.0
"""4612100""","""Claremont""",0.00,0.83,0.37,0.0
"""4612180""","""Clark""",0.18,127.96,62.29,0.0
"""4612540""","""Clear Lake""",0.13,184.89,81.91,0.0
"""4613220""","""Colman""",0.02,28.13,11.99,0.0
"""4613300""","""Colome""",0.00,0.42,0.18,0.0
"""4613355""","""Colonial Pine Hills""",1.29,4453.20,1759.06,0.1
"""4613380""","""Colton""",0.17,124.42,51.83,0.0
"""4613420""","""Columbia""",0.01,5.34,2.35,0.0
"""4613700""","""Conde""",0.00,0.82,0.35,0.0
"""4613840""","""Corn Creek""",0.00,3.37,0.99,0.0
"""4613940""","""Corona""",0.00,2.80,1.23,0.0
"""4613980""","""Corsica""",0.01,5.38,2.26,0.0
"""4614220""","""Cottonwood""",0.00,0.44,0.22,0.0
"""4614320""","""Cow Creek""",0.00,1.25,0.55,0.0
"""4614580""","""Cresbard""",0.00,0.85,0.28,0.0
"""4614660""","""Crocker""",0.01,6.17,2.39,0.0
"""4614740""","""Crooks""",0.03,54.08,16.79,0.0
"""4615140""","""Custer""",0.18,168.94,75.99,0.0
"""4615256""","""Dakota Dunes""",0.30,1097.65,452.10,1.1
"""4615300""","""Dallas""",0.00,1.68,0.78,0.0
"""4615420""","""Dante""",0.00,2.31,0.71,0.0
"""4615540""","""Davis""",0.00,4.37,1.83,0.0
"""4615700""","""Deadwood""",0.49,403.27,202.64,0.0
"""4615980""","""Dell Rapids""",0.16,386.75,144.62,0.0
"""4616060""","""Delmont""",0.00,2.89,1.21,0.0
"""4616260""","""De Smet""",0.03,45.18,20.51,0.0
"""4616620""","""Dimock""",0.00,0.83,0.27,0.0
"""4616820""","""Doland""",0.00,1.80,0.63,0.0
"""4616860""","""Dolton""",0.00,2.00,0.76,0.0
"""4617020""","""Draper""",0.00,0.50,0.27,0.0
"""4617420""","""Dupree""",0.00,0.47,0.14,0.0
"""4617620""","""Eagle Butte""",0.10,100.04,26.74,0.0
"""4618180""","""Eden""",0.00,0.41,0.16,0.0
"""4618300""","""Edgemont""",0.00,1.30,0.57,0.0
"""4618460""","""Egan""",0.04,49.22,21.26,0.0
"""4618620""","""Elk Point""",1.10,1469.77,567.33,0.0
"""4618700""","""Elkton""",0.04,33.66,12.21,0.0
"""4619420""","""Emery""",0.00,3.50,1.04,0.0
"""4619860""","""Erwin""",0.00,2.31,1.06,0.0
"""4619980""","""Estelline""",0.01,14.22,5.92,0.0
"""4620060""","""Ethan""",0.00,4.22,1.73,0.0
"""4620180""","""Eureka""",0.10,92.98,50.47,0.0
"""4620340""","""Fairburn""",0.00,0.87,0.41,0.0
"""4620380""","""Fairfax""",0.00,1.21,0.53,0.0
"""4620780""","""Fairview""",0.00,1.32,0.46,0.0
"""4620980""","""Faith""",0.00,1.15,0.42,0.0
"""4621060""","""Farmer""",0.00,0.64,0.19,0.0
"""4621260""","""Faulkton""",0.03,28.05,13.02,0.0
"""4621340""","""Fedora""",0.01,7.83,3.44,0.0
"""4621380""","""Ferney""",0.00,2.00,0.83,0.0
"""4621540""","""Flandreau""",0.87,638.41,264.74,0.0
"""4621820""","""Florence""",0.00,4.62,1.74,0.0
"""4622100""","""Forestburg""",0.00,1.79,0.80,0.0
"""4622260""","""Fort Pierre""",0.41,981.23,426.55,0.0
"""4622340""","""Fort Thompson""",0.04,34.78,9.48,0.0
"""4622580""","""Frankfort""",0.00,2.41,0.84,0.0
"""4622860""","""Frederick""",0.00,0.70,0.31,0.0
"""4623020""","""Freeman""",0.13,176.87,74.14,0.0
"""4623140""","""Fruitdale""",0.00,2.81,1.00,0.0
"""4623220""","""Fulton""",0.00,5.73,1.73,0.0
"""4623421""","""Gann Valley""",0.00,0.20,0.06,0.0
"""4623460""","""Garden City""",0.00,0.90,0.34,0.0
"""4623820""","""Garretson""",0.01,31.47,11.74,0.0
"""4623860""","""Gary""",0.00,2.45,1.10,0.0
"""4623900""","""Gayville""",0.01,5.49,2.22,0.0
"""4623980""","""Geddes""",0.00,1.73,0.71,0.0
"""4624260""","""Gettysburg""",0.35,445.02,190.55,0.0
"""4624620""","""Glenham""",0.00,0.58,0.22,0.0
"""4624775""","""Goodwill""",0.01,11.44,2.95,0.0
"""4624820""","""Goodwin""",0.00,1.48,0.69,0.0
"""4625900""","""Green Grass""",0.04,23.10,6.31,0.0
"""4626035""","""Green Valley""",1.00,1044.00,434.00,0.0
"""4626180""","""Gregory""",0.05,46.60,21.82,0.0
"""4626220""","""Grenville""",0.00,0.94,0.43,0.0
"""4626340""","""Groton""",0.22,431.54,156.14,0.0
"""4626660""","""Hamill""",0.00,1.94,0.81,0.0
"""4627260""","""Harrisburg""",1.12,2572.12,794.42,0.0
"""4627300""","""Harrison""",0.00,0.76,0.32,0.0
"""4627420""","""Harrold""",0.00,0.39,0.17,0.0
"""4627540""","""Hartford""",0.23,765.42,268.28,0.0
