place,name,blkgrps,population,households,alltransit_performance_score
"""4700200""","""Adams""",0.07,155.28,49.80,0.0
"""4700240""","""Adamsville""",0.52,629.97,244.53,0.0
"""4700440""","""Alamo""",0.60,567.70,189.39,0.0
"""4700540""","""Alcoa""",8.07,11712.57,4897.41,0.0
"""4700620""","""Alexandria""",0.18,290.51,122.45,0.0
"""4700640""","""Algood""",0.57,1173.00,492.83,0.0
"""4700660""","""Allardt""",0.12,223.68,101.08,0.0
"""4700940""","""Altamont""",0.27,437.29,154.17,0.0
"""4701220""","""Andersonville""",0.08,204.11,74.66,0.0
"""4701480""","""Apison""",1.96,3120.38,1127.58,0.0
"""4701640""","""Ardmore""",0.20,343.72,133.10,0.0
"""4701740""","""Arlington""",1.73,12286.96,3681.84,0.0
"""4702180""","""Ashland City""",1.70,3374.11,1326.07,0.0
"""4702320""","""Athens""",8.36,10200.97,4162.63,0.0
"""4702340""","""Atoka""",1.59,7558.28,2575.33,0.0
"""4702380""","""Atwood""",0.07,90.04,41.37,0.0
"""4702400""","""Auburntown""",0.02,22.01,8.97,0.0
"""4702780""","""Baileyton""",0.08,109.03,41.77,0.0
"""4703078""","""Baneberry""",0.19,491.85,210.47,0.0
"""4703120""","""Banner Hill""",0.75,1075.60,484.21,0.0
"""4703440""","""Bartlett""",27.92,58739.75,19924.46,1.0
"""4703680""","""Baxter""",0.72,788.68,312.31,0.0
"""4703760""","""Bean Station""",1.47,1825.25,839.98,0.0
"""4704240""","""Beersheba Springs""",0.08,82.70,29.34,0.0
"""4704460""","""Bell Buckle""",0.01,24.35,8.97,0.0
"""4704620""","""Belle Meade""",3.83,3087.63,1259.87,2.6
"""4704720""","""Bells""",0.32,583.24,195.90,0.0
"""4705040""","""Benton""",0.43,885.67,349.33,0.0
"""4705140""","""Berry Hill""",1.71,1219.85,670.15,5.1
"""4705380""","""Bethel Springs""",0.06,100.97,33.50,0.0
"""4705500""","""Bethpage""",0.05,94.93,31.28,0.0
"""4705860""","""Big Sandy""",0.01,24.13,10.08,0.0
"""4706340""","""Blaine""",0.65,1392.17,535.52,0.0
"""4706640""","""Bloomingdale""",7.28,9144.85,4053.98,0.4
"""4706740""","""Blountville""",1.58,1791.73,722.86,0.0
"""4706960""","""Bluff City""",0.60,1058.73,449.96,0.0
"""4707180""","""Bolivar""",1.47,1937.62,714.67,0.0
"""4707280""","""Bon Aqua Junction""",0.50,1111.19,401.70,0.0
"""4707620""","""Bowman""",0.13,364.69,156.27,0.0
"""4707840""","""Braden""",0.15,105.91,41.21,0.0
"""4707860""","""Bradford""",0.07,123.47,48.05,0.0
"""4708080""","""Bransford""",0.11,219.76,79.53,0.0
"""4708280""","""Brentwood""",15.89,40002.77,13080.71,0.1
"""4708500""","""Brighton""",0.36,769.05,258.20,0.0
"""4708540""","""Bristol""",20.89,26175.68,11286.35,1.9
"""4708920""","""Brownsville""",4.22,5277.33,2322.48,0.0
"""4708960""","""Bruceton""",0.20,328.30,126.60,0.0
"""4709560""","""Bulls Gap""",0.10,163.89,68.04,0.0
"""4709860""","""Burlison""",0.04,55.49,21.84,0.0
"""4709880""","""Burns""",0.48,733.83,261.75,0.0
"""4710180""","""Byrdstown""",0.29,280.44,110.47,0.0
"""4710440""","""Calhoun""",0.05,78.02,27.13,0.0
