place,name,blkgrps,population,households,alltransit_performance_score
"""4800100""","""Abbott""",0.01,9.15,3.53,0.0
"""4800160""","""Abernathy""",1.37,1695.95,611.76,0.0
"""4801000""","""Abilene""",103.24,113961.55,40831.03,2.3
"""4801060""","""Abram""",0.56,1678.70,419.35,0.4
"""4801108""","""Ackerly""",0.00,0.64,0.20,0.0
"""4801240""","""Addison""",10.85,17592.39,9616.78,5.9
"""4801324""","""Adrian""",0.00,0.36,0.08,0.0
"""4801390""","""Agua Dulce""",1.23,3044.43,653.79,0.0
"""4801396""","""Agua Dulce""",0.11,97.25,33.85,0.0
"""4801420""","""Aguilares""",0.00,0.49,0.14,0.0
"""4801500""","""Airport Heights""",0.00,0.65,0.16,0.0
"""4801514""","""Airport Road Addition""",0.01,20.29,4.24,0.0
"""4801576""","""Alamo""",11.37,17726.69,5156.84,0.0
"""4801600""","""Alamo Heights""",8.00,7982.00,3226.00,8.1
"""4801636""","""Alba""",0.03,90.04,33.01,0.0
"""4801648""","""Albany""",0.41,259.28,106.28,0.0
"""4801696""","""Aldine""",9.09,15623.31,4044.50,3.9
"""4801744""","""Aledo""",0.79,1468.18,452.21,0.0
"""4801816""","""Alfred""",0.02,75.39,24.08,0.0
"""4801852""","""Alice""",13.81,16075.12,5482.65,0.0
"""4801858""","""Alice Acres""",0.40,605.77,198.59,0.0
"""4801924""","""Allen""",38.32,93800.30,30650.12,0.5
"""4802044""","""Alma""",0.13,346.81,122.67,0.0
"""4802104""","""Alpine""",3.23,3829.52,1641.93,1.2
"""4802188""","""Alto""",0.03,33.02,12.19,0.0
"""4802194""","""Alto Bonito Heights""",0.00,2.49,0.51,0.0
"""4802212""","""Alton""",4.61,14636.89,3771.15,0.3
"""4802260""","""Alvarado""",1.25,2066.89,676.62,0.0
"""4802272""","""Alvin""",15.87,23709.22,8282.04,0.0
"""4802284""","""Alvord""",0.13,187.77,67.57,0.0
"""4802286""","""Amada Acres""",0.01,12.28,3.51,0.0
"""4802290""","""Amargosa""",0.01,7.92,2.49,0.0
"""4803000""","""Amarillo""",159.74,189994.91,71915.96,2.3
"""4803008""","""Amaya""",0.05,85.53,27.00,0.0
"""4803072""","""Ames""",0.19,287.57,106.06,0.6
"""4803084""","""Amherst""",0.00,3.68,1.26,0.0
"""4803096""","""Amistad""",0.00,0.30,0.12,0.0
"""4803126""","""Anacua""",0.01,14.88,3.71,0.0
"""4803144""","""Anahuac""",0.87,1495.31,487.89,0.0
"""4803192""","""Anderson""",0.01,6.72,2.56,0.0
"""4803216""","""Andrews""",9.00,12133.33,3740.04,0.0
"""4803264""","""Angleton""",12.65,16703.19,6350.66,0.0
"""4803288""","""Angus""",0.05,92.14,35.75,0.0
"""4803300""","""Anna""",1.62,7864.49,2365.53,0.0
"""4803336""","""Annetta""",0.34,1444.83,473.28,0.0
"""4803340""","""Annetta North""",0.40,1303.67,455.77,0.0
"""4803342""","""Annetta South""",0.14,579.50,189.61,0.0
"""4803360""","""Annona""",0.00,6.59,2.95,0.0
"""4803372""","""Anson""",0.65,484.26,199.36,0.0
"""4803432""","""Anthony""",2.05,4826.23,1129.47,0.9
"""4803540""","""Anton""",0.01,14.72,5.04,0.0
"""4803564""","""Appleby""",0.08,115.68,47.04,0.0
"""4803588""","""Aquilla""",0.00,8.16,2.86,0.0
"""4803600""","""Aransas Pass""",6.55,8682.62,3350.58,0.0
"""4803696""","""Archer City""",1.03,665.28,290.66,0.0
"""4803708""","""Arcola""",0.37,2823.60,798.99,0.3
"""4803768""","""Argyle""",0.63,4753.14,1589.01,0.0
"""4804000""","""Arlington""",220.51,385382.22,133671.92,0.1
"""4804156""","""Arp""",0.12,214.81,76.44,0.0
"""4804174""","""Arroyo Colorado Estates""",0.13,248.48,84.63,0.0
"""4804176""","""Arroyo Gardens""",0.19,528.05,131.50,0.0
"""4804300""","""Asherton""",0.62,471.02,189.25,0.0
"""4804408""","""Aspermont""",0.48,223.55,98.48,0.0
"""4804462""","""Atascocita""",16.14,68115.29,21400.60,0.0
"""4804504""","""Athens""",7.65,10309.27,3219.02,0.0
"""4804516""","""Atlanta""",5.37,4768.81,1978.14,0.0
"""4804600""","""Aubrey""",0.28,798.94,289.28,0.0
"""4804672""","""Aurora""",0.15,347.37,103.60,0.0
"""4805000""","""Austin""",494.03,900095.94,355808.78,5.2
"""4805036""","""Austwell""",0.00,0.88,0.34,0.0
"""4805072""","""Avery""",0.00,7.84,3.50,0.0
"""4805084""","""Avinger""",0.03,34.75,14.94,0.0
"""4805168""","""Azle""",6.34,10327.48,3725.79,0.0
"""4805180""","""Bacliff""",5.74,8418.34,2879.70,0.0
"""4805264""","""Bailey""",0.00,8.69,3.56,0.0
"""4805288""","""Bailey's Prairie""",0.28,409.75,140.90,0.0
