place,name,blkgrps,population,households,alltransit_performance_score
"""5100148""","""Abingdon""",3.99,5224.02,2393.38,0.0
"""5100180""","""Accomac""",0.02,20.95,7.16,0.0
"""5100468""","""Adwolf""",1.05,1222.17,512.59,0.0
"""5100724""","""Alberta""",0.05,67.51,24.12,0.0
"""5101000""","""Alexandria""",106.00,154710.00,68663.00,8.6
"""5101256""","""Allisonia""",0.09,62.91,25.82,0.0
"""5101528""","""Altavista""",2.93,3356.42,1445.31,0.0
"""5101640""","""Amelia Court House""",0.15,186.11,80.56,0.0
"""5101672""","""Amherst""",1.14,1878.36,593.66,0.4
"""5101912""","""Annandale""",23.00,44504.00,13950.00,7.0
"""5102040""","""Appalachia""",0.08,97.09,42.05,0.0
"""5102064""","""Apple Mountain Lake""",0.18,408.77,150.29,0.0
"""5102072""","""Appomattox""",1.13,1004.47,440.52,0.0
"""5102112""","""Aquia Harbour""",3.70,4721.99,1747.51,0.4
"""5102248""","""Arcola""",0.61,1886.61,708.54,2.8
"""5103000""","""Arlington""",181.00,229534.00,102310.00,8.9
"""5103208""","""Arrington""",0.16,303.58,118.71,0.0
"""5103320""","""Ashburn""",22.49,46946.73,16446.45,2.1
"""5103368""","""Ashland""",3.94,6159.97,2226.32,1.8
"""5103512""","""Atkins""",0.72,584.85,261.88,0.0
"""5103528""","""Atlantic""",0.21,507.33,213.67,0.0
"""5103608""","""Augusta Springs""",0.12,105.92,45.86,0.0
"""5104088""","""Bailey's Crossroads""",15.00,24642.78,9185.44,8.0
"""5104856""","""Baskerville""",0.06,48.68,18.16,0.0
"""5104872""","""Bassett""",0.64,814.01,356.16,0.0
"""5104920""","""Basye""",0.23,262.09,114.12,0.0
"""5105200""","""Bayside""",0.12,87.22,43.57,0.0
"""5105336""","""Bealeton""",0.81,1770.81,525.25,0.0
"""5105544""","""Bedford""",5.14,6534.47,2544.12,0.2
"""5105912""","""Belle Haven""",0.22,241.27,91.92,0.0
"""5105928""","""Belle Haven""",7.00,6918.00,3019.00,7.1
"""5106216""","""Bellwood""",4.53,6252.35,2445.57,0.1
"""5106275""","""Belmont""",2.58,5580.13,1608.27,1.5
"""5106336""","""Belmont Estates""",0.14,312.43,124.45,1.4
"""5106424""","""Belspring""",0.07,88.51,40.28,0.9
"""5106512""","""Belview""",0.21,304.76,118.47,0.0
"""5106712""","""Benns Church""",0.93,987.99,375.23,0.1
"""5106728""","""Bensley""",4.13,5584.73,1894.18,3.9
"""5106968""","""Berryville""",1.77,2415.03,878.73,0.0
"""5107160""","""Bethel Manor""",2.98,4345.90,1146.05,0.6
"""5107400""","""Big Island""",0.01,25.90,10.22,0.0
"""5107480""","""Big Stone Gap""",3.21,3627.97,1199.70,0.0
"""5107784""","""Blacksburg""",25.63,39344.76,11992.21,6.5
"""5107832""","""Blackstone""",1.15,1637.63,560.49,0.0
"""5107944""","""Blairs""",0.47,699.55,304.95,0.0
"""5107976""","""Bland""",0.03,50.13,15.24,0.0
"""5108120""","""Bloxom""",0.02,17.11,7.93,0.0
"""5108152""","""Bluefield""",2.06,2804.76,1156.62,0.0
"""5108200""","""Blue Ridge""",1.69,2865.96,1119.62,0.0
"""5108264""","""Blue Ridge Shores""",0.03,108.87,38.73,0.0
"""5108320""","""Bobtown""",0.37,453.86,171.16,0.0
"""5108472""","""Bon Air""",11.39,17104.90,6686.25,1.8
"""5108584""","""Boones Mill""",0.03,57.07,25.95,0.0
"""5108675""","""Boston""",0.08,136.56,46.67,0.0
"""5108708""","""Boswell's Corner""",0.70,1595.43,515.91,0.0
"""5108888""","""Bowling Green""",0.40,466.44,176.68,0.7
"""5108984""","""Boyce""",0.02,29.32,10.93,0.0
"""5109016""","""Boydton""",0.02,20.63,8.31,0.0
"""5109032""","""Boykins""",0.01,17.44,6.33,0.0
"""5109064""","""Bracey""",1.40,1125.30,493.63,0.0
"""5109188""","""Brambleton""",4.95,18500.22,5750.01,2.0
"""5109208""","""Branchville""",0.01,10.72,3.89,0.0
"""5109248""","""Brandermill""",7.13,14033.46,5623.78,0.3
"""5109656""","""Bridgewater""",1.99,3966.10,1362.90,0.0
"""5109752""","""Brightwood""",0.13,455.79,150.79,0.4
"""5109816""","""Bristol""",13.00,17077.00,7418.00,2.5
"""5109952""","""Broadlands""",6.42,13825.73,4101.60,0.4
"""5110040""","""Broadway""",0.27,670.19,269.58,0.0
"""5110072""","""Brodnax""",0.02,25.19,10.23,0.0
"""5110296""","""Brookneal""",0.68,529.85,231.58,0.0
"""5110744""","""Buchanan""",0.19,181.55,79.82,0.0
"""5110776""","""Buckhall""",8.99,18982.13,5036.51,1.1
"""5110856""","""Buckingham Courthouse""",0.02,30.54,12.43,0.5
"""5111032""","""Buena Vista""",6.00,6495.00,2606.00,1.3
"""5111230""","""Bull Run""",5.14,13416.22,4703.48,2.9
"""5111245""","""Bull Run Mountain Estates""",0.30,485.71,162.76,0.0
"""5111464""","""Burke""",24.07,42479.24,13525.36,4.4
"""5111470""","""Burke Centre""",9.00,17969.00,6159.00,5.3
"""5111560""","""Burkeville""",0.06,63.54,26.38,0.0
"""5112136""","""Callaghan""",0.02,15.20,7.81,0.0
"""5112264""","""Calverton""",0.10,281.15,103.48,0.0
"""5112590""","""Camptown""",0.35,365.29,165.74,0.0
"""5112600""","""Cana""",0.64,885.84,378.51,0.0
"""5112808""","""Cape Charles""",0.56,737.32,368.10,0.0
"""5112904""","""Capron""",0.00,5.03,1.76,0.0
"""5112915""","""Captains Cove""",0.11,362.04,138.97,0.0
"""5113160""","""Carrollton""",0.99,2427.58,907.48,0.6
"""5113192""","""Carrsville""",0.14,141.78,59.68,0.0
