place,name,blkgrps,population,households,alltransit_performance_score
"""5300100""","""Aberdeen""",17.68,15823.62,5908.97,0.3
"""5300135""","""Aberdeen Gardens""",0.01,13.28,4.84,0.0
"""5300275""","""Acme""",0.05,85.79,31.47,0.6
"""5300380""","""Addy""",0.01,4.12,1.73,0.4
"""5300800""","""Ahtanum""",1.83,3367.36,1240.19,1.2
"""5300905""","""Airway Heights""",1.61,4490.08,897.97,3.9
"""5301010""","""Albion""",0.01,12.14,5.02,0.0
"""5301045""","""Alder""",0.13,163.30,63.06,0.0
"""5301150""","""Alderton""",3.00,3308.84,1199.91,0.5
"""5301185""","""Alderwood Manor""",7.18,8384.64,3061.10,5.2
"""5301255""","""Alger""",0.18,246.07,85.78,1.0
"""5301290""","""Algona""",2.07,4068.90,1262.57,3.6
"""5301430""","""Allyn""",0.25,624.90,236.19,1.0
"""5301500""","""Almira""",0.00,1.45,0.63,0.0
"""5301745""","""Altoona""",0.07,71.04,31.47,0.0
"""5301780""","""Amanda Park""",0.03,25.94,8.73,0.4
"""5301850""","""Amboy""",0.26,557.43,157.96,0.0
"""5301920""","""Ames Lake""",0.52,864.46,317.83,0.1
"""5301990""","""Anacortes""",12.40,15484.02,6830.21,4.0
"""5302060""","""Anderson Island""",1.00,1290.50,669.22,0.0
"""5302585""","""Arlington""",10.41,14744.12,5710.14,3.1
"""5302620""","""Arlington Heights""",1.65,2412.90,829.95,0.9
"""5302910""","""Artondale""",7.43,12945.27,4725.43,0.3
"""5303005""","""Ashford""",0.01,24.56,11.68,0.0
"""5303075""","""Asotin""",0.01,23.09,9.39,0.0
"""5303180""","""Auburn""",42.89,73157.43,26916.22,4.0
"""5303736""","""Bainbridge Island""",14.00,23689.00,9679.00,3.4
"""5304100""","""Bangor Base""",4.00,6358.00,1269.00,1.2
"""5304125""","""Banks Lake South""",0.78,676.26,242.36,0.7
"""5304195""","""Barberton""",3.68,6341.50,2242.46,0.4
"""5304300""","""Baring""",0.00,1.03,0.59,0.0
"""5304347""","""Barney's Junction""",0.00,0.82,0.34,0.0
"""5304370""","""Barstow""",0.00,1.77,0.73,0.0
"""5304405""","""Basin City""",0.03,93.35,19.41,0.0
"""5304475""","""Battle Ground""",8.68,16984.15,5580.40,2.8
"""5304615""","""Bay Center""",0.01,14.00,6.47,0.7
"""5304790""","""Bay View""",0.22,236.59,102.99,1.2
"""5304895""","""Beaux Arts Village""",0.17,325.64,113.92,6.4
"""5305140""","""Belfair""",1.39,2792.25,927.20,1.4
"""5305210""","""Bellevue""",86.53,139536.67,56020.54,6.3
"""5305245""","""Bell Hill""",0.21,733.63,311.33,1.4
"""5305280""","""Bellingham""",36.84,78580.85,32157.65,6.0
"""5305560""","""Benton City""",1.51,2068.61,761.76,2.1
"""5305735""","""Bethel""",2.28,3117.62,1125.95,1.0
"""5305980""","""Bickleton""",0.01,6.39,2.24,0.0
"""5306050""","""Big Lake""",0.30,1415.26,553.99,2.1
"""5306085""","""Bingen""",0.23,176.03,83.82,1.1
"""5306190""","""Birch Bay""",3.31,7085.94,3224.75,1.2
"""5306330""","""Black Diamond""",2.30,2677.95,1064.13,0.6
"""5306505""","""Blaine""",3.64,4997.88,2140.14,1.7
"""5306855""","""Blyn""",0.05,73.25,36.07,0.9
"""5307170""","""Bonney Lake""",9.74,17722.96,5793.30,0.5
"""5307380""","""Bothell""",28.13,44906.87,17228.19,5.3
"""5307390""","""Bothell East""",4.02,10224.62,3584.36,2.6
"""5307395""","""Bothell West""",11.32,19572.89,6829.24,2.7
"""5307397""","""Boulevard Park""",3.39,4038.96,1711.95,5.6
"""5307485""","""Boyds""",0.00,0.61,0.25,0.0
"""5307590""","""Brady""",0.09,96.97,42.65,0.0
"""5307695""","""Bremerton""",29.44,42270.13,17394.32,4.5
"""5307835""","""Brewster""",1.06,1584.22,520.14,0.7
"""5307870""","""Bridgeport""",1.44,1813.33,528.43,0.0
"""5307940""","""Brier""",5.89,7037.72,2531.40,2.4
"""5308080""","""Brinnon""",0.02,24.26,11.75,0.5
"""5308325""","""Browns Point""",0.85,984.81,412.53,0.0
"""5308465""","""Brush Prairie""",2.05,2709.33,847.18,1.6
"""5308500""","""Bryant""",0.52,895.64,316.53,0.1
"""5308552""","""Bryn Mawr-Skyway""",10.93,16720.20,5800.58,6.4
"""5308570""","""Buckley""",1.82,2216.11,888.30,0.0
"""5308605""","""Bucoda""",0.03,32.88,12.66,0.0
"""5308640""","""Buena""",0.57,762.92,174.14,0.0
"""5308770""","""Bunk Foss""",2.72,3977.49,1365.42,1.5
"""5308780""","""Burbank""",0.90,1576.84,532.52,0.7
"""5308850""","""Burien""",35.74,47874.92,17546.82,6.1
"""5308885""","""Burley""",1.26,2248.43,768.01,0.4
"""5308920""","""Burlington""",3.17,6551.91,2605.74,3.5
"""5309365""","""Camano""",10.00,15989.00,6757.00,1.9
"""5309480""","""Camas""",13.10,24802.46,8570.42,1.9
"""5309810""","""Canterwood""",1.12,2501.69,1021.12,2.6
"""5309820""","""Canyon Creek""",1.10,1695.52,577.79,0.0
"""5309970""","""Carbonado""",0.05,96.90,32.23,0.0
"""5310075""","""Carlsborg""",0.24,393.60,187.07,2.4
"""5310215""","""Carnation""",0.61,615.73,222.10,1.5
"""5310320""","""Carson""",0.49,824.90,272.17,0.6
"""5310455""","""Cascade Valley""",0.74,2579.96,1023.80,1.6
"""5310495""","""Cashmere""",1.53,2086.86,802.66,3.6
"""5310565""","""Castle Rock""",1.47,1833.85,796.33,0.0
"""5310600""","""Cathcart""",1.57,3265.78,1203.29,0.7
"""5310635""","""Cathlamet""",0.16,140.28,53.00,0.0
"""5310645""","""Cavalero""",1.90,3817.06,1246.20,0.3
"""5311090""","""Centerville""",0.03,24.01,9.74,0.5
"""5311160""","""Centralia""",9.70,11298.99,4502.51,1.3
"""5311195""","""Central Park""",0.89,1177.74,481.68,0.0
"""5311325""","""Chain Lake""",2.66,4406.10,1401.28,0.6
"""5311475""","""Chehalis""",5.69,5616.63,2143.38,0.0
"""5311615""","""Chelan""",3.03,2091.20,955.75,2.4
"""5311685""","""Chelan Falls""",0.01,18.18,6.85,1.3
"""5311825""","""Cheney""",6.66,8919.73,2985.87,5.2
"""5312015""","""Cherry Grove""",0.89,1189.06,339.18,1.4
"""5312140""","""Chewelah""",0.89,736.24,341.11,0.5
"""5312175""","""Chico""",0.95,1746.90,648.19,1.6
"""5312315""","""Chinook""",0.01,9.97,3.75,0.5
"""5312525""","""Clallam Bay""",0.13,53.92,32.54,1.1
"""5312630""","""Clarkston""",7.36,6558.18,2703.73,0.6
"""5312680""","""Clarkston Heights-Vineland""",3.60,3980.53,1717.13,0.0
"""5312735""","""Clayton""",0.05,65.83,20.16,0.4
"""5312820""","""Clear Lake""",0.64,852.05,343.96,0.0
"""5312840""","""Clear Lake""",0.17,170.59,66.73,1.0
"""5312875""","""Clearview""",1.98,4574.82,1473.08,0.6
"""5312945""","""Cle Elum""",0.95,1671.28,726.17,0.0
"""5313015""","""Cliffdell""",0.01,7.44,3.50,0.0
"""5313155""","""Clinton""",0.92,505.98,235.50,6.6
"""5313215""","""Clover Creek""",4.37,7747.40,2741.78,1.7
"""5313365""","""Clyde Hill""",2.30,3105.20,1061.57,5.7
"""5313595""","""Cohassett Beach""",0.59,789.07,383.71,0.0
"""5313785""","""Colfax""",0.23,188.93,81.25,0.0
"""5313855""","""College Place""",3.67,7830.66,3100.35,4.4
"""5313890""","""Colton""",0.00,4.03,1.74,0.0
"""5314170""","""Colville""",3.16,3431.44,1455.53,0.2
"""5314310""","""Conconully""",0.00,0.47,0.28,0.0
"""5314380""","""Concrete""",0.54,425.33,174.61,1.7
"""5314485""","""Connell""",1.32,2424.16,744.16,0.0
"""5314520""","""Conway""",0.01,9.20,3.26,1.3
"""5314660""","""Copalis Beach""",0.05,42.34,20.02,0.0
"""5314870""","""Cosmopolis""",0.88,670.18,265.38,0.1
"""5314940""","""Cottage Lake""",19.79,24987.75,8748.71,1.7
"""5315080""","""Coulee City""",0.21,182.47,65.41,0.7
"""5315115""","""Coulee Dam""",0.04,60.13,25.24,0.5
"""5315150""","""Country Homes""",2.06,5438.04,1679.06,5.8
"""5315185""","""Coupeville""",0.50,813.33,346.44,2.6
"""5315290""","""Covington""",12.73,19465.32,6824.97,3.3
"""5315325""","""Cowiche""",0.07,111.51,31.66,0.0
"""5315710""","""Creston""",0.00,1.04,0.44,0.0
"""5315780""","""Crocker""",0.88,1175.04,378.45,0.0
"""5316165""","""Curlew""",0.00,3.59,1.22,0.0
"""5316170""","""Curlew Lake""",0.15,162.34,70.56,0.0
"""5316340""","""Cusick""",0.00,3.59,1.40,0.0
"""5316375""","""Custer""",0.18,327.64,123.94,1.1
"""5316550""","""Dallesport""",0.15,295.24,101.57,0.0
"""5316585""","""Danville""",0.00,0.62,0.26,0.0
"""5316690""","""Darrington""",0.00,6.81,2.87,0.4
"""5316760""","""Dash Point""",0.93,1416.64,515.94,1.4
"""5316795""","""Davenport""",1.28,1078.28,480.82,0.0
"""5316970""","""Dayton""",0.15,153.92,67.74,0.0
"""5317215""","""Deep River""",0.18,185.49,82.17,0.0
"""5317320""","""Deer Park""",0.89,2254.01,794.19,0.4
"""5317495""","""Deming""",0.12,234.86,84.22,1.0
"""5317617""","""Desert Aire""",0.02,62.62,14.90,0.0
"""5317635""","""Des Moines""",26.39,31505.29,11739.07,5.9
"""5317880""","""Disautel""",0.01,11.09,4.23,0.0
"""5318055""","""Dixie""",0.00,3.83,1.63,0.0
"""5318198""","""Dollars Corner""",1.05,1758.89,583.06,1.1
"""5318265""","""Donald""",0.04,67.04,23.34,0.1
"""5318775""","""Duluth""",0.78,1458.76,509.63,0.0
"""5318965""","""DuPont""",1.74,8026.32,2884.92,1.5
"""5319035""","""Duvall""",2.72,5609.90,1908.75,1.8
"""5319290""","""East Cathlamet""",0.07,56.49,27.87,0.0
"""5319630""","""Eastmont""",13.32,23038.41,7534.41,2.2
"""5319700""","""Easton""",0.01,13.01,5.61,0.0
"""5319770""","""East Port Orchard""",1.74,3595.57,1394.81,4.2
"""5319857""","""East Renton Highlands""",8.30,12446.28,4426.86,1.9
"""5320155""","""East Wenatchee""",9.81,12483.83,4486.94,4.8
"""5320260""","""Eatonville""",0.31,411.15,166.17,0.0
"""5320645""","""Edgewood""",7.53,9808.07,3564.93,2.4
"""5320680""","""Edison""",0.04,67.55,24.78,0.6
"""5320750""","""Edmonds""",32.39,41501.99,17476.56,6.1
"""5320890""","""Elbe""",0.00,2.85,1.10,0.0
"""5321030""","""Electric City""",0.05,68.32,29.57,0.5
"""5321205""","""Elk Plain""",8.57,14553.29,4977.41,0.0
"""5321240""","""Ellensburg""",9.84,15649.85,6065.01,0.7
"""5321450""","""Elma""",1.65,2153.04,908.21,0.0
"""5321485""","""Elmer City""",0.01,22.06,9.30,0.5
"""5321730""","""Endicott""",0.00,1.17,0.55,0.0
"""5321800""","""Enetai""",1.82,2689.06,1089.72,3.0
"""5322010""","""Entiat""",0.13,163.67,63.14,1.7
"""5322045""","""Enumclaw""",7.87,8919.76,3587.73,2.4
"""5322080""","""Ephrata""",3.53,5544.19,1974.03,3.7
"""5322118""","""Erlands Point-Kitsap Lake""",2.22,2630.92,1039.86,2.3
"""5322150""","""Eschbach""",0.24,174.56,68.04,0.0
"""5322255""","""Esperance""",3.02,3418.17,1409.92,6.1
"""5322640""","""Everett""",72.85,107024.81,42332.75,6.4
"""5322745""","""Everson""",0.20,605.24,185.78,1.4
