place,name,blkgrps,population,households,alltransit_performance_score
"""5400196""","""Accoville""",0.26,268.35,109.86,0.7
"""5400364""","""Addison (Webster Springs)""",0.01,14.98,7.21,0.0
"""5400748""","""Albright""",0.01,11.27,3.74,0.4
"""5400772""","""Alderson""",0.57,691.72,310.88,0.9
"""5401396""","""Alum Creek""",0.78,994.74,312.60,0.9
"""5401660""","""Amherstdale""",0.31,319.10,125.79,0.6
"""5401780""","""Anawalt""",0.02,15.66,6.24,0.0
"""5401900""","""Anmoore""",0.07,127.60,52.96,0.3
"""5401996""","""Ansted""",0.07,72.00,30.58,0.0
"""5402188""","""Apple Grove""",0.10,117.60,44.34,0.0
"""5402260""","""Arbovale""",0.01,5.39,2.45,0.0
"""5403292""","""Athens""",0.03,69.89,25.84,0.0
"""5403364""","""Auburn""",0.01,3.50,1.04,0.0
"""5403460""","""Aurora""",0.04,29.35,11.68,0.2
"""5404204""","""Bancroft""",0.40,281.32,102.11,0.0
"""5404276""","""Barboursville""",3.49,4360.91,1896.59,2.6
"""5404612""","""Barrackville""",0.46,517.02,213.86,1.0
"""5404732""","""Bartley""",0.07,47.17,17.71,0.0
"""5404780""","""Bartow""",0.00,4.73,2.13,0.0
"""5404876""","""Bath (Berkeley Springs)""",0.77,330.09,159.67,0.0
"""5404924""","""Bayard""",0.01,3.68,1.48,0.0
"""5405068""","""Beards Fork""",0.05,57.30,24.99,0.0
"""5405260""","""Beaver""",1.07,1063.87,448.16,0.0
"""5405332""","""Beckley""",12.30,15088.12,6606.44,0.0
"""5405452""","""Beech Bottom""",0.22,203.52,82.96,0.0
"""5405788""","""Belington""",0.37,371.50,139.71,0.0
"""5405836""","""Belle""",0.94,1014.42,475.66,0.1
"""5406004""","""Belmont""",0.06,75.89,31.26,0.0
"""5406052""","""Belva""",0.00,2.03,0.92,0.0
"""5406340""","""Benwood""",1.14,1224.88,526.07,2.5
"""5406436""","""Bergoo""",0.00,2.77,1.11,0.0
"""5406748""","""Berwind""",0.01,13.29,5.07,0.0
"""5406844""","""Bethany""",0.09,89.95,13.15,0.0
"""5406940""","""Bethlehem""",2.07,2541.63,1075.27,1.8
"""5406988""","""Beverly""",0.03,88.87,39.25,0.0
"""5407204""","""Big Chimney""",0.62,594.78,303.55,1.3
"""5407228""","""Big Creek""",0.10,102.55,43.95,0.8
"""5407516""","""Big Sandy""",0.03,26.90,14.96,0.0
"""5407756""","""Birch River""",0.00,5.92,2.11,0.0
"""5408092""","""Blacksville""",0.04,16.67,7.37,1.3
"""5408308""","""Blennerhassett""",2.34,2974.81,1155.81,0.0
"""5408524""","""Bluefield""",9.56,9032.21,3730.56,0.0
"""5408764""","""Bluewell""",1.14,1242.20,520.87,0.0
"""5408836""","""Boaz""",1.22,1388.95,577.22,0.1
"""5408932""","""Bolivar""",0.05,100.33,41.74,1.4
"""5408956""","""Bolt""",0.28,508.64,207.87,0.0
"""5409100""","""Boomer""",0.40,297.45,114.84,0.0
"""5409364""","""Bowden""",0.00,0.50,0.25,0.0
"""5409676""","""Bradley""",1.09,1830.65,704.48,0.0
"""5409700""","""Bradshaw""",0.10,45.87,19.17,0.0
"""5409796""","""Bramwell""",0.06,46.68,19.63,0.0
"""5409844""","""Brandonville""",0.01,12.42,5.99,0.3
"""5409868""","""Brandywine""",0.00,4.61,2.06,0.4
"""5409964""","""Brenton""",0.02,42.45,20.05,0.0
