,school_district,Zip_code,Rank,State
144,AMHERST-PELHAM SCHOOL DISTRICT,01002,479.0,Massachusetts
148,AMHERST-PELHAM SCHOOL DISTRICT,01003,479.0,Massachusetts
155,TANTASQUA SCHOOL DISTRICT,01010,329.0,Massachusetts
160,SPRINGFIELD SCHOOL DISTRICT,01013,285.0,Pennsylvania
161,SPRINGFIELD SCHOOL DISTRICT,01013,471.0,Pennsylvania
163,SPRINGFIELD SCHOOL DISTRICT,01020,285.0,Pennsylvania
164,SPRINGFIELD SCHOOL DISTRICT,01020,471.0,Pennsylvania
181,HADLEY SCHOOL DISTRICT,01035,458.0,Massachusetts
182,HAMPDEN-WILBRAHAM SCHOOL DISTRICT,01036,365.0,Massachusetts
192,AMHERST-PELHAM SCHOOL DISTRICT,01054,479.0,Massachusetts
195,HAMPDEN-WILBRAHAM SCHOOL DISTRICT,01057,365.0,Massachusetts
198,TANTASQUA SCHOOL DISTRICT,01057,329.0,Massachusetts
209,AMHERST-PELHAM SCHOOL DISTRICT,01072,479.0,Massachusetts
219,TANTASQUA SCHOOL DISTRICT,01081,329.0,Massachusetts
227,WESTFIELD SCHOOL DISTRICT,01085,84.0,New Jersey
228,WESTFIELD SCHOOL DISTRICT,01086,84.0,New Jersey
235,HAMPDEN-WILBRAHAM SCHOOL DISTRICT,01095,365.0,Massachusetts
242,SPRINGFIELD SCHOOL DISTRICT,01103,285.0,Pennsylvania
243,SPRINGFIELD SCHOOL DISTRICT,01103,471.0,Pennsylvania
244,SPRINGFIELD SCHOOL DISTRICT,01104,285.0,Pennsylvania
245,SPRINGFIELD SCHOOL DISTRICT,01104,471.0,Pennsylvania
246,SPRINGFIELD SCHOOL DISTRICT,01105,285.0,Pennsylvania
247,SPRINGFIELD SCHOOL DISTRICT,01105,471.0,Pennsylvania
248,LONGMEADOW SCHOOL DISTRICT,01106,178.0,Massachusetts
249,SPRINGFIELD SCHOOL DISTRICT,01106,285.0,Pennsylvania
250,SPRINGFIELD SCHOOL DISTRICT,01106,471.0,Pennsylvania
251,SPRINGFIELD SCHOOL DISTRICT,01107,285.0,Pennsylvania
252,SPRINGFIELD SCHOOL DISTRICT,01107,471.0,Pennsylvania
253,SPRINGFIELD SCHOOL DISTRICT,01108,285.0,Pennsylvania
254,SPRINGFIELD SCHOOL DISTRICT,01108,471.0,Pennsylvania
255,SPRINGFIELD SCHOOL DISTRICT,01109,285.0,Pennsylvania
256,SPRINGFIELD SCHOOL DISTRICT,01109,471.0,Pennsylvania
257,SPRINGFIELD SCHOOL DISTRICT,01118,285.0,Pennsylvania
258,SPRINGFIELD SCHOOL DISTRICT,01118,471.0,Pennsylvania
259,SPRINGFIELD SCHOOL DISTRICT,01119,285.0,Pennsylvania
260,SPRINGFIELD SCHOOL DISTRICT,01119,471.0,Pennsylvania
261,SPRINGFIELD SCHOOL DISTRICT,01128,285.0,Pennsylvania
262,SPRINGFIELD SCHOOL DISTRICT,01128,471.0,Pennsylvania
263,SPRINGFIELD SCHOOL DISTRICT,01129,285.0,Pennsylvania
264,SPRINGFIELD SCHOOL DISTRICT,01129,471.0,Pennsylvania
265,SPRINGFIELD SCHOOL DISTRICT,01151,285.0,Pennsylvania
266,SPRINGFIELD SCHOOL DISTRICT,01151,471.0,Pennsylvania
267,SPRINGFIELD SCHOOL DISTRICT,01199,285.0,Pennsylvania
268,SPRINGFIELD SCHOOL DISTRICT,01199,471.0,Pennsylvania
272,LENOX SCHOOL DISTRICT,01201,456.0,Massachusetts
273,MOUNT GREYLOCK SCHOOL DISTRICT,01201,19.0,Massachusetts
282,MOUNT GREYLOCK SCHOOL DISTRICT,01224,19.0,Massachusetts
292,MOUNT GREYLOCK SCHOOL DISTRICT,01237,19.0,Massachusetts
299,LENOX SCHOOL DISTRICT,01240,456.0,Massachusetts
300,LENOX SCHOOL DISTRICT,01242,456.0,Massachusetts
330,MOUNT GREYLOCK SCHOOL DISTRICT,01267,19.0,Massachusetts
338,NARRAGANSETT SCHOOL DISTRICT,01331,473.0,Rhode Island
367,AMHERST-PELHAM SCHOOL DISTRICT,01355,479.0,Massachusetts
409,HARVARD SCHOOL DISTRICT,01434,51.0,Massachusetts
410,NARRAGANSETT SCHOOL DISTRICT,01436,473.0,Rhode Island
411,NARRAGANSETT SCHOOL DISTRICT,01438,473.0,Rhode Island
414,NARRAGANSETT SCHOOL DISTRICT,01440,473.0,Rhode Island
415,GROTON-DUNSTABLE SCHOOL DISTRICT,01450,72.0,Massachusetts
416,HARVARD SCHOOL DISTRICT,01451,51.0,Massachusetts
