price_zestimate,currency,price_last_updated,amount_chng_30days,valuation_range_low,valuation_range_high,street,zipcode,city,state,latitude,longitude,risk_adj_val,max_cash_limit,time_stamp
195321.0,USD,04/07/2020,3084.0,177742.0,218760.0,501 Shumaker Dr,15146,Monroeville,PA,40.456694,-79.763917,166022.85,49806.855,
169555.0,USD,04/08/2020,3881.0,152600.0,186510.0,504 Shumaker Dr,15146,Monroeville,PA,40.456537,-79.762814,144121.75,43236.525,
405867.0,USD,04/08/2020,-242.0,369339.0,438336.0,1901 Oxmead Rd,08016,Burlington,NJ,40.040357,-74.802437,344986.95,103496.085,
494180.0,USD,04/08/2020,-316.0,449704.0,553482.0,317 E 8th Ave,08260,Wildwood,NJ,39.00134,-74.794258,420053.0,126015.9,
548586.0,USD,04/08/2020,6406.0,488242.0,614416.0,502 Shumaker Dr,15146,Monroeville,PA,40.456284,-79.76307,466298.1,139889.43,
107754.0,USD,04/08/2020,-19265.0,87281.0,127150.0,97 Applewood Valley Dr,16214,Clarion,PA,41.211744,-79.396179,91590.9,27477.27,
331631.0,USD,04/08/2020,-1236.0,315049.0,348213.0,619 Kingsley Dr,08406,Ventnor City,NJ,39.342812,-74.494978,281886.35,84565.905,
467692.0,USD,04/08/2020,6817.0,411569.0,528492.0,116 W Morning Glory Rd,08260,Wildwood,NJ,38.981539,-74.829515,397538.2,119261.46,
1516248.0,USD,04/10/2020,18060.0,1319136.0,1683035.0,1068 Pacific Beach Dr,92109,San Diego,CA,32.792307,-117.24869,1288810.8,386643.24,
2852960.0,USD,04/10/2020,117954.0,2539134.0,3452082.0,1011 W Briarfield Dr,92109,San Diego,CA,32.7913,-117.249729,2425016.0,727504.8,
830732.0,USD,04/10/2020,-85907.0,722737.0,1063337.0,922 Missouri St,92109,San Diego,CA,32.801098,-117.254366,706122.2,211836.66,
1310585.0,USD,04/10/2020,-6067.0,1153315.0,1507173.0,867 Beryl St,92109,San Diego,CA,32.803142,-117.255933,1113997.25,334199.175,
72828.0,USD,04/10/2020,1775.0,58991.0,84480.0,2697 Howey Rd,43211,Columbus,OH,40.020516,-82.984326,61903.8,18571.14,
76446.0,USD,04/10/2020,852.0,60392.0,88677.0,2738 Howey Rd,43211,Columbus,OH,40.021357,-82.983644,64979.1,19493.73,
86994.0,USD,04/10/2020,2107.0,71335.0,100043.0,2707 Grasmere Ave,43211,Columbus,OH,40.02083,-82.983138,73944.9,22183.47,
133363.0,USD,04/10/2020,2870.0,124028.0,141365.0,1316 Zebulon Ave,43224,Columbus,OH,40.038808,-82.979427,113358.55,34007.565,
120535.0,USD,04/10/2020,-646.0,100044.0,133794.0,1324 Pauline Ave,43224,Columbus,OH,40.038217,-82.979122,102454.75,30736.425,
341380.0,USD,04/10/2020,2000.0,324311.0,358449.0,257 Old Spring Ln,43017,Dublin,OH,40.095284,-83.118111,290173.0,87051.9,
362999.0,USD,04/10/2020,1180.0,341219.0,384779.0,248 Old Spring Ln,43017,Dublin,OH,40.095742,-83.117721,308549.15,92564.745,
338668.0,USD,04/10/2020,285.0,314961.0,358988.0,254 Clover Ct,43017,Dublin,OH,40.096558,-83.117991,287867.8,86360.34,
322507.0,USD,04/10/2020,9292.0,296706.0,345082.0,271 Clover Ct,43017,Dublin,OH,40.096089,-83.118556,274130.95,82239.285,
370556.0,USD,04/10/2020,5031.0,352028.0,389084.0,5042 Britton Farms Dr,43026,Hilliard,OH,40.054334,-83.140089,314972.6,94491.78,
365462.0,USD,04/10/2020,2512.0,347189.0,383735.0,5915 Hathaway Ave,43016,Dublin,OH,40.082586,-83.151737,310642.7,93192.81,
3491579.0,USD,04/10/2020,28451.0,3177337.0,3875653.0,327 Old Jupiter Beach Rd,33477,Jupiter,FL,26.937885,-80.088613,2967842.15,890352.645,
4272383.0,USD,04/10/2020,-46836.0,3845145.0,4742345.0,317 Old Jupiter Beach Rd,33477,Jupiter,FL,26.937903,-80.088908,3631525.55,1089457.665,
353400.0,USD,04/10/2020,-6423.0,321594.0,388740.0,706 Paulina Rd,33477,Jupiter,FL,26.940606,-80.091672,300390.0,90117.0,
307307.0,USD,04/10/2020,9596.0,291942.0,325745.0,214 2nd St,33458,Jupiter,FL,26.93191,-80.097265,261210.95,78363.285,
1153066.0,USD,04/10/2020,62506.0,933983.0,1648884.0,962 Marlin Dr,33458,Jupiter,FL,26.945805,-80.096791,980106.1,294031.83,
495697.0,USD,04/10/2020,17272.0,451084.0,540310.0,949 Marlin Dr,33458,Jupiter,FL,26.945077,-80.096303,421342.45,126402.735,
